Date,Indonesia,Angola,Querétaro,Rio de Janeiro,Metropolitana
1,1.99E-05,3.14169022934339E-05,0.00049058782724,0.001934839660582,0.000123075832436
2,4.73E-07,3.14169022934339E-05,0,0.004316180781297,0.000123075832436
3,4.92E-06,0,0,0.01384154526416,0.000123075832436
4,3.78E-06,3.14169022934339E-05,0,0.007292857182192,0.000123075832436
5,4.35E-06,0,0,0.008632361562594,0.000246151664871
6,6.71E-06,0,0,0.012650874703802,0.000369227497307
7,3.59E-06,3.14169022934339E-05,0,0.018157726045457,0.000123075832436
8,5.01E-06,0,0,0.032892274229886,0.000492303329743
9,7.85E-06,3.14169022934339E-05,0,0.027831924348365,0.001107682491921
10,2.74E-06,6.28338045868677E-05,0,0.022771574466844,0.000738454994614
11,4.54E-06,0,0,0.021878571546575,0.001353834156793
12,2.17E-06,0,0,0.026045918507828,0.0017230616541
13,4.63E-06,3.14169022934339E-05,0,0.066677551380039,0.008492232438063
14,5.77E-06,0,0,0.039887463771988,0.003569199140635
15,8.41E-06,0,0,0.038399125571541,0.002707668313585
16,7E-06,6.28338045868677E-05,0,0.051645335555522,0.008984535767806
17,5.39E-06,0.000125667609174,0,0.039738629951943,0.007015322448835
18,9.08E-06,6.28338045868677E-05,0,0.059682361837937,0.006769170783964
19,1.02E-05,3.14169022934339E-05,0,0.045989650393822,0.006153791621785
20,1.3E-05,6.28338045868677E-05,0,0.059980029478026,0.006153791621785
21,9.55E-06,0,0,0.062659038238832,0.009969142427292
22,2.23E-05,0,0,0.059235860377803,0.01747676820587
23,4.44E-06,0,0,0.075607580582723,0.007876853275885
24,1.84E-05,0,0,0.052389504655745,0.023630559827655
25,9.08E-06,0,0,0.112369534133772,0.017969071535612
26,1.34E-05,0,0,0.09093746404733,0.010215294092163
27,1.41E-05,0,0,0.086621283266033,0.01575370655177
28,1.31E-05,0,0,0.098230321229522,0.015384479054463
29,1.85E-05,0,0,0.117281050195248,0.012430659076006
30,1.37E-05,0.000157084511467,0.000981175654481,0.097634985949343,0.014153720730106
31,1.03E-05,0,0.00049058782724,0.090639796407241,0.013046038238184
32,1.02E-05,0,0.00049058782724,0.093169971348001,0.026461303973676
33,6.15E-06,0,0.000981175654481,0.116834548735113,0.017845995703177
34,1.54E-05,3.14169022934339E-05,0.00049058782724,0.177856414953453,0.01747676820587
35,1.16E-05,0,0,0.117132216375203,0.013046038238184
36,1.27E-05,0,0,0.133801604220213,0.024369014822269
37,7.75E-06,0,0.000981175654481,0.152703499365894,0.034953536411739
38,8.04E-06,3.14169022934339E-05,0.000981175654481,0.141094461402405,0.044430375509288
39,1.08E-05,3.14169022934339E-05,0.001471763481721,0.175921575292871,0.031384337271104
40,6.71E-06,0,0,0.159549855087951,0.018584450697791
41,1.26E-05,0,0.00049058782724,0.155382508126699,0.025107469816883
42,8.51E-06,0,0,0.161187027108443,0.034830460579303
43,7.85E-06,9.42507068803016E-05,0.001471763481721,0.135885277700839,0.030522806444054
44,1.34E-05,0.000157084511467,0.001962351308962,0.325499564437826,0.042830389687624
45,7.56E-06,0,0.000981175654481,0.150024490605088,0.028676668957518
46,6.24E-06,0,0.00049058782724,0.187977114716495,0.034092005584689
47,7.19E-06,3.14169022934339E-05,0.001962351308962,0.172647231251887,0.023261332330347
48,1.4E-05,0,0.000981175654481,0.190507289657255,0.032245868098154
49,7.85E-06,0,0.00049058782724,0.09093746404733,0.017845995703177
50,8.04E-06,0.000219918316054,0.00049058782724,0.187679447076405,0.036307370568532
51,9.46E-06,0,0.001962351308962,0.143624636343165,0.043199617184931
52,9.55E-06,6.28338045868677E-05,0.001471763481721,0.194079301338329,0.040245797206474
53,1.27E-05,0,0.00049058782724,0.537438924181522,0.049722636304023
54,8.13E-06,0,0.001471763481721,0.148089650944507,0.040738100536217
55,9.36E-06,0,0.00049058782724,0.233966765110316,0.044553451341724
56,1.69E-05,9.42507068803016E-05,0,0.300048981210177,0.05439951793658
57,1.27E-05,0,0.001962351308962,0.157912683067459,0.072491665304628
58,8.13E-06,0,0.002452939136202,0.122490233896813,0.090583812672675
59,1.01E-05,0,0.001471763481721,0.191102624937434,0.109660566700209
60,1.22E-05,6.28338045868677E-05,0.001471763481721,0.239027114991837,0.140921828138877
61,4.63E-06,6.28338045868677E-05,0.000981175654481,0.139159621741823,0.122460453273522
62,9.08E-06,0,0.001471763481721,0.132908601299944,0.107322125883931
63,7.66E-06,0.000188501413761,0.00049058782724,0.157168513967235,0.145106406441691
64,6.15E-06,6.28338045868677E-05,0.003924702617924,0.112816035593906,0.107691353381238
65,9.36E-06,3.14169022934339E-05,0.003924702617924,0.220720555126335,0.153352487214883
66,1.09E-05,0.000251335218347,0.001471763481721,0.136034111520884,0.141660283133491
67,1.13E-05,3.14169022934339E-05,0.003434114790683,0.121597230976545,0.120368164122115
68,7.09E-06,0,0.002452939136202,0.114453207614398,0.171813862080238
69,8.41E-06,3.14169022934339E-05,0.000981175654481,0.104481341671401,0.118645102468015
70,9.17E-06,9.42507068803016E-05,0.000981175654481,0.167884549010456,0.171321558750495
71,1E-05,0.000219918316054,0.002452939136202,0.104183674031311,0.27765907797494
72,1.2E-05,9.42507068803016E-05,0.000981175654481,0.089002624386749,0.277043698812761
73,9.55E-06,6.28338045868677E-05,0.003434114790683,0.10790451953243,0.253536214817542
74,1.13E-05,0,0.004415290445164,0.096146647748896,0.186829113637393
75,1.3E-05,0,0.004905878272405,0.148833820044731,0.232613323303473
76,5.29E-06,0,0.00049058782724,0.102993003470954,0.217474995913882
77,7.75E-06,0,0.000981175654481,0.117578717835337,0.386458113848099
78,6.33E-06,0,0.001471763481721,0.072333236541739,0.441596086779293
79,7.19E-06,6.28338045868677E-05,0.004415290445164,0.047626822414314,0.426088531892394
80,9.83E-06,9.42507068803016E-05,0.005887053926886,0.114750875254487,0.456488262504012
81,1.54E-05,3.14169022934339E-05,0.002943526963443,0.085430612705675,0.37525821309645
82,8.32E-06,0.000125667609174,0.003924702617924,0.10507667695158,0.387073493010277
83,2.21E-05,0.000534087338988,0.005887053926886,0.084537609785407,0.539810601062981
84,1.4E-05,0.000157084511467,0.001962351308962,0.10477900931149,0.412919417821774
85,1.39E-05,0.000377002827521,0.004905878272405,0.067124052840174,0.458580551655419
86,8.51E-06,0.000251335218347,0.005396466099645,0.037803790291362,0.480488049828974
87,1.14E-05,6.28338045868677E-05,0.004415290445164,0.147345481844283,0.368612118144922
88,1.11E-05,6.28338045868677E-05,0.006868229581367,0.072928571821918,0.411196356167675
89,1.34E-05,0.000188501413761,0.012755283508253,0.083942274505228,0.523441515349033
90,9.64E-06,0.000219918316054,0.012755283508253,0.064891545539503,0.582764066583041
91,1.2E-05,0.000345585925228,0.009321168717569,0.067272886660218,0.363689084847494
92,1.58E-05,0.000188501413761,0.023057627880303,0.087960787646436,0.491934102245494
93,1.31E-05,0.000125667609174,0.016679986126176,0.04405481073324,0.455257504179655
94,1.65E-05,0.000219918316054,0.014227046989974,0.073226239462008,0.390888843815784
95,1.34E-05,9.42507068803016E-05,0.02011410091686,0.057003353077132,0.508057036294571
96,1.2E-05,9.42507068803016E-05,0.024038803534784,0.134694607140481,0.648363485271269
97,1.51E-05,0.000251335218347,0.013736459162733,0.039440962311854,0.452180608368763
98,1.38E-05,0.000471253534402,0.008339993063088,0.050454664995164,0.367996738982744
99,1.85E-05,0,0.023057627880303,0.049859329714985,0.568610345852935
100,1.85E-05,0.001476594407791,0.029925857461669,0.03021326546908,0.540179828560288
101,1.87E-05,0.000251335218347,0.0206046887441,0.093318805168046,0.684178552510058
102,1.13E-05,0.000282752120641,0.018151749607898,0.054919679596506,0.622394484627336
103,1.16E-05,0.000251335218347,0.017661161780657,0.042864140172882,0.695009225764399
104,1.77E-05,0.000219918316054,0.010792932199291,0.044650146013419,0.477780381515388
105,2.01E-05,0.000754005655042,0.005887053926886,0.049412828254851,0.495010998056386
106,1.76E-05,0.000408419729815,0.025510567016505,0.062659038238832,0.435565370989943
107,1.3E-05,0.000565504241282,0.018642337435138,0.024408746487336,0.37181208978825
108,2.1E-05,0,0.017661161780657,0.047626822414314,0.544118255198231
109,2.38E-05,0,0.015208222644455,0.045543148933688,0.443442224265828
110,2.19E-05,0.001256676091737,0.018151749607898,0.05253833847579,0.466334329098868
111,1.8E-05,0,0.013245871335493,0.04435247837333,0.372427468950429
112,3.35E-05,0.000314169022934,0.01030234437205,0.047477988594269,0.303874230283744
113,2.62E-05,0.001947847942193,0.019132925262379,0.031552769849483,0.289228206223896
114,2.37E-05,0.000125667609174,0.024529391362024,0.043757143093151,0.37353515144235
115,3.54E-05,0.001382343700911,0.023057627880303,0.050901166455298,0.321966377651792
116,3.82E-05,0.000596921143575,0.022567040053062,0.04405481073324,0.363935236512366
