Date,Indonesia,Angola,Querétaro,Rio de Janeiro,Metropolitana
1,10,7.75,10,10,1.7
2,10,7.75,10,10,1.7
3,10,7.75,10,10,1.7
4,10,7.75,10,10,1.7
5,10,7.75,10,10,1.7
6,10,7.75,10,10,1.7
7,10,7.75,10,10,1.7
8,10,2.75,10,10,1.7
9,10,2.75,10,10,1.7
10,10,2.75,10,10,1.7
11,10,2.75,10,0,1.7
12,10,2.75,10,0,1.7
13,10,2.75,10,0,1.7
14,10,2.75,10,0,1.7
15,10,2.75,10,0,1.7
16,10,2.75,10,0,1.7
17,10,2.75,10,0,1.7
18,10,2.75,10,0,1.7
19,10,2.75,10,0,1.7
20,10,2.75,10,0,1.7
21,10,2.75,10,0,1.7
22,10,2.75,10,0,1.7
23,3,2.5,10,0,1.7
24,3,2.5,10,0,1.7
25,3,2.5,10,0,1.7
26,3,2.5,10,0,1.7
27,3,2.5,10,0,1.7
28,3,2.5,10,0,1.7
29,3,2.5,10,0,1.7
30,3,2.5,10,0,1.7
31,3,2.5,10,0,1.7
32,3,2.5,10,0,1.7
33,3,2.5,10,0,1.7
34,3,2.5,10,0,1.7
35,3,2.5,10,0,1.7
36,3,2.5,10,0,1.7
37,3,2.5,10,0,1.7
38,3,3,10,0,1.7
39,3,3,7,0,1.7
40,3,3,7,0,1.7
41,3,3,7,0,1.7
42,3,3,7,0,1.7
43,3,3,7,0,1.7
44,3,3,7,0,1.7
45,3,3,7,0,1.7
46,3,3,7,0,1.7
47,3,3,7,0,1.7
48,3,3,7,0,1.7
49,3,3,7,0,1.7
50,3,3,7,0,1.7
51,3,3,2,0,1.7
52,3,3,2,0,1.7
53,3,4,2,0,1.7
54,3,4,2,0,1.7
55,3,4,2,0,1.7
56,3,4,2,0,1.7
57,3,4,2,0,1.7
58,3,4,2,0,1.7
59,3,4,2,0,1.7
60,3,4,2,0,1.7
61,3,4,2,0,1.7
62,3,4,2,0,1.7
63,3,4,2,0,1.7
64,3,4,2,0,1.7
65,3,4,2,0,1.7
66,3,4,2,0,1.7
67,3,4,2,0,1.7
68,3,4.4,2,0,1.7
69,3,4.4,2,0,1.7
70,3,4.4,2,0,1.7
71,3,4.4,2,0,1.7
72,3,4.4,2,0,1.7
73,3,4.4,2,0,1.7
74,3,4.4,2,0,1.7
75,3,4.4,2,0,1.7
76,3,4.4,2,0,1.7
77,3,4.4,2,0,1.7
78,3,4.4,2,0,1.7
79,6,4.4,2,0,1.7
80,6,4.4,2,0,1.7
81,6,4.4,2,0,1.7
82,6,4.4,2,0,1.7
83,6,4.4,2,0,1.7
84,6,4.4,2,0,1.7
85,6,4.4,2,0,1.7
86,6,4.4,2,0,1.7
87,6,4.4,2,1,1.7
88,6,4.4,2,1,1.7
89,6,4.4,2,1,1.7
90,6,4.4,2,1,1.7
91,6,4.4,2,1,1.7
92,6,4.4,2,1,1.7
93,6,4.4,2,1,1.7
94,6,4.4,2,1,1.7
95,6,4.4,2,1,1.7
96,6,4.4,2,1,1.7
97,6,4.4,2,1,1.7
98,6,4.4,2,1,1.7
99,6,4.4,2,1,1.7
100,6,4.4,2,1,1.7
101,6,4.4,2,1,1.7
102,6,4.6,2,2,1.7
103,6,4.6,2,2,1.7
104,6,4.6,2,2,1.7
105,6,4.6,2,2,1.7
106,6,4.6,2,2,1.7
107,6,4.6,2,2,1.7
108,6,4.6,2,2,1.7
109,6,4.6,2,2,1.7
110,6,4.6,2,2,1.7
111,6,4.6,2,2,1.7
112,6,4.6,2,2,1.7
113,6,4.6,2,2,1.7
114,6,4.6,2,2,1.7
115,6,4.6,2,2,1.7
116,6,5.2,2,3,1.7
117,6,5.2,2,3,1.7
118,6,5.2,2,3,1.7
119,6,5.2,2,3,2
120,6,5.2,2,3,2
121,6,5.2,2,3,2
122,6,5.2,2,3,2
123,6,5.2,2,3,2
124,6,5.2,2,3.5,2
125,6,5.2,2,3.5,2
126,6,5.2,2,3.5,2
127,6,5.2,2,3.5,2
128,6,5.2,3,3.5,2
129,6,5.2,3,3.5,2
130,6,5.8,3,3.5,2
131,6,5.8,3,4,2
132,6,5.8,3,4,2
133,6,5.8,3,4,2
134,6,5.8,3,4,2
135,6,5.8,3,4,2
136,6,5.8,3,4,2
137,6,5.8,3,4,2
138,6,5.8,3,4,2
139,6,5.8,3,4,2
140,6,5.8,3,4,2
141,6,5.8,3,4,2
142,6,5.8,3,4,2
143,6,5.8,3,4,2
144,6,5.8,3,4,2
145,6,5.8,3,4,2
146,6,5.8,3,4,2
147,6,5.8,3,5,2
148,6,5.8,3,5,2
149,6,5.8,3,5,2
150,6,5.8,3,5,2
151,6,5.8,3,5,2
152,6,5.8,3,5,2
153,6,5.8,3,5,2
154,6,5.8,3,5,2
155,6,5.8,3,5,2
156,6,5.8,3,5,2
157,6,5.8,3,5,2
158,6,5.8,3,5,2
159,6,5.8,3,5,2
160,6,5.8,3,5,2
161,6,5.8,3,5,2
162,6,5.8,3,5,2
163,6,5.8,3,5,2
164,6,5.8,3,5,2
165,6,5.8,3,5,2
166,6,5.8,3,5,2
167,6,5.8,3,5,2.8
168,6,5.8,3,5,2.8
169,6,5.8,3,5,2.8
170,6,5.8,3,5,2.8
171,6,5.8,3,5,2.8
172,6,5.8,3,5,2.8
173,6,5.8,3,5,2.8
174,6,5.8,3,5,2.8
175,6,5.8,3,5,2.8
176,6,5.8,3,5,2.8
177,6,5.8,3,5,2.8
178,6,5.8,3,6,2.8
179,6,5.8,3,6,2.8
180,6,5.8,3,6,2.8
181,3,5.8,3,6,2.8
182,3,5.8,3,6,2.8
183,3,5.8,3,6,2.8
184,3,5.8,3,6,2.8
185,3,5.8,3,6,2.8
186,3,5.8,3,6,2.8
187,3,5.8,3,6,2.8
188,3,5.8,3,6,2.8
189,3,5.8,3,6,2.8
190,3,5.8,3,6,2.8
191,3,5.8,3,6,2.8
192,3,5.8,3,6,2.8
193,3,5.8,3,6,2.8
194,3,5.8,3,6,2.8
195,3,5.8,3,6,2.8
196,3,5.8,3,6,2.8
197,3,5.8,3,6,2.8
198,3,5.8,3,6,2.8
199,3,5.8,3,6,2.8
200,3,5.8,3,6,2.8
201,3,5.8,3,6,2.8
202,3,5.8,3,6,2.8
203,3,5.8,3,6,2.8
204,3,5.8,3,6,2.8
205,3,5.8,3,6,2.8
206,3,5.8,3,6,2.8
207,3,5.8,3,6,2.8
208,3,5.8,3,6.5,2.8
209,3,5.8,3,6.5,3.5
210,3,5.8,3,6.5,3.5
211,3,5.8,3,6.5,3.5
212,3,5.8,3,6.5,3.5
213,3,5.8,3,6.5,3.5
214,3,5.8,4,6.5,3.5
215,3,5.8,4,6.5,3.5
216,3,5.8,4,6.5,3.5
217,3,5.8,4,6.5,3.5
218,3,5.8,4,6.5,3.5
219,3,5.8,4,6.5,3.5
220,3,5.8,4,6.5,3.5
221,3,5.8,4,6.5,3.5
222,3,5.8,4,6.5,3.5
223,3,5.8,4,6.5,3.5
224,3,5.8,4,6.5,3.5
225,3,5.4,4,6.5,3.5
226,3,5.4,4,6.5,3.5
227,3,5.4,4,6.5,3.5
228,3,5.4,4,6.5,3.5
229,3,5.4,4,6.5,3.5
230,3,5.4,4,6.5,3.5
231,3,5.4,4,6.5,3.5
232,3,5.4,4,6.5,3.5
233,3,5.4,4,6.5,3.5
234,3,5.4,4,6.5,3.5
235,3,5.4,4,6.5,3.5
236,3,5.4,4,6.5,3.5
237,3,5.4,4,6.5,3.5
238,3,5.4,4,6.5,3.5
239,3,5.4,4,6.5,3.5
240,3,5.4,4,6.5,3.5
241,3,5.4,4,7,3.5
242,3,5.4,4,7,3.5
243,3,5.4,4,7,3.5
244,3,5.4,4,7,3.5
245,3,5.4,4,7,3.5
246,3,5.4,4,7,3.5
247,3,5.4,4,7,3.5
248,3,5.4,4,7,3.5
249,3,5.4,,7,3.5
250,3,5.4,,7,3.5
251,3,5.4,,7,3.5
252,3,5.4,,7,3.5
253,3,5.4,,7,3.5
254,3,5.4,,7,3.5
255,3,5.4,,7,3.5
256,3,5.4,,7,3.5
257,3,5.4,,7,3.5
258,3,5.4,,7,4
259,3,5.4,,7,4
260,3,5.4,,7,4
261,3,5.4,,7,4
262,3,5.4,,7,4
263,3,5.4,,7,4
264,3,5.4,,7,4
265,3,5.4,,7,4
266,3,5.4,,7,4
267,3,5.4,,7,4
268,3,5.4,,7,4
269,3,5.4,,7,4
270,3,5.4,,7,4
271,3,5.4,,7,4
