dt_inicio_sintomas,Total,Obito,SRAG,mmtotal,mmobito,mmsrag,ObjectId
2020-03-01,15,0,0,,,,110
2020-03-02,9,0,3,,,,111
2020-03-03,6,0,0,,,,112
2020-03-04,17,2,3,,,,113
2020-03-05,15,0,1,,,,114
2020-03-06,14,0,1,17,,1,115
2020-03-07,13,1,3,13,,2,116
2020-03-08,29,1,6,15,1,2,117
2020-03-09,93,5,16,27,1,4,118
2020-03-10,49,2,7,33,2,5,119
2020-03-11,58,6,10,39,2,6,120
2020-03-12,85,7,18,49,3,9,121
2020-03-13,122,7,15,64,4,11,122
2020-03-14,221,9,34,94,5,15,123
2020-03-15,187,9,27,116,6,18,124
2020-03-16,153,8,30,125,7,20,125
2020-03-17,147,15,38,139,9,25,126
2020-03-18,175,10,35,156,9,28,127
2020-03-19,448,23,55,208,12,33,128
2020-03-20,268,30,68,228,15,41,129
2020-03-21,258,20,42,234,16,42,130
2020-03-22,347,33,87,257,20,51,131
2020-03-23,267,19,57,273,21,55,132
2020-03-24,401,31,79,309,24,60,133
2020-03-25,309,21,56,328,25,63,134
2020-03-26,403,34,81,322,27,67,135
2020-03-27,421,40,88,344,28,70,136
2020-03-28,398,36,89,364,31,77,137
2020-03-29,508,48,109,387,33,80,138
2020-03-30,352,47,106,399,37,87,139
2020-03-31,755,70,173,449,42,100,140
2020-04-01,611,79,148,493,51,113,141
2020-04-02,582,72,148,518,56,123,142
2020-04-03,660,73,148,552,61,132,143
2020-04-04,788,85,174,608,68,144,144
2020-04-05,656,73,179,629,71,154,145
2020-04-06,609,88,192,666,77,166,146
2020-04-07,626,77,187,647,78,168,147
2020-04-08,785,89,203,672,80,176,148
2020-04-09,1195,121,266,760,87,193,149
2020-04-10,787,112,233,778,92,205,150
2020-04-11,899,134,283,794,99,220,151
2020-04-12,1026,118,271,847,106,234,152
2020-04-13,948,151,309,895,115,250,153
2020-04-14,1182,166,326,975,127,270,154
2020-04-15,1072,131,280,1016,133,281,155
2020-04-16,1044,144,299,994,137,286,156
2020-04-17,1083,156,337,1036,143,301,157
2020-04-18,913,159,299,1038,146,303,158
2020-04-19,2187,233,505,1204,163,336,159
2020-04-20,1008,135,306,1213,161,336,160
2020-04-21,1263,193,379,1224,164,344,161
2020-04-22,1160,182,358,1237,172,355,162
2020-04-23,1280,204,355,1271,180,363,1
2020-04-23,611,53,126,518,29,73,163
2020-04-24,1261,190,372,1296,185,368,2
2020-04-25,965,189,354,1303,189,376,3
2020-04-26,1304,207,356,1177,186,354,4
2020-04-27,3611,215,386,1549,197,366,5
2020-04-28,995,162,261,1511,193,349,6
2020-04-29,1572,244,415,1570,202,357,7
2020-04-30,2016,287,568,1675,213,387,8
2020-05-01,1061,203,361,1646,215,386,9
2020-05-02,823,194,349,1626,216,385,10
2020-05-03,1284,225,372,1623,219,387,11
2020-05-04,1606,193,334,1337,215,380,12
2020-05-05,935,161,304,1328,215,386,13
2020-05-06,893,164,283,1231,204,367,14
2020-05-07,1056,177,315,1094,188,331,15
