Area,T-Value,Norm_P_Value,PrePVal*1000,PostPVal*1000
Cidade de Deus,0.49098344133943195,0.21336574197403635,-0.9055956674329458,5.107288748832866
Galeao Airport,0.000572703415935253,0.47836520655897374,-3.008007958982339,-6.044761904761906
Santos Dumont Airport,0.08996605633860924,0.7205343595852729,-4.280862795595527,-7.12937736498108
Industrial Area,0.5735440660948481,0.6615139896369624,-0.08176199738022429,-2.7790893901420226
Pedra de Guaratiba,0.8371711706581872,0.11720715152604279,-1.1496168401135283,13.137084377610693
Copacabana,0.7478505835472934,0.822947821871454,-1.245281836980201,-2.503333333333335
Ipanema,0.1371457234893247,0.04261053270097353,0.1293713044082984,-7.910492898913952
Centro,0.15307141932845925,0.5390569777302889,-2.2939372032070566,-5.077062754926533
Cidade Nova,0.182954617627587,0.9781263751365212,-2.7765767865605384,-2.9118113912231576
Barra da Tijuca,0.02429725065978929,0.5205294457964765,-1.2482567860263059,-3.721294903926483
Campo Grande,0.5228114341757568,0.4126887495760956,1.0301475939083609,-1.0589807852965745
