Area,T-Value,Norm_P_Value,PrePVal*1000,PostPVal*1000
Cidade de Deus,0.43330030575785605,0.007133844721152218,-0.5,6.9230769230769225
Galeao Airport,1.0119751715991651e-05,0.24070970063354896,-2.571428571428574,-7.222222222222222
Santos Dumont Airport,0.0045697141337131784,0.11963880021446292,-3.384615384615384,-15.0
Industrial Area,0.3950978747739069,0.04076991150896177,0.4074074074074073,-7.0
Pedra de Guaratiba,0.05242346929693472,0.7037785527304826,-0.7575757575757575,-2.4000000000000004
Copacabana,0.7690427130593809,0.8982733501231188,-1.4375,-0.714285714285715
Ipanema,0.0628934424332596,0.07719450137905763,0.3846153846153844,-6.0
Centro,0.11515920958400874,0.9727282686851053,-0.6744186046511628,0.40000000000000036
Cidade Nova,0.604283247074799,0.8817342734987248,-3.757575757575758,-3.272727272727273
Barra da Tijuca,3.094772673758743e-05,0.11465742497637404,-0.6444444444444445,-3.7272727272727275
Campo Grande,0.502765642668819,0.9342112183772318,0.2499999999999999,0.6153846153846154
City,0.3467096477975361,0.45458505428464924,0.5789473684210524,4.777777777777779
