Date_Name,Cidade de Deus,Galeao Airport,Santos Dumont Airport,Industrial Area,Pedra de Guaratiba,Copacabana,Ipanema,Centro,Cidade Nova,Barra da Tijuca,Campo Grande
"Jan 1, 2019",1350,266.952,1027,103.176,522,875,1230,1031,1382,677.146,402
"Jan 2, 2019",860,313.095,745,104.429,449,455,566,877,1522,536,371
"Jan 3, 2019",879,208.848,1637,89.85,368,623,760,1159.5,1319,500,249.18
"Jan 4, 2019",,,,,,,,,,,
"Jan 5, 2019",,,,,,,,,,,
"Jan 6, 2019",,,,,,,,,,,
"Jan 7, 2019",1183,321.956,326,102.61,423,1163,597,1033,2172,616.495,346.782
"Jan 8, 2019",934,225.393,1219,53.358,277,487,658,1189,1178,469.707,290.577
"Jan 9, 2019",646,204.665,877,38.797,178,539,621,1043,1464,566.634,251.093
"Jan 10, 2019",666,193,403,28.853,246,797,723,1230,1482,582.819,264.022
"Jan 11, 2019",939,211.844,182,44.664,243,723,764,1222,1778,472.73,292
"Jan 12, 2019",1271,294.96,2237,74,486,636,890,1409,1819,613.838,394.74
"Jan 13, 2019",1003,236.081,669,89.31,314,597,615,1105,1489,556,318.333
"Jan 14, 2019",812,196.176,1674,51.089,320,735,446,1385,1446,519.57,268.333
"Jan 15, 2019",721,217.45,1094,41.505,289,780,937,1298,1915,595,244.663
"Jan 16, 2019",890,118,1683,67.448,375,1025,562,811,1105,618.05,184.734
"Jan 17, 2019",894,303,1657,55.313,316,546,647,1095,862,423.867,326.113
"Jan 18, 2019",961,343.388,778,75.23,303,536,738,915,1203,500.572,331.134
"Jan 19, 2019",916,278.622,968,,526,474,605,984,2141,535.208,252
"Jan 20, 2019",,305,911,56,370,730,788,1094,1430,522.35,386.751
"Jan 21, 2019",,,,,,,,,,,
"Jan 22, 2019",1019,226.443,,89,296,586,731,1157,1620,581.153,291.976
"Jan 23, 2019",961,282.575,1503,80.791,311,870,278,786,975,424.303,347.221
"Jan 24, 2019",900,312.887,1541,52.927,322,489,628,970,1172,516.931,307.551
"Jan 25, 2019",,252,,122,106,,4,,,179,279
"Jan 26, 2019",,,,,,,,,,,
"Jan 27, 2019",1215,232.333,939,47.1,297,885,785,1351,1335,686,291.92
"Jan 28, 2019",1287,302.383,1363,55.824,354,538,1019,1361,1473,586.158,346.101
"Jan 29, 2019",961,282.178,1222,73.542,324,526,592,1198,1401,489.718,291.928
"Jan 30, 2019",924,281.288,1067,58.01,334,795,629,1158,1469,621.693,298.56
"Jan 31, 2019",862,145.643,1095,33.017,301,724,721,1262,1581,586.96,256.854
"Feb 1, 2019",986,188,1084,46.357,282,600,716,1292,1713,507.6,269.115
"Feb 2, 2019",1153,255,1861,84.334,274,876,901,1296,1402,516.771,313.501
"Feb 3, 2019",828,304.251,,74.286,263,352,503,,1490,489.799,283.189
"Feb 4, 2019",,,,,,,,,,,
"Feb 5, 2019",,,,,,,,,,,
"Feb 6, 2019",,,,,312,,,,,,340
"Feb 7, 2019",,,,,,,,,,320,
"Feb 8, 2019",1277,307.44,1130,104.856,375,657,718,1145,1563,582.904,421.794
"Feb 9, 2019",1140,289,1007,53.378,402,667,953,1109,1660,502.825,306.745
"Feb 10, 2019",965,277.113,1193,72.948,305,629,640,1195,1487,517.951,274.257
"Feb 11, 2019",837,146.839,999,,370,969,966,1518,1926,489,218.861
"Feb 12, 2019",908,,,137.857,252,737,856,1173,1143,520.953,257.148
"Feb 13, 2019",,,,,,,,,,,
"Feb 14, 2019",992,361,227,145,,500,689,1184,1061,413.5,92.762
"Feb 15, 2019",,129,,49.935,347,,,,,,330.167
"Feb 16, 2019",,,,,,,,,,,
"Feb 17, 2019",,,,,,,,,,,
"Feb 18, 2019",,,,,,,,,,,
"Feb 19, 2019",,,,,,,,,,,
"Feb 20, 2019",704,,939,44,,,,909,1547,375,260.557
"Feb 21, 2019",,,,,,,,,,,
"Feb 22, 2019",,,,,,,,,,,26
"Feb 23, 2019",,,,,,,,,,,
"Feb 24, 2019",,,,,,,911,,,370,35
"Feb 25, 2019",,,,51.886,229,,,,,,503
"Feb 26, 2019",,,,,,,,,,,
"Feb 27, 2019",,,,,,,,,,,
"Feb 28, 2019",,,,,,,,,,,
"Mar 1, 2019",,,,,,,,,,,
"Mar 2, 2019",,,,,,,,,,,
"Mar 3, 2019",,,,,,,,,,,
"Mar 4, 2019",,,,,,,,,,,
"Mar 5, 2019",,,,,,,,,,,
"Mar 6, 2019",1086,278,1382,81.406,410,631,696,1382,1718,498.881,371.419
"Mar 7, 2019",,200,263,39,259,388,844,961,2924,509.421,410.143
"Mar 8, 2019",961,165.422,854,40,341,541,740,1038,2060,533.333,235.267
