Date,Date_Name,Cidade de Deus,Galeao Airport,Santos Dumont Airport,Industrial Area,Pedra de Guaratiba,Copacabana,Ipanema,Centro,Cidade Nova,Barra da Tijuca,Campo Grande
1,"Jan 1, 2019",0.353,0.12,0.058,0.17,0.381,0.266,0.68,-0.026,0.028,0.182,0.296
2,"Jan 2, 2019",-0.04,0.211,-0.046,0.22,0.072,-0.191,-0.004,-0.094,0.08,-0.054,0.142
3,"Jan 3, 2019",-0.009,-0.186,0.542,0.096,-0.085,0.04,0.11,-0.099,0.004,-0.006,-0.117
4,"Jan 4, 2019",,,,,,,,,,,
5,"Jan 5, 2019",,,,,,,,,,,
6,"Jan 6, 2019",,,,,,,,,,,
7,"Jan 7, 2019",0.276,0.213,-0.513,0.328,0.05,0.503,0.05,-0.086,0.255,-0.053,0.178
8,"Jan 8, 2019",-0.034,-0.018,-0.019,-0.224,-0.109,-0.067,0.072,-0.033,-0.054,-0.09,-0.101
9,"Jan 9, 2019",-0.285,-0.309,0.054,-0.477,-0.272,-0.123,-0.158,-0.029,0.114,-0.02,-0.238
10,"Jan 10, 2019",-0.275,-0.402,-0.412,-0.557,-0.165,0.212,0.013,0.132,0.13,-0.009,-0.241
11,"Jan 11, 2019",-0.105,-0.21,-0.754,-0.368,-0.061,0.097,0.056,0.077,0.149,-0.047,-0.166
12,"Jan 12, 2019",0.211,0.155,1.108,0.02,0.287,0.305,0.342,0.205,0.344,0.052,0.169
13,"Jan 13, 2019",0.043,0.239,-0.075,0.355,0.025,-0.17,0.086,0.009,0.077,0.035,0.102
14,"Jan 14, 2019",-0.069,-0.211,0.891,-0.211,-0.085,-0.062,-0.017,0.571,0.09,-0.037,-0.148
15,"Jan 15, 2019",-0.216,-0.104,0.087,-0.457,-0.186,0.345,0.312,0.153,0.458,0.041,-0.211
16,"Jan 16, 2019",-0.02,0.072,0.586,-0.197,0.071,0.415,-0.099,0.179,0.026,0.085,0.009
17,"Jan 17, 2019",-0.029,0.428,0.586,0.114,-0.047,-0.088,-0.007,0.009,-0.502,0.019,0.034
18,"Jan 18, 2019",-0.005,0.042,-0.103,0.047,-0.078,-0.162,0.033,-0.085,0.111,0.016,0.023
19,"Jan 19, 2019",-0.058,0.032,0.271,,-0.007,-0.206,-0.245,-0.099,0.237,0.015,-0.096
20,"Jan 20, 2019",,0.288,0.233,-0.03,-0.031,0.294,0.104,0.069,0.085,0.057,0.011
21,"Jan 21, 2019",,,,,,,,,,,
22,"Jan 22, 2019",-0.028,-0.17,,-0.005,-0.188,-0.056,0.068,-0.075,0.029,0.027,-0.086
23,"Jan 23, 2019",0.016,0.243,0.063,0.045,0.066,0.166,-0.595,-0.314,-0.258,-0.134,0.132
24,"Jan 24, 2019",-0.07,0.102,0.071,-0.148,-0.019,-0.224,-0.12,-0.099,-0.099,-0.01,-0.069
25,"Jan 25, 2019",,0.004,,0.235,-0.401,,-0.279,,,-0.146,0.036
26,"Jan 26, 2019",,,,,,,,,,,
27,"Jan 27, 2019",0.195,-0.196,0.271,-0.158,0.019,0.14,-0.001,0.137,0.027,0.1,-0.072
28,"Jan 28, 2019",0.23,0.009,0.386,-0.109,0.21,-0.068,0.378,0.125,0.133,0.013,0.055
29,"Jan 29, 2019",-0.027,0.042,0.154,-0.083,-0.105,-0.14,-0.172,0.071,0.078,-0.005,-0.007
30,"Jan 30, 2019",-0.02,-0.026,0.005,-0.229,0.047,0.196,0.081,0.024,0.13,0.052,-0.213
31,"Jan 31, 2019",-0.127,-0.342,0.032,-0.534,-0.169,0.271,0.053,0.154,0.184,0.057,-0.199
32,"Feb 1, 2019",0.02,-0.285,0.117,-0.463,-0.047,0.06,-0.032,0.035,0.144,-0.055,-0.191
33,"Feb 2, 2019",0.168,0.022,0.27,0.08,-0.009,0.243,0.223,0.069,0.078,-0.014,0.07
34,"Feb 3, 2019",-0.086,0.433,,0.194,-0.176,-0.306,0.002,,0.146,0.035,0.069
35,"Feb 4, 2019",,,,,,,,,,,
36,"Feb 5, 2019",,,,,,,,,,,
37,"Feb 6, 2019",,,,,0.054,,,,,,0.008
38,"Feb 7, 2019",,,,,,,,,,-0.05,
39,"Feb 8, 2019",0.272,0.554,0.066,0.206,0.183,-0.095,0.238,0.126,0.193,-0.046,0.266
40,"Feb 9, 2019",0.087,0.097,-0.051,-0.111,0.186,-0.009,0.252,0.006,0.262,-0.032,0.022
41,"Feb 10, 2019",-0.002,-0.091,0.126,-0.01,-0.158,0.16,0.166,0.119,0.131,0.009,-0.038
42,"Feb 11, 2019",-0.197,-0.435,-0.059,,0.025,0.349,0.343,0.26,0.17,-0.101,-0.226
43,"Feb 12, 2019",-0.062,,,-0.195,-0.199,0.065,0.154,-0.061,-0.102,-0.101,-0.199
44,"Feb 13, 2019",,,,,,,,,,,
45,"Feb 14, 2019",-0.008,0.143,-0.173,0.952,,-0.254,-0.035,0.052,-0.164,-0.118,0.27
46,"Feb 15, 2019",,0.034,,-0.056,-0.013,,,,,,-0.036
47,"Feb 16, 2019",,,,,,,,,,,
48,"Feb 17, 2019",,,,,,,,,,,
49,"Feb 18, 2019",,,,,,,,,,,
50,"Feb 19, 2019",,,,,,,,,,,
51,"Feb 20, 2019",-0.287,,0.067,0.272,,,,-0.123,0.176,-0.159,-0.213
52,"Feb 21, 2019",,,,,,,,,,,
53,"Feb 22, 2019",,,,,,,,,,,-0.145
54,"Feb 23, 2019",,,,,,,,,,,
55,"Feb 24, 2019",,,,,,,0.133,,,0.092,0.061
56,"Feb 25, 2019",,,,-0.055,-0.112,,,,,,-0.008
57,"Feb 26, 2019",,,,,,,,,,,
58,"Feb 27, 2019",,,,,,,,,,,
59,"Feb 28, 2019",,,,,,,,,,,
60,"Mar 1, 2019",,,,,,,,,,,
61,"Mar 2, 2019",,,,,,,,,,,
62,"Mar 3, 2019",,,,,,,,,,,
63,"Mar 4, 2019",,,,,,,,,,,
64,"Mar 5, 2019",,,,,,,,,,,
65,"Mar 6, 2019",0.231,-0.158,0.302,0.026,0.221,0.109,0.092,0.068,0.493,-0.054,0.067
66,"Mar 7, 2019",,0.12,-0.271,-0.187,0.063,-0.279,0.141,-0.058,1.222,0.065,0.101
67,"Mar 8, 2019",-0.006,-0.211,-0.057,-0.329,-0.134,-0.113,0.064,-0.057,0.428,-0.089,-0.181
68,"Mar 9, 2019",-0.249,-0.411,0.053,-0.623,-0.15,0.125,0.165,0.053,0.158,-0.009,-0.228
69,"Mar 10, 2019",-0.025,-0.409,0.085,-0.28,-0.098,0.131,-0.024,0.195,0.124,-0.055,-0.227
70,"Mar 11, 2019",,,,-0.184,-0.352,-0.854,0.118,-0.055,,-0.165,-0.575
71,"Mar 12, 2019",,,,,,,,,,,
72,"Mar 13, 2019",-0.094,1.016,-0.276,0.206,-0.028,-0.197,-0.219,0.029,0.181,-0.008,0.024
73,"Mar 14, 2019",-0.132,-0.03,-0.196,,,,,-0.008,0.706,0.036,
74,"Mar 15, 2019",,,,,,,,,,,
75,"Mar 16, 2019",,,,,,,,,,,
76,"Mar 17, 2019",,,,,,,,,,,
77,"Mar 18, 2019",,,,,,,,,,,
78,"Mar 19, 2019",,,,-0.317,0.011,,,,,0.112,0.013
79,"Mar 20, 2019",,,,,,,,,,,
80,"Mar 21, 2019",,,,,,,,,,,
81,"Mar 22, 2019",,,,,,,,,,,
82,"Mar 23, 2019",,-0.04,,,,,,,,,
83,"Mar 24, 2019",-0.043,-0.212,0.16,,,0.119,0.124,0.023,0.107,0.07,-0.023
84,"Mar 25, 2019",0.037,-0.309,-0.207,-0.18,-0.135,0.11,0.209,0.073,0.158,0.009,-0.084
85,"Mar 26, 2019",,-0.371,0.023,-0.31,-0.043,0.046,0.124,0.037,0.176,,
86,"Mar 27, 2019",-0.095,-0.223,-0.394,-0.24,0.014,0.09,-0.092,0.047,-0.024,-0.022,-0.07
87,"Mar 28, 2019",-0.028,-0.029,-0.085,,0.011,-0.057,-0.599,-0.06,-0.129,0.026,0.022
88,"Mar 29, 2019",,,,0.722,,,,,,,-0.01
89,"Mar 30, 2019",-0.022,-0.183,-0.196,-0.089,0.149,-0.212,-0.354,0.055,0.159,0.106,-0.021
90,"Mar 31, 2019",0.048,-0.388,,,,,,,,0.088,-0.106
91,"Apr 1, 2019",0.036,-0.037,0.04,0.017,0.156,0.002,0.044,0.04,0.104,-0.041,-0.025
92,"Apr 2, 2019",0.197,-0.075,0.526,-0.022,0.604,-0.058,0.336,-0.033,0.114,0.081,0.212
93,"Apr 3, 2019",-0.168,-0.057,,,,,,,,-0.051,
94,"Apr 4, 2019",-0.173,-0.151,-0.226,-0.181,-0.042,-0.291,-0.144,-0.054,0.205,-0.007,-0.098
95,"Apr 5, 2019",-0.131,-0.375,-0.139,-0.385,-0.062,0.224,0.542,0.188,0.016,0.017,-0.245
96,"Apr 6, 2019",,,,,,,,,,,
97,"Apr 7, 2019",0.008,0.211,0.057,0.171,,-0.048,0.149,0.044,0.017,0.052,0.134
98,"Apr 8, 2019",0.091,0.322,-0.374,1.331,-0.386,-0.318,-0.119,-0.091,0.001,0.037,0.069
99,"Apr 9, 2019",,,,,,,,,,,
100,"Apr 10, 2019",-0.508,,,-0.257,-0.583,0.09,-0.141,,,-0.241,-0.216
101,"Apr 11, 2019",-0.292,-0.273,-0.413,-0.098,-0.297,-0.338,-0.047,-0.329,-0.511,-0.416,-0.244
102,"Apr 12, 2019",0.003,-0.24,-0.273,0.103,0.142,-0.074,-0.066,0.016,0.052,-0.053,-0.009
103,"Apr 13, 2019",,,,,,,,,,,
104,"Apr 14, 2019",,,,,,,,,,,
105,"Apr 16, 2019",-0.029,-0.151,-0.048,-0.284,,0.153,0.162,0.214,0.162,0.056,-0.274
106,"Apr 17, 2019",,,,,,,,,,,
107,"Apr 18, 2019",0.154,-0.034,0.072,0.217,0.257,0.23,-0.114,-0.004,-0.575,-0.07,-0.037
108,"Apr 19, 2019",0.215,-0.041,0.173,-0.097,0.357,-0.043,0.309,0.103,0.032,-0.008,0.102
109,"Apr 20, 2019",0.001,-0.011,-0.233,-0.271,0.063,0.199,0.241,-0.478,-0.396,0.038,-0.1
110,"Apr 21, 2019",-0.071,0.011,,,,,,,,0.075,-0.068
111,"Apr 22, 2019",,-0.318,0.033,,,0.168,,0.108,-0.174,,-0.009
112,"Apr 23, 2019",0.095,0.206,-0.031,0.113,-0.074,0.117,0.186,-0.055,0.057,0.013,0.149
113,"Apr 24, 2019",,0.269,,0.158,,-0.276,-0.153,-0.035,0.008,,0.057
114,"Apr 25, 2019",-0.043,-0.322,-0.162,0.04,0.018,0.031,0.002,-0.162,-0.302,-0.073,-0.055
115,"Apr 26, 2019",-0.222,-0.225,0.132,-0.336,-0.178,0.088,0.009,0.102,0.356,-0.027,-0.168
116,"Apr 27, 2019",-0.092,-0.205,-0.072,-0.318,-0.013,0.308,0.3,0.102,0.297,0.023,-0.179
117,"Apr 28, 2019",0.062,-0.112,-0.673,-0.154,0.217,0.026,0.079,0.066,0.203,-0.007,-0.041
118,"Apr 29, 2019",,,,0.112,,,,,,,
119,"Apr 30, 2019",-0.009,0.357,,-0.013,,,0.089,,,-0.045,0.011
120,"May 1, 2019",-0.041,-0.038,0.127,-0.087,-0.353,-0.064,0.15,0.169,0.245,-0.087,0.004
121,"May 2, 2019",-0.205,-0.158,-0.114,-0.244,-0.268,0.291,0.088,0.238,0.311,-0.074,-0.211
122,"May 3, 2019",,,,,,,,,,,-0.059
123,"May 4, 2019",,,,0.269,,,,,,,
124,"May 5, 2019",-0.027,-0.272,-0.143,0.158,-0.549,-0.264,0.066,-0.12,-0.019,0.037,-0.035
125,"May 6, 2019",-0.036,-0.215,0.018,,,0.014,-0.146,0.056,0.153,-0.117,
126,"May 7, 2019",,0.099,0.263,-0.076,-0.568,-0.124,-0.147,-0.245,-0.576,-0.062,-0.032
127,"May 8, 2019",,,,,,,,,,,
128,"May 9, 2019",-0.02,0.161,,,,,0.622,,,0.023,0.049
129,"May 10, 2019",0.114,0.098,0.296,0.161,-0.012,-0.134,0.139,-0.063,0.386,0.056,0.132
130,"May 11, 2019",-0.07,-0.126,0.166,-0.336,-0.216,0.002,0.224,0.069,0.029,-0.086,-0.133
131,"May 12, 2019",,,,-0.507,-0.037,,0.313,,,,-0.086
132,"May 13, 2019",,,,,,0.085,,,,,
