Week,Date_Name,Cidade de Deus,Galeao Airport,City,Santos Dumont Airport,Industrial Area,Pedra de Guaratiba,Copacabana,Ipanema,Centro,Cidade Nova,Barra da Tijuca,Campo Grande
1,"Jan 1, 2019",0.153,0.199,0.14,0.262,0.418,0.138,0.093,0.168,-0.034,0.063,0.056,0.167
2,"Jan 8, 2019",-0.075,0.022,-0.023,0.135,-0.022,-0.028,0.108,0.012,0.063,0.132,0.053,-0.041
3,"Jan 15, 2019",-0.056,0.16,-0.015,0.221,0.01,-0.03,0.134,-0.002,-0.001,0.112,0.072,-0.003
4,"Jan 22, 2019",0.058,0.074,0.012,0.501,0.042,0.043,0.021,-0.069,-0.049,-0.035,0.04,0.028
5,"Jan 29, 2019",-0.004,0.113,-0.091,0.159,0.009,-0.033,0.034,0,0.08,0.093,0.072,-0.085
6,"Feb 5, 2019",0.048,0.167,0.198,0.224,0.237,0.092,0.179,0.157,0.152,0.172,0.008,0.05
7,"Feb 12, 2019",-0.001,0.107,-0.201,-0.095,-0.025,-0.102,-0.138,0,0.02,0.023,-0.098,-0.097
8,"Feb 19, 2019",-0.277,,-0.301,0.139,0.04,-0.104,,0.063,-0.147,0.13,-0.114,-0.195
9,"Feb 26, 2019",,,,,,,,,,,,
10,"Mar 5, 2019",0.014,-0.071,-0.061,-0.029,-0.061,-0.027,0.067,0.064,0.032,0.389,0.009,-0.132
11,"Mar 12, 2019",-0.116,1.078,0.006,-0.21,0.395,-0.027,-0.18,-0.122,0.012,0.133,0.006,0.027
12,"Mar 19, 2019",-0.036,-0.115,-0.11,0.046,-0.133,-0.06,0.199,0.067,0.046,0.106,0.055,0.011
13,"Mar 26, 2019",-0.056,-0.095,-0.097,-0.006,-0.12,0.005,-0.018,-0.2,0,0.072,0.024,0.002
14,"Apr 2, 2019",-0.005,0.154,0.161,0.043,0.037,0.119,-0.05,0.111,0.005,0.069,0.053,0.055
15,"Apr 9, 2019",-0.24,-0.161,-0.228,-0.321,-0.022,-0.195,-0.111,-0.088,-0.178,-0.264,-0.12,-0.096
16,"Apr 16, 2019",0.054,-0.01,0.055,0.047,0.024,0.26,0.135,0.047,-0.04,-0.132,0.039,0.025
17,"Apr 23, 2019",-0.049,0.006,-0.123,-0.078,0.013,0.018,0.108,0.035,0,0.093,0.041,-0.011
18,"Apr 30, 2019",-0.065,-0.034,-0.064,-0.003,0.177,-0.302,0.012,0,0.071,0.097,-0.015,-0.088
19,"May 7, 2019",0.036,0.022,0.027,0.285,-0.042,-0.104,-0.088,0,-0.062,0.018,0.001,0.043
20,"May 14, 2019",0.05,0.037,0.055,0.096,0.023,-0.314,0.056,-0.176,0.035,0.007,-0.05,-0.04
21,"May 21, 2019",0.115,0.04,0.057,-0.05,-0.031,0.069,-0.084,-0.05,-0.059,-0.011,0.011,0.003
22,"May 28, 2019",-0.129,-0.12,-0.112,-0.2,-0.173,-0.015,-0.128,-0.206,-0.178,-0.159,-0.074,-0.102
23,"Jun 4, 2019",0.049,0.035,-0.015,-0.084,-0.137,-0.03,0.071,-0.001,0.019,0.097,0.016,-0.082
24,"Jun 11, 2019",0.196,0.042,0.17,0.034,-0.227,0.237,0.044,0.058,0.077,0.057,0.022,0.073
25,"Jun 18, 2019",0.018,-0.048,-0.055,-0.004,-0.08,0.065,0.14,0.022,0.065,0.051,0.051,-0.018
26,"Jun 25, 2019",0.064,-0.108,0.054,-0.083,-0.139,0.089,-0.005,-0.097,0.049,-0.005,0.021,0.006
27,"Jul 2, 2019",-0.004,0.213,0.11,0.067,0.373,0.07,0.054,-0.07,0.082,0.11,0.005,0.039
28,"Jul 9, 2019",0.167,0,0.156,0.156,-0.212,0.34,0.082,0.069,0.157,0.04,0.088,0.026
29,"Jul 16, 2019",0.137,-0.138,0.139,0.303,-0.108,0.31,0.116,0.056,0.208,0.049,0.068,0.043
30,"Jul 23, 2019",0.13,0.072,0.148,0.056,-0.079,0.254,0.024,0.04,0.056,-0.051,-0.034,0.083
31,"Jul 30, 2019",0.112,0.005,0.014,-0.019,-0.134,0.233,0.151,0.097,0.113,-0.046,0.051,0.003
32,"Aug 6, 2019",0.182,0.037,0.03,-0.064,-0.108,0.216,0.069,0.067,0.01,0.037,0.022,0.012
33,"Aug 13, 2019",0.079,0.116,0.057,0.257,-0.076,0.158,0.19,0,0.177,0.01,0.101,0.005
34,"Aug 20, 2019",0.12,0.126,0.028,-0.101,0.078,-0.205,-0.048,-0.053,-0.219,-0.159,-0.134,0.024
35,"Aug 27, 2019",0.08,0.043,0.047,0.269,-0.221,0.181,0.088,0.154,0.033,-0.054,0.086,0.024
36,"Sep 3, 2019",-0.203,-0.028,0.028,-0.297,0.263,0.016,-0.398,-0.454,-0.457,-0.424,-0.143,0.068
37,"Sep 10, 2019",-0.022,0.066,-0.056,0.108,0.101,0.018,-0.159,-0.219,-0.059,-0.192,-0.02,0.002
38,"Sep 17, 2019",-0.165,0.121,-0.069,0,0.104,-0.095,-0.021,-0.129,-0.095,-0.174,-0.084,-0.067
39,"Sep 24, 2019",0.066,-0.039,-0.163,-0.094,0.024,-0.188,-0.371,-0.507,-0.335,-0.394,-0.368,-0.089
40,"Oct 1, 2019",0.065,-0.004,0.013,-0.175,-0.109,-0.038,-0.046,-0.151,-0.13,-0.187,-0.023,0.044
41,"Oct 8, 2019",0.033,-0.035,-0.054,0.266,-0.226,-0.032,0.097,0.072,0.112,0.043,0.14,-0.015
42,"Oct 15, 2019",-0.078,-0.019,-0.063,0.063,0.024,-0.211,-0.086,-0.353,-0.117,-0.25,-0.168,-0.042
43,"Oct 22, 2019",-0.101,0.077,0.026,-0.146,-0.135,-0.165,0.001,-0.175,-0.241,-0.343,-0.07,0.039
44,"Oct 29, 2019",-0.162,0.008,0.054,-0.531,0.166,-0.111,-0.35,-0.239,-0.19,-0.259,-0.084,0.138
