location,Operaciones,Pasajeros
Arica y Parinacota,-14.795516569200776,-2460.617251461989
Biobío,-8.169496267406483,-1557.960342757518
Coquimbo,-8.712816131237181,-1877.6043112832588
Metropolitana,-45.16758023790348,-7645.995485592782
Los Lagos,-25.242168552694853,-4316.87550441761
Araucanía,-18.839807852965752,-3265.66805903648
Antofagasta,-19.05035040066,-3574.750943758685
Tarapacá,-33.57485380116958,-5408.383918128654
Atacama,-22.944444444444443,-4062.444444444444
Magallanes,-12.175219298245615,-1992.087962962963
Aysén,-9.169590643274853,-1489.8736285157343
Los Ríos,-27.03968253968254,-3936.1031746031754
Valparaíso,-7.666666666666668,-2262.111111111111
