date,New case,Kasus Impor,Kasus Lokal,Total cases,Active case,% of active cases,"Recovered
(new)",total_recup,Recovery rate (all cases),Recovery Rate (closed cases),"Death
(new)",total_obito,Death Rate (all cases),Death Rate (closed cases),PDP,ODP,Suspect,Number of samples examined (from April 1),Number of people examined,Negative,"Positive
(=C)",In process,Specimens,The person being tested,Number of tests / million population,Test / Positive,Number of people tested / positive,Daily Test / Positive Amount,Positive / Number of Tests,Daily positive rate,Case Growth Rate,,Closure Policy,Susceptible Population,True UnHos Infected,Hospitalizados,Unhospitalized Infected,Current Infected,True Infection Rate,Measured Infection Rate,Hospitalization Rate,Ventilators,GDP
2-Mar,2.00,0,2,2.00,2.00,100.00%,0,0,0.00%,0,0,0,0.00%,,,,,339.00,339.00,335.00,2.00,2,,,,169.5,169.5,0,0.59%,,,,No Closures,100000,100,20,10,30,5,15,5,0,30000000
3-Mar,0.00,0,0,2.00,2.00,100.00%,0,0,0.00%,,0,0,0.00%,,,,,341.00,341.00,337.00,2.00,2,,2.00,,170.5,170.5,#DIV/0!,0.59%,0.00%,0.00%,,No Closures,100000,100,20,10,30,5,15,5,0,30000000
4-Mar,0.00,0,0,2.00,2.00,100.00%,0,0,0.00%,,0,0,0.00%,,,,,372.00,372.00,356.00,2.00,14,,31.00,,186,186,#DIV/0!,0.54%,0.00%,0.00%,,No Closures,100000,100,20,10,30,5,15,5,0,30000000
5-Mar,0.00,0,0,2.00,2.00,100.00%,0,0,0.00%,,0,0,0.00%,,,,,388.00,388.00,371.00,2.00,15,,16.00,,194,194,#DIV/0!,0.52%,0.00%,0.00%,,No Closures,100000,100,20,10,30,5,15,5,0,30000000
6-Mar,2.00,0,2,4.00,4.00,100.00%,0,0,0.00%,,0,0,0.00%,,,,,450.00,450.00,422.00,4.00,24,,62.00,,112.5,112.5,31,0.89%,3.77%,100.00%,,No Closures,100000,100,20,10,30,5,15,5,0,30000000
7-Mar,0.00,0,0,4.00,4.00,100.00%,0,0,0.00%,,0,0,0.00%,,,,,454.00,454.00,422.00,4.00,28,,4.00,,113.5,113.5,#DIV/0!,0.88%,0.00%,0.00%,,No Closures,100000,100,20,10,30,5,15,5,0,30000000
8-Mar,2.00,1,1,6.00,6.00,100.00%,0,0,0.00%,,0,0,0.00%,,,,,483.00,483.00,445.00,6.00,32,,29.00,,80.5,80.5,14.5,1.24%,8.00%,50.00%,,No Closures,100000,100,20,10,30,5,15,5,0,30000000
9-Mar,13.00,7,6,19.00,19.00,100.00%,0,0,0.00%,,0,0,0.00%,,,,,543.00,543.00,487.00,19.00,37,,60.00,,28.58,28.58,4.62,3.50%,23.64%,216.67%,,No Closures,100000,100,20,10,30,5,15,5,0,30000000
10-Mar,8.00,5,3,27.00,27.00,100.00%,0,0,0.00%,,0,0,0.00%,,,,,694.00,694.00,648.00,27.00,19,,151.00,,25.7,25.7,18.88,3.89%,4.73%,42.11%,,No Closures,100000,100,20,10,30,5,15,5,0,30000000
12-Mar,0.00,0,0,34.00,27.00,79.41%,1,3,8.82%,42.86%,2,4,11.76%,57.14%,,,,862.00,862.00,811.00,34.00,17,,#REF!,,25.35,25.35,#REF!,3.94%,#REF!,#REF!,39.22%,No Closures,100000,100,20,10,30,5,15,5,0,30000000
