Data,Total Cases,Recovered Population,Accumulative Deaths,Measured Current Infected,True Current Infected,Susceptible Population,True Infection Rate,Measured Infection Rate,Closure Policy,,GDP
2-Mar,2,0,0,2,4.62,267699998,4.62,2,No Closures,,3687700
3-Mar,2,0,0,2,6.77,267699998,2.15,0,No Closures,,3687700
4-Mar,2,0,0,2,24.94,267699998,18.18,0,No Closures,,3687700
5-Mar,2,0,0,2,28.79,267699998,3.85,0,No Closures,,3687700
6-Mar,4,0,0,4,28.91,267699996,0.11,2,No Closures,,3687700
7-Mar,4,0,0,4,69.47,267699996,40.56,0,No Closures,,3687700
8-Mar,6,0,0,6,125.45,267699994,55.97,2,No Closures,,3687700
9-Mar,19,0,0,19,142.9,267699981,17.46,13,No Closures,,3687700
10-Mar,27,0,0,27,142.64,267699973,-0.26,8,No Closures,,3687700
12-Mar,34,3,4,27,172.43,267699966,29.79,0,No Closures,,3687700
13-Mar,69,5,4,60,264.11,267699931,91.68,33,No Closures,,3687700
14-Mar,96,8,5,83,299.2,267699904,35.09,23,No Closures,,3687700
15-Mar,117,8,5,104,510.51,267699883,211.31,21,No Closures,,3687700
16-Mar,134,8,5,121,417.92,267699866,-92.59,17,No Closures,,3687700
17-Mar,172,9,7,156,578.77,267699828,160.85,35,No Closures,,3687700
18-Mar,227,11,19,197,554.78,267699773,-23.99,41,No Closures,,3687700
19-Mar,309,15,25,269,621.51,267699691,66.72,72,No Closures,,3687700
20-Mar,369,16,32,321,768.48,267699631,146.97,52,No Closures,,3687700
21-Mar,450,20,38,392,984.04,267699550,215.56,71,No Closures,,3687700
22-Mar,514,29,48,437,1102.5,267699486,118.47,45,No Closures,,3687700
23-Mar,579,30,49,500,1199.44,267699421,96.93,63,No Closures,,3687700
24-Mar,685,30,55,600,1478.4,267699315,278.96,100,No Closures,,3687700
25-Mar,790,31,58,701,1217.99,267699210,-260.4,101,No Closures,,3687700
26-Mar,893,35,78,780,1586.26,267699107,368.27,79,No Closures,,3687700
27-Mar,1046,46,87,913,1504.64,267698954,-81.62,133,No Closures,,3687700
