Date,Ships in Luanda Bay,Ships in Offshore Area,Ships in Lobito Bay,COVID Status
1/8/2018,34,33,8,NA
1/20/2018,37,31,9,NA
2/1/2018,32,31,8,NA
2/14/2018,31,27,9,NA
2/25/2018,33,31,7,NA
3/9/2018,28,29,7,NA
3/21/2018,23,28,8,NA
4/2/2018,25,40,9,NA
4/14/2018,34,41,8,NA
4/26/2018,23,33,10,NA
5/8/2018,23,37,8,NA
5/20/2018,26,36,7,NA
6/1/2018,21,41,7,NA
6/13/2018,24,32,8,NA
6/25/2018,25,41,6,NA
7/19/2018,22,27,12,NA
7/31/2018,22,33,8,NA
8/12/2018,26,35,7,NA
8/24/2018,22,32,8,NA
9/5/2018,22,31,6,NA
9/17/2018,22,31,5,NA
9/29/2018,20,30,6,NA
10/11/2018,26,27,10,NA
10/23/2018,45,36,6,NA
11/4/2018,26,37,7,NA
11/16/2018,22,35,7,NA
11/28/2018,20,34,5,NA
12/10/2018,19,31,9,NA
12/22/2018,23,28,7,NA
1/3/2019,37,38,5,NA
1/15/2019,32,30,7,NA
1/27/2019,29,30,5,NA
2/8/2019,27,33,6,NA
2/20/2019,33,32,6,NA
3/4/2019,36,45,8,NA
3/16/2019,35,35,9,NA
3/28/2019,40,36,9,NA
4/9/2019,27,34,8,NA
4/21/2019,25,40,11,NA
5/3/2019,25,36,7,NA
5/15/2019,26,37,8,NA
5/27/2019,32,38,7,NA
6/8/2019,28,42,7,NA
6/20/2019,26,30,10,NA
7/2/2019,20,33,7,NA
7/14/2019,27,33,6,NA
7/26/2019,28,35,8,NA
8/7/2019,24,29,8,NA
8/19/2019,31,30,7,NA
9/12/2019,33,33,6,NA
9/24/2019,23,33,7,NA
10/6/2019,30,30,7,NA
10/18/2019,27,27,5,NA
10/30/2019,31,30,7,NA
11/11/2019,27,29,6,NA
11/23/2019,31,27,6,NA
12/5/2019,28,26,6,NA
12/17/2019,29,28,8,NA
12/29/2019,28,31,7,NA
1/10/2020,37,29,6,Pre-Emergency
1/22/2020,37,28,6,Pre-Emergency
2/3/2020,24,28,6,Pre-Emergency
2/15/2020,34,29,6,Pre-Emergency
2/27/2020,27,28,6,Pre-Emergency
3/10/2020,26,28,5,Pre-Emergency
3/22/2020,28,25,6,Pre-Emergency
4/3/2020,31,25,7,Emergency State
4/15/2020,25,28,7,Emergency State
4/27/2020,26,31,6,Emergency State
5/9/2020,38,34,6,Emergency State
5/21/2020,38,35,7,Emergency State
6/2/2020,29,30,6,Calamity State
6/14/2020,36,35,6,Calamity State
6/26/2020,32,33,6,Calamity State
7/8/2020,30,33,10,Calamity State
7/21/2020,30,32,7,Calamity State
8/1/2020,32,23,9,Calamity State
8/13/2020,30,29,7,Calamity State
8/25/2020,27,24,8,Calamity State
9/6/2020,29,26,8,Calamity State
9/18/2020,30,22,8,Calamity State
9/30/2020,38,29,8,Calamity State
10/12/2020,41,23,6,Calamity State
10/24/2020,38,23,8,Calamity State
11/5/2020,41,20,8,Calamity State
11/18/2020,33,30,9,Calamity State
11/29/2020,36,19,8,Calamity State
12/11/2020,30,22,9,Calamity State
12/23/2020,24,25,8,Calamity State
