country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
BR,Brazil,State of Rio de Janeiro,Rio de Janeiro,,,,ChIJC7UkQv5-mQAR7llshDwliPk,2020-02-15,7,7,17,13,6,-2
BR,Brazil,State of Rio de Janeiro,Rio de Janeiro,,,,ChIJC7UkQv5-mQAR7llshDwliPk,2020-02-16,0,-1,0,6,-1,1
BR,Brazil,State of Rio de Janeiro,Rio de Janeiro,,,,ChIJC7UkQv5-mQAR7llshDwliPk,2020-02-17,4,7,1,13,19,-3
BR,Brazil,State of Rio de Janeiro,Rio de Janeiro,,,,ChIJC7UkQv5-mQAR7llshDwliPk,2020-02-18,-1,0,8,12,14,-2
BR,Brazil,State of Rio de Janeiro,Rio de Janeiro,,,,ChIJC7UkQv5-mQAR7llshDwliPk,2020-02-19,1,5,6,12,14,-3
BR,Brazil,State of Rio de Janeiro,Rio de Janeiro,,,,ChIJC7UkQv5-mQAR7llshDwliPk,2020-02-20,0,7,16,13,14,-3
BR,Brazil,State of Rio de Janeiro,Rio de Janeiro,,,,ChIJC7UkQv5-mQAR7llshDwliPk,2020-02-21,-4,9,23,4,-3,1
BR,Brazil,State of Rio de Janeiro,Rio de Janeiro,,,,ChIJC7UkQv5-mQAR7llshDwliPk,2020-02-22,-11,1,13,10,-13,2
BR,Brazil,State of Rio de Janeiro,Rio de Janeiro,,,,ChIJC7UkQv5-mQAR7llshDwliPk,2020-02-23,4,1,55,27,-3,1
BR,Brazil,State of Rio de Janeiro,Rio de Janeiro,,,,ChIJC7UkQv5-mQAR7llshDwliPk,2020-02-24,-21,-14,91,-30,-60,9
BR,Brazil,State of Rio de Janeiro,Rio de Janeiro,,,,ChIJC7UkQv5-mQAR7llshDwliPk,2020-02-25,-33,-46,106,-36,-69,11
BR,Brazil,State of Rio de Janeiro,Rio de Janeiro,,,,ChIJC7UkQv5-mQAR7llshDwliPk,2020-02-26,-30,-18,-4,-37,-49,8
BR,Brazil,State of Rio de Janeiro,Rio de Janeiro,,,,ChIJC7UkQv5-mQAR7llshDwliPk,2020-02-27,-20,-8,-35,-13,-7,5
BR,Brazil,State of Rio de Janeiro,Rio de Janeiro,,,,ChIJC7UkQv5-mQAR7llshDwliPk,2020-02-28,-8,2,-11,-7,-3,4
BR,Brazil,State of Rio de Janeiro,Rio de Janeiro,,,,ChIJC7UkQv5-mQAR7llshDwliPk,2020-02-29,-7,4,-17,-2,-2,4
BR,Brazil,State of Rio de Janeiro,Rio de Janeiro,,,,ChIJC7UkQv5-mQAR7llshDwliPk,2020-03-01,-29,-18,-60,-20,-15,9
BR,Brazil,State of Rio de Janeiro,Rio de Janeiro,,,,ChIJC7UkQv5-mQAR7llshDwliPk,2020-03-02,-15,0,-39,-3,11,3
BR,Brazil,State of Rio de Janeiro,Rio de Janeiro,,,,ChIJC7UkQv5-mQAR7llshDwliPk,2020-03-03,-7,2,-19,5,13,0
BR,Brazil,State of Rio de Janeiro,Rio de Janeiro,,,,ChIJC7UkQv5-mQAR7llshDwliPk,2020-03-04,-4,5,-18,5,14,0
BR,Brazil,State of Rio de Janeiro,Rio de Janeiro,,,,ChIJC7UkQv5-mQAR7llshDwliPk,2020-03-05,-1,5,-2,9,17,-1
BR,Brazil,State of Rio de Janeiro,Rio de Janeiro,,,,ChIJC7UkQv5-mQAR7llshDwliPk,2020-03-06,11,12,25,15,18,-3
BR,Brazil,State of Rio de Janeiro,Rio de Janeiro,,,,ChIJC7UkQv5-mQAR7llshDwliPk,2020-03-07,10,11,-3,12,6,0
BR,Brazil,State of Rio de Janeiro,Rio de Janeiro,,,,ChIJC7UkQv5-mQAR7llshDwliPk,2020-03-08,7,7,8,6,1,1
BR,Brazil,State of Rio de Janeiro,Rio de Janeiro,,,,ChIJC7UkQv5-mQAR7llshDwliPk,2020-03-09,3,8,6,13,20,-2
BR,Brazil,State of Rio de Janeiro,Rio de Janeiro,,,,ChIJC7UkQv5-mQAR7llshDwliPk,2020-03-10,-1,1,4,11,15,-1
BR,Brazil,State of Rio de Janeiro,Rio de Janeiro,,,,ChIJC7UkQv5-mQAR7llshDwliPk,2020-03-11,1,3,-4,9,15,-2
BR,Brazil,State of Rio de Janeiro,Rio de Janeiro,,,,ChIJC7UkQv5-mQAR7llshDwliPk,2020-03-12,-4,2,3,9,16,-1
BR,Brazil,State of Rio de Janeiro,Rio de Janeiro,,,,ChIJC7UkQv5-mQAR7llshDwliPk,2020-03-13,4,13,24,11,17,-2
BR,Brazil,State of Rio de Janeiro,Rio de Janeiro,,,,ChIJC7UkQv5-mQAR7llshDwliPk,2020-03-14,-13,12,-13,-6,2,2
BR,Brazil,State of Rio de Janeiro,Rio de Janeiro,,,,ChIJC7UkQv5-mQAR7llshDwliPk,2020-03-15,-23,3,-12,-12,-4,3
BR,Brazil,State of Rio de Janeiro,Rio de Janeiro,,,,ChIJC7UkQv5-mQAR7llshDwliPk,2020-03-16,-19,10,-19,-13,-2,4
BR,Brazil,State of Rio de Janeiro,Rio de Janeiro,,,,ChIJC7UkQv5-mQAR7llshDwliPk,2020-03-17,-37,0,-39,-29,-18,10
BR,Brazil,State of Rio de Janeiro,Rio de Janeiro,,,,ChIJC7UkQv5-mQAR7llshDwliPk,2020-03-18,-46,-4,-42,-38,-27,13
BR,Brazil,State of Rio de Janeiro,Rio de Janeiro,,,,ChIJC7UkQv5-mQAR7llshDwliPk,2020-03-19,-55,-11,-48,-45,-32,16
BR,Brazil,State of Rio de Janeiro,Rio de Janeiro,,,,ChIJC7UkQv5-mQAR7llshDwliPk,2020-03-20,-57,-10,-49,-47,-36,17
BR,Brazil,State of Rio de Janeiro,Rio de Janeiro,,,,ChIJC7UkQv5-mQAR7llshDwliPk,2020-03-21,-73,-25,-80,-61,-40,20
