SEREMI notificacion,Codigo region,SE7,SE8,SE9,SE10,SE11,SE12,SE13,SE14,SE15,SE16,SE17,SE18,SE19,SE20,SE21,SE22,SE23,SE24,SE25,SE26,SE27,SE28,SE29
Desconocido Arica y Parinacota,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Desconocido Tarapaca,01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,95.0,29.0,27.0,25.0,31.0,26.0,20.0,22.0,17.0,23.0,0.0
Desconocido Antofagasta,02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0,5.0,10.0,41.0,30.0,32.0,27.0,0.0
Desconocido Atacama,03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,2.0,0.0,0.0
Desconocido Coquimbo,04,0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,1.0,2.0,1.0,3.0,10.0,8.0,9.0,29.0,14.0,24.0,15.0,37.0,0.0
Desconocido Valparaiso,05,0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,1.0,1.0,0.0,0.0,11.0,8.0,5.0,42.0,29.0,37.0,65.0,58.0,78.0,59.0,0.0
Desconocido Metropolitana,13,0,0.0,0.0,0.0,7.0,10.0,15.0,55.0,175.0,362.0,592.0,772.0,1632.0,2569.0,2833.0,2056.0,1743.0,1687.0,1699.0,1117.0,730.0,624.0,0.0
Desconocido O’Higgins,06,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,12.0,0.0,8.0,4.0,20.0,12.0,7.0,29.0,0.0
Desconocido Maule,07,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,7.0,7.0,11.0,5.0,0.0,6.0,0.0
Desconocido Nuble,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Desconocido Biobio,08,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,7.0,9.0,11.0,35.0,43.0,10.0,17.0,0.0
Desconocido Araucania,09,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0
Desconocido Los Rios,14,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Desconocido Los Lagos,10,0,0.0,0.0,0.0,9.0,10.0,3.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,2.0,3.0,1.0,1.0,3.0,3.0,4.0,11.0,0.0
Desconocido Aysen,11,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Desconocido Magallanes,12,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,42.0,14.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
Desconocido SEREMI,,0,0,0,0,0,2,16,2,4,5,5,5,1,0,1,4,21,1,5,0,0,0,0
