SEREMI notificacion,Codigo region,SE7,SE8,SE9,SE10,SE11,SE12,SE13,SE14,SE15,SE16,SE17,SE18,SE19,SE20,SE21,SE22,SE23,SE24,SE25,SE26,SE27,SE28,SE29,SE30,SE31
Desconocido Arica y Parinacota,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0
Desconocido Tarapaca,01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,95.0,29.0,26.0,25.0,31.0,26.0,20.0,23.0,15.0,20.0,36.0,32.0,0.0
Desconocido Antofagasta,02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0,5.0,10.0,41.0,30.0,31.0,28.0,28.0,19.0,0.0
Desconocido Atacama,03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,2.0,1.0,1.0,1.0,0.0
Desconocido Coquimbo,04,0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,10.0,8.0,9.0,17.0,12.0,21.0,10.0,18.0,14.0,13.0,0.0
Desconocido Valparaiso,05,0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,1.0,1.0,0.0,0.0,11.0,8.0,6.0,38.0,29.0,37.0,64.0,53.0,63.0,34.0,31.0,45.0,0.0
Desconocido Metropolitana,13,0,0.0,0.0,0.0,6.0,11.0,19.0,55.0,177.0,363.0,578.0,742.0,1524.0,2384.0,2608.0,1778.0,1516.0,1512.0,1530.0,968.0,539.0,395.0,222.0,328.0,0.0
Desconocido O’Higgins,06,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,12.0,0.0,8.0,4.0,16.0,12.0,4.0,19.0,3.0,6.0,0.0
Desconocido Maule,07,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,4.0,7.0,10.0,5.0,0.0,2.0,3.0,11.0,0.0
Desconocido Nuble,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0
Desconocido Biobio,08,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,7.0,9.0,8.0,30.0,40.0,8.0,11.0,11.0,26.0,0.0
Desconocido Araucania,09,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Desconocido Los Rios,14,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Desconocido Los Lagos,10,0,0.0,0.0,0.0,9.0,10.0,3.0,1.0,0.0,1.0,3.0,0.0,1.0,1.0,2.0,3.0,1.0,1.0,3.0,3.0,4.0,12.0,4.0,11.0,0.0
Desconocido Aysen,11,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Desconocido Magallanes,12,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,42.0,14.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
Desconocido SEREMI,,0,0,0,0,0,1,9,1,1,1,2,4,1,0,0,2,21,0,1,0,0,0,0,1,0
