Fecha,Comuna,Transacciones
2020-03-01,Cerrillos,18365
2020-03-01,Cerro Navia,14709
2020-03-01,Conchali,22029
2020-03-01,El Bosque,15921
2020-03-01,Estacion Central,103300
2020-03-01,Huechuraba,10179
2020-03-01,Independencia,19996
2020-03-01,La Cisterna,50162
2020-03-01,La Florida,82069
2020-03-01,La Granja,10462
2020-03-01,La Pintana,11170
2020-03-01,La Reina,24336
2020-03-01,Las Condes,82475
2020-03-01,Lo Barnechea,8821
2020-03-01,Lo Espejo,10790
2020-03-01,Lo Prado,60721
2020-03-01,Macul,16629
2020-03-01,Maipu,57742
2020-03-01,Nunoa,59328
2020-03-01,Pedro Aguirre Cerda,18548
2020-03-01,Penalolen,31124
2020-03-01,Providencia,71999
2020-03-01,Pudahuel,36328
2020-03-01,Puente Alto,76079
2020-03-01,Quilicura,36670
2020-03-01,Quinta Normal,21101
2020-03-01,Recoleta,50230
2020-03-01,Renca,13349
2020-03-01,San Bernardo,25821
2020-03-01,San Joaquin,12130
2020-03-01,San Miguel,27969
2020-03-01,San Ramon,13047
2020-03-01,Santiago,200020
2020-03-01,Vitacura,10446
2020-03-01,-,14
2020-03-02,Cerrillos,55826
2020-03-02,Cerro Navia,38112
2020-03-02,Conchali,61182
2020-03-02,El Bosque,37120
2020-03-02,Estacion Central,227698
2020-03-02,Huechuraba,33797
2020-03-02,Independencia,54368
2020-03-02,La Cisterna,151785
2020-03-02,La Florida,212268
2020-03-02,La Granja,27031
2020-03-02,La Pintana,29791
2020-03-02,La Reina,71695
2020-03-02,Las Condes,354324
2020-03-02,Lo Barnechea,28634
2020-03-02,Lo Espejo,24909
2020-03-02,Lo Prado,198397
2020-03-02,Macul,52449
2020-03-02,Maipu,162324
2020-03-02,Nunoa,212439
2020-03-02,Pedro Aguirre Cerda,53516
2020-03-02,Penalolen,87676
2020-03-02,Providencia,368096
2020-03-02,Pudahuel,103166
2020-03-02,Puente Alto,229786
2020-03-02,Quilicura,111279
2020-03-02,Quinta Normal,58255
2020-03-02,Recoleta,150836
2020-03-02,Renca,44293
2020-03-02,San Bernardo,64519
2020-03-02,San Joaquin,34988
2020-03-02,San Miguel,85909
2020-03-02,San Ramon,39199
2020-03-02,Santiago,680229
2020-03-02,Vitacura,44951
2020-03-02,-,144
2020-03-03,Cerrillos,57927
2020-03-03,Cerro Navia,38040
2020-03-03,Conchali,61262
2020-03-03,El Bosque,36577
2020-03-03,Estacion Central,215123
2020-03-03,Huechuraba,33969
2020-03-03,Independencia,55589
2020-03-03,La Cisterna,152050
2020-03-03,La Florida,216832
2020-03-03,La Granja,27210
2020-03-03,La Pintana,29771
2020-03-03,La Pintana,1
2020-03-03,La Reina,74574
2020-03-03,Las Condes,362957
2020-03-03,Lo Barnechea,28608
2020-03-03,Lo Espejo,24500
2020-03-03,Lo Prado,201182
2020-03-03,Macul,53930
2020-03-03,Maipu,164650
2020-03-03,Nunoa,219016
2020-03-03,Pedro Aguirre Cerda,55847
2020-03-03,Penalolen,89130
2020-03-03,Providencia,382680
2020-03-03,Pudahuel,103845
2020-03-03,Puente Alto,238735
2020-03-03,Quilicura,111923
2020-03-03,Quinta Normal,58286
2020-03-03,Recoleta,150828
2020-03-03,Renca,43929
2020-03-03,San Bernardo,65220
2020-03-03,San Joaquin,35388
2020-03-03,San Miguel,86879
2020-03-03,San Ramon,39386
2020-03-03,Santiago,684440
2020-03-03,Vitacura,45796
2020-03-03,-,151
2020-03-04,Cerrillos,58642
2020-03-04,Cerro Navia,38666
2020-03-04,Conchali,62643
2020-03-04,El Bosque,37642
2020-03-04,Estacion Central,211689
2020-03-04,Huechuraba,33316
2020-03-04,Independencia,56117
2020-03-04,La Cisterna,151058
2020-03-04,La Florida,217399
2020-03-04,La Granja,28580
2020-03-04,La Pintana,30724
2020-03-04,La Pintana,4
2020-03-04,La Reina,75419
2020-03-04,Las Condes,363791
2020-03-04,Lo Barnechea,28406
2020-03-04,Lo Espejo,24416
2020-03-04,Lo Prado,203985
2020-03-04,Macul,54978
2020-03-04,Maipu,171711
2020-03-04,Nunoa,224845
2020-03-04,Pedro Aguirre Cerda,56274
2020-03-04,Penalolen,90977
2020-03-04,Providencia,385274
2020-03-04,Pudahuel,104693
2020-03-04,Puente Alto,215784
2020-03-04,Quilicura,111858
2020-03-04,Quinta Normal,60114
2020-03-04,Recoleta,151317
2020-03-04,Renca,44309
2020-03-04,San Bernardo,65116
2020-03-04,San Joaquin,36023
2020-03-04,San Miguel,88150
2020-03-04,San Ramon,39239
2020-03-04,Santiago,680130
2020-03-04,Vitacura,47324
2020-03-04,-,134
2020-03-05,Cerrillos,57773
2020-03-05,Cerro Navia,38492
2020-03-05,Conchali,62426
2020-03-05,El Bosque,37113
2020-03-05,Estacion Central,213620
2020-03-05,Huechuraba,33424
2020-03-05,Independencia,56149
2020-03-05,La Cisterna,152144
2020-03-05,La Florida,217362
2020-03-05,La Granja,28645
2020-03-05,La Pintana,29977
2020-03-05,La Reina,77885
2020-03-05,Las Condes,369083
2020-03-05,Lo Barnechea,28936
2020-03-05,Lo Espejo,24584
2020-03-05,Lo Prado,205938
2020-03-05,Macul,54904
2020-03-05,Maipu,160160
2020-03-05,Nunoa,225545
2020-03-05,Pedro Aguirre Cerda,56855
2020-03-05,Penalolen,90934
2020-03-05,Providencia,391534
2020-03-05,Pudahuel,105849
2020-03-05,Puente Alto,222205
2020-03-05,Quilicura,112859
2020-03-05,Quinta Normal,58956
2020-03-05,Recoleta,147146
2020-03-05,Renca,39691
2020-03-05,San Bernardo,65587
2020-03-05,San Joaquin,36002
2020-03-05,San Miguel,86700
2020-03-05,San Ramon,39506
2020-03-05,Santiago,688922
