Fecha,Transacciones
2019-01-01,973244
2019-01-02,4516314
2019-01-03,4828483
2019-01-04,4928740
2019-01-05,2666538
2019-01-06,1596272
2019-01-07,4936727
2019-01-08,4883400
2019-01-09,4874846
2019-01-10,4860376
2019-01-11,4906180
2019-01-12,2670127
2019-01-13,1599152
2019-01-14,4801457
2019-01-15,4892038
2019-01-16,4886262
2019-01-17,4863878
2019-01-18,4864639
2019-01-19,2643753
2019-01-20,1560897
2019-01-21,4646516
2019-01-22,4684428
2019-01-23,4697662
2019-01-24,4656347
2019-01-25,4678233
2019-01-26,2462003
2019-01-27,1477578
2019-01-28,4456696
2019-01-29,4506323
2019-01-30,4541934
2019-01-31,4620446
2019-02-01,4609205
2019-02-02,2545126
2019-02-03,1581384
2019-02-04,4279345
2019-02-05,4221909
2019-02-06,4214139
2019-02-07,4199000
2019-02-08,4217143
2019-02-09,2345816
2019-02-10,1466574
2019-02-11,4082925
2019-02-12,4023582
2019-02-13,4079154
2019-02-14,4071096
2019-02-15,4084506
2019-02-16,2370281
2019-02-17,1489888
2019-02-18,4092046
2019-02-19,4105132
2019-02-20,4148979
2019-02-21,4169593
2019-02-22,4215891
2019-02-23,2364641
2019-02-24,1474019
2019-02-25,4397042
2019-02-26,4463985
2019-02-27,4557124
2019-02-28,4735314
2019-03-01,4962793
2019-03-02,2827782
2019-03-03,1784614
2019-03-04,5424210
2019-03-05,5502534
2019-03-06,5559618
2019-03-07,5602430
2019-03-08,5761912
2019-03-09,2947818
2019-03-10,1773839
2019-03-11,5799701
2019-03-12,5771712
2019-03-13,5761584
2019-03-14,5794057
2019-03-15,5961765
2019-03-16,3048091
2019-03-17,1760815
2019-03-18,5846210
2019-03-19,5889259
2019-03-20,5907289
2019-03-21,5868028
2019-03-22,5949839
2019-03-23,2993688
2019-03-24,1711359
2019-03-25,5881197
2019-03-26,5882125
2019-03-27,5920316
2019-03-28,5898688
2019-03-29,5772083
2019-03-30,3232090
2019-03-31,1887181
2019-04-01,6033819
2019-04-02,6012562
2019-04-03,6012151
2019-04-04,6031919
2019-04-05,6155873
2019-04-06,3274626
2019-04-07,1921106
2019-04-08,5988050
2019-04-09,5961885
2019-04-10,5964795
2019-04-11,5949016
2019-04-12,6035680
2019-04-13,3133941
2019-04-14,1734577
2019-04-15,5950279
2019-04-16,5987667
2019-04-17,6013035
2019-04-18,5906939
2019-04-19,1626007
2019-04-20,1913971
2019-04-21,1542188
2019-04-22,5827761
2019-04-23,5877173
2019-04-24,5758646
2019-04-25,5818300
2019-04-26,5977972
2019-04-27,3172602
2019-04-28,1754099
2019-04-29,5922823
2019-04-30,6132936
2019-05-01,1496144
2019-05-02,6099694
2019-05-03,6181752
2019-05-04,3284898
2019-05-05,1841854
2019-05-06,6068929
2019-05-07,6055018
2019-05-08,6006583
2019-05-09,5985701
2019-05-10,6121372
2019-05-11,3284211
2019-05-12,1777282
2019-05-13,5850002
2019-05-14,5926922
2019-05-15,5976948
2019-05-16,5947581
2019-05-17,6041512
2019-05-18,2989108
2019-05-19,1678878
2019-05-20,4669838
2019-05-21,1711573
2019-05-22,5911853
2019-05-23,5904033
2019-05-24,5932186
2019-05-25,3058978
2019-05-26,1698804
2019-05-27,5875056
2019-05-28,5883100
2019-05-29,5470669
2019-05-30,5685255
2019-05-31,5945476
2019-06-01,3110186
2019-06-02,1778183
2019-06-03,5887292
2019-06-04,5884504
2019-06-05,5915615
2019-06-06,5899373
2019-06-07,5986437
2019-06-08,3150334
2019-06-09,1742700
2019-06-10,5831431
2019-06-11,5772641
2019-06-12,5813733
2019-06-13,5073553
2019-06-14,5788553
2019-06-15,3003032
2019-06-16,1690577
2019-06-17,5654861
2019-06-18,5708581
2019-06-19,5732228
2019-06-20,5788186
2019-06-21,5776907
2019-06-22,3042548
2019-06-23,1601928
2019-06-24,5333202
2019-06-25,5538236
2019-06-26,5627488
2019-06-27,5636997
2019-06-28,5635612
2019-06-29,2080167
2019-06-30,1695891
2019-07-01,5707684
2019-07-02,5449306
2019-07-03,5492406
2019-07-04,5641200
2019-07-05,5845573
2019-07-06,3070484
2019-07-07,1649022
2019-07-08,5634578
2019-07-09,5630238
2019-07-10,5629699
2019-07-11,5443087
2019-07-12,5512085
2019-07-13,2897129
2019-07-14,1671291
2019-07-15,4660544
2019-07-16,1921459
2019-07-17,5200788
2019-07-18,5157320
2019-07-19,5191517
2019-07-20,2833607
2019-07-21,1214036
2019-07-22,4940969
2019-07-23,5005554
2019-07-24,5049180
2019-07-25,5059479
2019-07-26,5109016
2019-07-27,2798103
2019-07-28,1616799
2019-07-29,5355809
2019-07-30,5461754
2019-07-31,5560550
2019-08-01,5599461
2019-08-02,5729323
2019-08-03,3153250
2019-08-04,1843412
2019-08-05,5862992
2019-08-06,5812615
2019-08-07,5855414
2019-08-08,5842920
2019-08-09,5891612
2019-08-10,3130099
2019-08-11,1742558
2019-08-12,5841371
2019-08-13,5854647
2019-08-14,5998503
2019-08-15,1986605
2019-08-16,5066100
2019-08-17,2827040
2019-08-18,1565010
2019-08-19,5826206
2019-08-20,5897978
2019-08-21,5884789
2019-08-22,5885497
2019-08-23,5952661
2019-08-24,3081550
2019-08-25,1671262
2019-08-26,5850708
2019-08-27,5835348
2019-08-28,5874054
2019-08-29,5888355
2019-08-30,6069116
2019-08-31,3302102
2019-09-01,1877513
2019-09-02,5970824
2019-09-03,5958076
2019-09-04,5971293
2019-09-05,5934817
2019-09-06,6044038
2019-09-07,3248671
2019-09-08,1742378
2019-09-09,5739686
2019-09-10,5881724
2019-09-11,5326538
2019-09-12,5879403
2019-09-13,5837865
2019-09-14,3048791
2019-09-15,1740826
2019-09-16,4901088
2019-09-17,4136041
2019-09-18,1328081
2019-09-19,1289462
2019-09-20,1728035
2019-09-21,2012617
2019-09-22,1482172
2019-09-23,5663834
2019-09-24,5781646
2019-09-25,5809095
2019-09-26,5802707
2019-09-27,5932518
2019-09-28,3191075
2019-09-29,1800041
2019-09-30,5850988
2019-10-01,5677018
2019-10-02,5936042
2019-10-03,5964965
2019-10-04,6072131
2019-10-05,3239408
2019-10-06,1843742
2019-10-07,5906689
2019-10-08,5895484
2019-10-09,5870668
2019-10-10,5880198
2019-10-11,5955238
2019-10-12,2482354
2019-10-13,1702426
2019-10-14,5652864
2019-10-15,5873860
2019-10-16,5812108
2019-10-17,5742802
2019-10-18,4073270
2019-10-19,579628
2019-10-20,119983
2019-10-21,831385
2019-10-22,1165076
2019-10-23,1433524
2019-10-24,1720024
2019-10-25,1761597
2019-10-26,1211910
2019-10-27,777294
2019-10-28,3063129
2019-10-29,2923016
2019-10-30,3035705
2019-10-31,1243358
2019-11-01,1165618
2019-11-02,1536140
2019-11-03,1033616
2019-11-04,3691677
2019-11-05,3755150
2019-11-06,3421250
2019-11-07,3441342
2019-11-08,3427641
2019-11-09,1880312
2019-11-10,1031034
2019-11-11,3634645
2019-11-12,1948423
2019-11-13,3372312
2019-11-14,3248573
2019-11-15,3539781
2019-11-16,1919836
2019-11-17,1066706
2019-11-18,3934797
