Region,Codigo region,Comuna,Codigo comuna,Superficie_km2,Poblacion
Tarapacá,1,Iquique,1101,2289.53,223463.0
Tarapacá,1,Alto Hospicio,1107,571.19,129999.0
Tarapacá,1,Pozo Almonte,1401,13765.8,17395.0
Tarapacá,1,Camiña,1402,2199.83,1375.0
Tarapacá,1,Colchane,1403,4007.84,1583.0
Tarapacá,1,Huara,1404,10472.5,3000.0
Tarapacá,1,Pica,1405,8982.12,5958.0
Antofagasta,2,Antofagasta,2101,30683.5,425725.0
Antofagasta,2,Mejillones,2102,3576.07,14776.0
Antofagasta,2,Sierra Gorda,2103,12883.0,1746.0
Antofagasta,2,Taltal,2104,20412.1,13657.0
Antofagasta,2,Calama,2201,15533.2,190336.0
Antofagasta,2,Ollagüe,2202,2925.54,287.0
Antofagasta,2,San Pedro de Atacama,2203,23602.2,10434.0
Antofagasta,2,Tocopilla,2301,4120.83,28079.0
Antofagasta,2,María Elena,2302,12330.1,6814.0
Atacama,3,Copiapó,3101,17782.9,171766.0
Atacama,3,Caldera,3102,3680.47,19426.0
Atacama,3,Tierra Amarilla,3103,11251.1,14312.0
Atacama,3,Chañaral,3201,5758.87,13164.0
Atacama,3,Diego de Almagro,3202,18969.2,14358.0
Atacama,3,Vallenar,3301,7226.86,57009.0
Atacama,3,Alto del Carmen,3302,6155.88,5729.0
Atacama,3,Freirina,3303,3222.55,7681.0
Atacama,3,Huasco,3304,1602.25,11264.0
Coquimbo,4,La Serena,4101,1901.22,249656.0
Coquimbo,4,Coquimbo,4102,1431.77,256735.0
Coquimbo,4,Andacollo,4103,514.2,11791.0
Coquimbo,4,La Higuera,4104,4165.74,4450.0
Coquimbo,4,Paiguano,4105,1513.94,4675.0
Coquimbo,4,Vicuña,4106,7579.04,29741.0
Coquimbo,4,Illapel,4201,2629.06,32801.0
Coquimbo,4,Canela,4202,2196.81,9546.0
Coquimbo,4,Los Vilos,4203,1859.5,23374.0
Coquimbo,4,Salamanca,4204,3445.76,29110.0
Coquimbo,4,Ovalle,4301,3546.21,121269.0
Coquimbo,4,Combarbalá,4302,2296.04,13884.0
Coquimbo,4,Monte Patria,4303,4211.35,32527.0
Coquimbo,4,Punitaqui,4304,1092.42,12165.0
Coquimbo,4,Río Hurtado,4305,2204.5,4372.0
Valparaíso,5,Valparaíso,5101,310.87,315732.0
Valparaíso,5,Casablanca,5102,954.63,29170.0
Valparaíso,5,Juan Fernández,5104,110.55,1033.0
Valparaíso,5,Puchuncaví,5105,299.68,20071.0
Valparaíso,5,Quintero,5107,146.06,36135.0
Valparaíso,5,Isla de Pascua,5201,163.83,8277.0
Valparaíso,5,Los Andes,5301,1233.75,68093.0
Valparaíso,5,Calle Larga,5302,321.23,16482.0
Valparaíso,5,Rinconada,5303,122.82,11263.0
Valparaíso,5,San Esteban,5304,1374.51,20643.0
Valparaíso,5,La Ligua,5401,1163.02,37739.0
Valparaíso,5,Cabildo,5402,1455.15,20663.0
Valparaíso,5,Papudo,5403,167.12,6201.0
Valparaíso,5,Petorca,5404,1515.74,10558.0
Valparaíso,5,Zapallar,5405,288.27,7994.0
Valparaíso,5,Calera,5502,59.97,53591.0
Valparaíso,5,Hijuelas,5503,268.15,19099.0
Valparaíso,5,La Cruz,5504,77.86,25321.0
Valparaíso,5,Nogales,5506,405.49,23490.0
Valparaíso,5,San Antonio,5601,400.04,96761.0
Valparaíso,5,Algarrobo,5602,176.3,15174.0
Valparaíso,5,Cartagena,5603,243.86,25357.0
Valparaíso,5,El Quisco,5604,51.64,17742.0
Valparaíso,5,El Tabo,5605,99.58,14338.0
Valparaíso,5,Santo Domingo,5606,536.92,11934.0
Valparaíso,5,San Felipe,5701,186.82,83494.0
Valparaíso,5,Catemu,5702,361.85,15213.0
Valparaíso,5,Llaillay,5703,348.83,26533.0
Valparaíso,5,Panquehue,5704,121.26,7633.0
Valparaíso,5,Putaendo,5705,1451.23,17645.0
Valparaíso,5,Santa María,5706,165.71,16367.0
Valparaíso,5,Quilpué,5801,536.48,167085.0
