date;comuna;region;IM_interno;IM_externo;IM
20200706;Huara;R01;1.887459807;2.175777063;4.06323687
20200707;Huara;R01;1.993569132;2.36977492;4.363344051
20200708;Huara;R01;2.151125402;2.571275456;4.722400857
20200709;Huara;R01;1.877813505;2.175777063;4.053590568
20200710;Huara;R01;1.852090032;2.224008574;4.076098607
20200711;Huara;R01;1.396570204;1.463022508;2.859592712
20200712;Huara;R01;1.185423365;1.237942122;2.423365488
20200713;Huara;R01;1.682743837;2.075026795;3.757770632
20200714;Huara;R01;2.1414791;2.399785638;4.541264737
20200715;Huara;R01;2.130760986;2.452304394;4.58306538
20200716;Huara;R01;1.605573419;1.60664523;3.21221865
20200717;Huara;R01;1.533762058;1.702036442;3.235798499
20200718;Huara;R01;1.258306538;1.377277599;2.635584137
20200719;Huara;R01;0.977491961;1.219721329;2.19721329
20200706;Alto Hospicio;R01;4.147620037;1.717563916;5.865183953
20200707;Alto Hospicio;R01;3.55364789;1.286551652;4.840199543
20200708;Alto Hospicio;R01;3.585990439;1.336811474;4.922801912
20200709;Alto Hospicio;R01;3.572105591;1.319600915;4.891706506
20200710;Alto Hospicio;R01;3.491249221;1.255289961;4.746539181
20200711;Alto Hospicio;R01;3.316940345;1.126917481;4.443857826
20200712;Alto Hospicio;R01;3.062149241;0.958885887;4.021035128
20200713;Alto Hospicio;R01;3.580253586;1.301101642;4.881355228
20200714;Alto Hospicio;R01;3.625815839;1.302473498;4.928289337
20200715;Alto Hospicio;R01;3.712907919;1.342091041;5.054998961
20200716;Alto Hospicio;R01;3.23832883;1.018457701;4.256786531
20200717;Alto Hospicio;R01;3.565287882;1.285761796;4.851049678
20200718;Alto Hospicio;R01;3.30667221;1.091872792;4.398545001
20200719;Alto Hospicio;R01;3.032176263;0.963625026;3.995801289
20200706;Iquique;R01;5.507230014;0.918993443;6.426223457
20200707;Iquique;R01;5.53415259;0.692908941;6.227061531
20200708;Iquique;R01;5.643883799;0.720439446;6.364323245
20200709;Iquique;R01;5.629879717;0.709626992;6.339506709
20200710;Iquique;R01;5.580333493;0.674041426;6.254374919
20200711;Iquique;R01;4.842850319;0.600330019;5.443180338
20200712;Iquique;R01;4.294563377;0.509357766;4.803921143
20200713;Iquique;R01;5.627491424;0.699661297;6.32715272
20200714;Iquique;R01;5.58178818;0.702787789;6.284575969
20200715;Iquique;R01;5.82789092;0.724608103;6.552499023
20200716;Iquique;R01;4.604390117;0.544747927;5.149138043
20200717;Iquique;R01;5.733010552;0.689196231;6.422206783
20200718;Iquique;R01;4.863346216;0.582678362;5.446024578
20200719;Iquique;R01;4.344153024;0.511919753;4.856072778
