Region,Codigo region,Comuna,Codigo comuna,Poblacion,2020-03-30,2020-04-01,2020-04-03,2020-04-06,2020-04-08,2020-04-10,2020-04-13,2020-04-15,2020-04-17,2020-04-20,2020-04-24,2020-04-27,2020-05-01,2020-05-04,2020-05-08,2020-05-11,2020-05-15,2020-05-18,2020-05-22,2020-05-25,2020-05-29,2020-06-01,2020-06-05,2020-06-08,2020-06-12,2020-06-15,2020-06-19,2020-06-23,2020-06-28,2020-07-01,2020-07-05,2020-07-10,2020-07-13,2020-07-17,2020-07-20,2020-07-24,2020-07-27,2020-07-31,2020-08-03,2020-08-07,2020-08-10,2020-08-14,2020-08-17,2020-08-21,2020-08-24,2020-08-28
Arica y Parinacota,15,Arica,15101,247552.0,2.4,2.4,4.8,16.6,25.4,35.1,46.5,50.1,54.1,67.1,90.5,109.1,120.0,125.2,132.5,142.6,149.9,163.6,192.7,212.1,240.8,263.8,325.6,365.2,422.5,475.1,553.8,619.3,710.2,762.3,864.1,995.3,1099.2,1261.6,1362.1,1568.2,1701.1,1872.7,1968.9,2108.6,2239.1,2386.2,2476.7,2574.8,2656.8,2740.0
Arica y Parinacota,15,Camarones,15102,1233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648.8,1054.3,1054.3,1054.3,1216.5,1297.6,1703.2,1865.4,1865.4,1946.5,2027.6,2027.6,2189.8,2027.6
Arica y Parinacota,15,General Lagos,15202,810.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.5,123.5,123.5,123.5,246.9,740.7,1851.9,5925.9,7284.0,7654.3,7654.3
Arica y Parinacota,15,Putre,15201,2515.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.8,79.5,119.3,357.9,397.6,437.4,437.4,437.4,1033.8,1113.3,1113.3,1192.8,1431.4,1471.2,1550.7,1590.5,1988.1,2186.9,2226.6,2186.9,1908.5,1948.3,1988.1
Arica y Parinacota,15,Total,,252110.0,2.4,2.4,4.8,16.3,25.0,34.5,45.6,49.2,53.2,65.8,88.9,107.1,117.8,123.0,130.1,140.0,147.2,160.6,189.2,208.2,236.4,259.0,319.7,359.0,415.7,467.7,548.2,612.4,702.9,753.2,854.0,988.9,1094.8,1257.0,1356.6,1562.0,1693.7,1863.9,1962.2,2105.4,2239.1,2388.2,2491.8,2590.5,2673.4,2754.0
Tarapaca,01,Alto Hospicio,01107,129999.0,0.0,0.0,0.0,3.8,4.6,7.7,10.8,11.5,12.3,20.8,30.0,42.3,59.2,98.5,123.8,144.6,212.3,291.5,387.7,454.6,572.3,706.9,816.9,952.3,1034.6,1129.2,1286.2,1396.2,1499.2,1524.6,1588.5,1653.9,1685.4,1723.9,1779.2,1823.9,1856.9,1940.8,1996.2,2060.8,2107.7,2203.1,2270.0,2347.7,2414.6,2472.3
Tarapaca,01,Camina,01402,1375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.5,290.9,581.8,727.3,727.3,872.7,1163.6,1163.6,1818.2,2109.1,2400.0,2545.5,2618.2,2690.9,3127.3,3127.3,2836.4,3054.5,3054.5,3054.5,3127.3,3636.4,4145.5,4218.2,4290.9,4290.9
Tarapaca,01,Colchane,01403,1583.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.2,63.2,252.7,315.9,631.7,1010.7,1642.5,2716.4,3411.2,3663.9,3853.4,4548.3,4864.2,4927.4,4990.5,5432.7,5622.2,5811.7,5811.7,5874.9,5874.9,5874.9,6064.4,6064.4,6127.6,6190.8
Tarapaca,01,Huara,01404,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,200.0,300.0,433.3,500.0,600.0,633.3,1000.0,1033.3,1100.0,1233.3,1333.3,1366.7,1833.3,2100.0,2166.7,2266.7,2600.0,3066.7,3500.0,3866.7,4166.7,4400.0,4433.3,4500.0,4466.7,4533.3,4533.3,4833.3,4933.3,5000.0,5133.3,5300.0
Tarapaca,01,Iquique,01101,223463.0,2.2,4.0,4.5,5.8,7.2,8.1,11.6,11.6,13.9,16.1,26.0,33.6,40.3,54.6,113.2,137.8,196.9,273.0,363.4,425.6,545.1,647.5,760.8,852.0,958.5,1064.6,1207.4,1321.0,1436.5,1485.3,1603.4,1706.8,1760.5,1822.7,1878.6,1970.8,2037.0,2140.0,2187.8,2271.5,2323.9,2413.4,2466.6,2537.8,2598.6,2650.1
Tarapaca,01,Pica,01405,5958.0,0.0,0.0,0.0,0.0,0.0,83.9,167.8,318.9,402.8,470.0,520.3,520.3,520.3,520.3,587.4,621.0,621.0,654.6,621.0,654.6,755.3,856.0,956.7,990.3,1007.0,1124.5,1292.4,1393.1,1510.6,1527.4,1863.0,2735.8,2819.7,2954.0,3222.6,3289.7,3440.8,3977.8,4212.8,4347.1,4464.6,4934.5,5253.4,5706.6,5924.8,6143.0
Tarapaca,01,Pozo Almonte,01401,17395.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5,11.5,11.5,11.5,11.5,11.5,11.5,17.2,23.0,28.7,40.2,57.5,115.0,161.0,270.2,396.7,523.1,695.6,1103.8,1379.7,1713.1,1966.1,2167.3,2276.5,2466.2,2724.9,2920.4,2989.4,3138.8,3340.0,3460.8,4116.1,4259.8,4420.8,4564.5,4765.7,4886.5,5047.4,5179.6,5283.1
Tarapaca,01,Total,,382773.0,1.3,2.4,2.6,4.7,5.7,8.6,13.6,16.2,19.1,24.3,34.0,42.6,52.3,75.0,119.9,142.9,201.9,275.1,363.4,425.3,545.2,658.9,772.0,881.5,992.5,1103.3,1332.4,1459.1,1575.3,1629.7,1740.5,1857.5,1917.8,1979.5,2055.3,2138.3,2199.5,2332.5,2389.7,2475.6,2528.4,2635.5,2705.0,2789.9,2859.9,2920.8
Antofagasta,02,Antofagasta,02101,425725.0,6.8,7.5,10.3,12.7,14.1,19.3,24.9,28.7,34.1,43.2,61.3,71.2,88.8,112.5,141.2,154.6,198.0,234.4,267.8,292.0,327.7,364.1,401.7,440.7,494.7,549.4,638.4,748.6,887.2,955.3,1085.2,1236.2,1338.2,1440.8,1498.2,1583.9,1638.1,1707.7,1776.7,1863.9,1948.7,2024.1,2082.8,2146.7,2199.3,2256.2
Antofagasta,02,Calama,02201,190336.0,0.0,0.0,2.6,3.7,4.2,6.8,10.5,11.0,11.0,13.1,18.4,28.4,37.3,44.1,53.6,59.9,88.3,111.9,133.4,158.7,218.0,255.3,328.9,397.2,597.9,804.9,1247.8,1626.1,2021.2,2227.6,2452.0,2713.6,2863.4,3000.5,3091.4,3192.2,3280.0,3367.2,3401.9,3478.1,3520.6,3590.5,3626.2,3659.8,3697.7,3741.8
Antofagasta,02,Maria Elena,02302,6814.0,0.0,0.0,0.0,0.0,0.0,0.0,14.7,29.4,58.7,88.1,102.7,190.8,440.3,513.6,689.8,719.1,1232.8,1643.7,1937.2,2157.3,2260.1,2304.1,2348.1,2465.5,2524.2,2568.2,2876.4,3052.5,3258.0,3624.9,3874.4,4035.8,4270.6,4373.3,4417.4,4490.8,4593.5,4725.6,4813.6,4813.6,4887.0,4916.3,4945.7,4960.4,4975.1,4989.7
Antofagasta,02,Mejillones,02102,14776.0,0.0,0.0,0.0,0.0,0.0,40.6,81.2,94.7,128.6,182.7,291.0,439.9,521.1,852.7,906.9,1015.2,1177.6,1292.6,1529.5,1536.3,1651.3,1773.1,1847.6,1888.2,1895.0,1935.6,1969.4,2138.6,2321.3,2524.4,2761.2,2883.1,2916.9,2971.0,2998.1,3052.2,3140.2,3140.2,3228.2,3363.6,3410.9,3438.0,3519.2,3559.8,3634.3,3688.4
Antofagasta,02,Ollague,02202,287.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,696.9,696.9,696.9,2090.6,2090.6,3135.9,4181.2,4181.2,5923.3,7317.1,7317.1,7317.1,7317.1,7317.1,8362.4,8362.4,8362.4,8362.4,8362.4,8362.4,8362.4
Antofagasta,02,San Pedro de Atacama,02203,10434.0,0.0,0.0,0.0,38.3,38.3,38.3,38.3,38.3,38.3,38.3,38.3,38.3,38.3,38.3,38.3,38.3,38.3,38.3,47.9,47.9,76.7,76.7,86.3,105.4,134.2,249.2,421.7,603.8,853.0,1015.9,1207.6,1428.0,1648.5,1840.1,2098.9,2252.3,2376.8,2491.9,2635.6,2693.1,2789.0,2846.5,2923.1,2980.6,3076.5,3124.4
Antofagasta,02,Sierra Gorda,02103,1746.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.5,114.5,400.9,515.5,630.0,744.6,744.6,801.8,916.4,1202.7,1489.1,2004.6,2405.5,2691.9,2520.0,2634.6,2806.4,3092.8,3207.3,3264.6,3436.4,3436.4,3780.1,3951.9,4009.2,4009.2,4238.3,4410.1,4410.1,4410.1,4410.1,4467.4
Antofagasta,02,Taltal,02104,13657.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,51.3,51.3,51.3,51.3,51.3,51.3,58.6,58.6,65.9,117.2,124.5,168.4,183.1,190.4,241.6,270.9,270.9,300.2,307.5,388.1,454.0,475.9,519.9,571.1,637.0,724.9,798.1,827.4,878.7,900.6,908.0,959.2,1032.4,1032.4,1083.7,1120.3,1200.8,1215.5,1230.1
Antofagasta,02,Tocopilla,02301,28079.0,0.0,0.0,0.0,0.0,0.0,0.0,10.7,21.4,39.2,39.2,39.2,39.2,42.7,46.3,49.9,53.4,67.7,85.5,89.0,99.7,106.8,114.0,124.6,135.3,156.7,163.8,210.1,270.7,398.9,477.2,694.5,797.7,858.3,893.9,901.0,929.5,972.3,979.4,990.1,1018.6,1025.7,1039.9,1061.3,1075.5,1107.6,1146.8
Antofagasta,02,Total,,691854.0,4.2,4.6,7.1,9.4,10.4,15.2,21.5,25.4,30.5,38.2,53.2,66.1,83.7,108.3,131.8,144.7,190.1,226.6,262.5,287.6,330.3,367.4,414.2,460.5,552.3,648.0,856.1,1036.6,1241.7,1356.9,1525.6,1705.4,1821.3,1934.7,2004.5,2093.1,2157.1,2230.1,2289.6,2372.2,2440.7,2512.4,2564.7,2618.9,2667.6,2717.5
Atacama,03,Alto del Carmen,03302,5729.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,34.9,34.9,69.8,87.3,104.7,104.7,104.7,122.2,139.6,157.1,174.6,174.6,174.6,192.0,192.0,192.0,192.0,192.0,279.3,506.2,610.9,610.9,628.4
Atacama,03,Caldera,03102,19426.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,5.1,15.4,20.6,25.7,25.7,25.7,30.9,36.0,46.3,51.5,66.9,72.1,92.7,103.0,133.8,205.9,236.8,247.1,257.4,272.8,303.7,360.3,396.4,417.0,453.0,545.7,648.6,849.4,983.2,1024.4,1199.4,1292.1
Atacama,03,Chanaral,03201,13164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,7.6,7.6,7.6,22.8,22.8,45.6,151.9,167.1,182.3,182.3,197.5,220.3,288.7,288.7,296.3,349.4,372.2,402.6,448.2,501.4,577.3,615.3,660.9,676.1,691.3
Atacama,03,Copiapo,03101,171766.0,0.0,0.0,2.3,2.3,2.9,4.7,4.7,4.7,4.7,4.7,4.7,4.7,11.1,19.8,27.9,39.0,41.3,47.7,55.9,58.2,67.0,78.6,93.1,120.5,150.8,172.9,231.1,276.0,351.1,390.1,447.1,519.3,576.9,616.5,681.7,777.2,891.9,1062.5,1212.1,1403.1,1626.6,1820.5,1957.3,2064.4,2166.9,2241.4
Atacama,03,Diego de Almagro,03202,14358.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,13.9,13.9,20.9,20.9,20.9,34.8,55.7,83.6,83.6,90.5,104.5,132.3,174.1,215.9,243.8,250.7,257.7,264.7,341.3,341.3,348.2,341.3,362.2,369.1,376.1,376.1,397.0,404.0,473.6,626.8,794.0,877.6,968.1
Atacama,03,Freirina,03303,7681.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,26.0,26.0,52.1,104.2,208.3,208.3,325.5,429.6,403.6,598.9,598.9,637.9,651.0,716.1,729.1,781.1,885.3,1080.6,1249.8,1484.2,1549.3,1601.4
Atacama,03,Huasco,03304,11264.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.9,0.0,0.0,0.0,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,17.8,44.4,71.0,79.9,97.7,133.2,150.9,186.4,186.4,221.9,221.9,230.8,230.8,230.8,257.5,284.1,301.8,319.6,346.2,364.0,426.1,497.2,550.4,657.0
