Sintomas,Cefalea,Tos,Mialgia,Fiebre,Odinofagia,Anosmia,Ageusia,Disnea,Diarrea,Dolor torácico,Dolor abdominal,Taquipnea,Cianosis,Postración,Congestión nasal
2020-03-25,48.0,103.0,71.0,98.0,48.0,,,34.0,7.0,11.0,3.0,10.0,3.0,1.0,
2020-03-26,60.0,129.0,88.0,122.0,54.0,,,49.0,11.0,16.0,4.0,15.0,3.0,1.0,
2020-03-27,65.0,147.0,97.0,141.0,63.0,,,62.0,13.0,17.0,4.0,18.0,4.0,1.0,
2020-03-28,83.0,173.0,116.0,171.0,75.0,,,80.0,18.0,22.0,7.0,25.0,4.0,1.0,
2020-03-29,86.0,180.0,118.0,178.0,80.0,,,86.0,19.0,23.0,7.0,27.0,4.0,1.0,
2020-03-30,95.0,200.0,132.0,195.0,87.0,,,99.0,23.0,26.0,9.0,33.0,6.0,,
2020-03-31,115.0,234.0,154.0,231.0,100.0,,,120.0,28.0,32.0,12.0,39.0,6.0,,
2020-04-01,133.0,273.0,174.0,264.0,112.0,,,141.0,37.0,34.0,16.0,48.0,7.0,,
2020-04-02,139.0,284.0,181.0,274.0,118.0,,,149.0,41.0,36.0,17.0,52.0,7.0,,
2020-04-03,166.0,318.0,212.0,320.0,144.0,,,176.0,50.0,46.0,21.0,61.0,10.0,,
2020-04-04,184.0,362.0,243.0,357.0,159.0,,,202.0,58.0,57.0,27.0,69.0,9.0,,
2020-04-05,199.0,390.0,257.0,381.0,174.0,,,226.0,62.0,63.0,27.0,80.0,10.0,,
2020-04-06,209.0,418.0,274.0,405.0,185.0,,,248.0,66.0,71.0,27.0,91.0,11.0,,
2020-04-07,228.0,451.0,295.0,439.0,201.0,,,264.0,73.0,75.0,32.0,95.0,13.0,,
2020-04-08,256.0,489.0,314.0,463.0,215.0,,,285.0,76.0,84.0,38.0,100.0,13.0,,
2020-04-09,297.0,548.0,361.0,528.0,245.0,,,308.0,87.0,92.0,43.0,108.0,15.0,,
2020-04-10,346.0,619.0,422.0,598.0,279.0,,,342.0,95.0,97.0,50.0,121.0,15.0,,
2020-04-11,374.0,674.0,456.0,648.0,307.0,,,358.0,105.0,103.0,52.0,125.0,16.0,,
2020-04-12,380.0,684.0,462.0,657.0,311.0,,,365.0,108.0,105.0,53.0,126.0,16.0,,
2020-06-12,8309.0,6813.0,5872.0,5597.0,4444.0,2479.0,1856.0,1455.0,1100.0,849.0,626.0,531.0,287.0,,
2020-06-15,9291.0,7580.0,6586.0,6285.0,4981.0,2757.0,2057.0,1629.0,1230.0,934.0,720.0,600.0,316.0,,
2020-06-19,5653.0,10501.0,7109.0,8523.0,3054.0,828.0,697.0,7109.0,1415.0,1864.0,1058.0,2379.0,380.0,,
2020-06-23,5990.0,11214.0,7600.0,9084.0,3215.0,877.0,744.0,8192.0,1512.0,2006.0,1160.0,2547.0,409.0,,
2020-06-28,6409.0,12027.0,8966.0,9708.0,3366.0,971.0,821.0,8151.0,1635.0,2181.0,1274.0,2767.0,442.0,,
2020-07-01,6597.0,12411.0,8424.0,9997.0,3438.0,1013.0,846.0,9321.0,1694.0,2283.0,1317.0,2895.0,475.0,,
2020-07-05,6887.0,9797.0,12981.0,10408.0,3561.0,1057.0,893.0,9797.0,1785.0,2416.0,1398.0,3040.0,502.0,,
2020-07-10,7250.0,13639.0,9238.0,10879.0,3725.0,1130.0,951.0,10352.0,1889.0,2595.0,1499.0,3225.0,532.0,,
2020-07-13,7522.0,14112.0,9582.0,11213.0,3851.0,1193.0,1008.0,10761.0,1988.0,2674.0,1567.0,3335.0,555.0,,
