Grupo de edad,< 1 años,1  4 años,5  14 años,15  44 años,45  64 años,65 y más años,00  5 años,5  17 años,18  49 años,50  59 años,60  69 años,70  79 años,80 y más años
2020-04-13,0.0,0.0,2.0,124.0,179.0,144.0,,,,,,,
2020-04-14,0.0,0.0,2.0,143.0,196.0,156.0,,,,,,,
2020-04-15,0.0,0.0,2.0,164.0,234.0,162.0,,,,,,,
2020-04-16,1.0,0.0,2.0,183.0,270.0,187.0,,,,,,,
2020-04-17,2.0,0.0,2.0,187.0,284.0,196.0,,,,,,,
2020-04-18,2.0,0.0,2.0,190.0,290.0,197.0,,,,,,,
2020-04-19,2.0,0.0,2.0,193.0,292.0,200.0,,,,,,,
2020-04-20,2.0,0.0,2.0,196.0,292.0,216.0,,,,,,,
2020-04-22,,,,,,,3.0,2.0,253.0,168.0,159.0,114.0,36.0
2020-04-23,,,,,,,4.0,2.0,260.0,172.0,161.0,114.0,40.0
2020-04-24,,,,,,,5.0,2.0,261.0,173.0,163.0,114.0,40.0
2020-04-25,,,,,,,5.0,2.0,264.0,175.0,167.0,115.0,44.0
2020-04-26,,,,,,,6.0,2.0,264.0,179.0,167.0,117.0,43.0
2020-04-27,,,,,,,7.0,2.0,264.0,180.0,172.0,119.0,43.0
2020-04-28,,,,,,,7.0,2.0,269.0,182.0,174.0,122.0,43.0
2020-05-02,,,,,,,9.0,2.0,339.0,229.0,207.0,140.0,51.0
2020-05-04,,,,,,,11.0,2.0,344.0,238.0,215.0,148.0,51.0
2020-05-06,,,,,,,11.0,4.0,357.0,245.0,220.0,157.0,56.0
2020-05-08,,,,,,,11.0,5.0,402.0,269.0,252.0,172.0,59.0
