Tipo de cama,Basica,Media,UTI,UCI
2020-04-16,384,157,111,384
2020-04-17,385,113,168,407
2020-04-18,360,131,180,380
2020-04-19,407,195,134,373
2020-04-20,424,204,129,377
2020-04-21,428,202,121,392
2020-04-22,422,219,184,399
2020-04-23,470,192,120,411
2020-04-24,489,189,118,415
2020-04-25,494,193,125,418
2020-04-26,517,212,118,415
2020-04-27,513,225,122,426
2020-04-28,562,242,121,428
2020-04-29,589,245,130,418
2020-04-30,595,245,137,419
2020-05-01,612,248,161,428
2020-05-02,653,255,171,425
2020-05-03,712,256,184,449
2020-05-04,787,280,198,464
2020-05-05,836,278,214,470
2020-05-06,908,308,213,486
2020-05-07,989,328,219,493
2020-05-08,1055,351,239,508
2020-05-09,1119,359,237,544
2020-05-10,1163,372,262,565
2020-05-11,1201,391,280,574
2020-05-12,1291,413,285,604
2020-05-13,1426,443,307,642
2020-05-14,1532,474,336,663
2020-05-15,1605,511,342,711
2020-05-16,1656,548,378,751
2020-05-17,1779,554,416,769
2020-05-18,1964,567,462,807
2020-05-19,2063,638,486,876
2020-05-20,2180,660,504,904
2020-05-21,2305,699,540,943
2020-05-22,2343,756,562,986
2020-05-23,2447,819,586,1062
2020-05-24,2556,851,652,1090
2020-05-25,2617,893,647,1135
2020-05-26,2739,966,706,1202
2020-05-27,2895,1071,719,1251
2020-05-28,3007,1071,753,1289
2020-05-29,2983,1139,772,1350
2020-05-30,3091,1180,808,1371
2020-05-31,3256,1245,825,1383
2020-06-01,3373,1300,828,1446
2020-06-02,3258,1310,853,1451
2020-06-03,3320,1375,878,1475
2020-06-04,3067,1406,896,1496
2020-06-05,3109,1417,889,1521
2020-06-06,3022,1430,920,1524
2020-06-07,3039,1486,932,1558
2020-06-08,3003,1538,933,1581
2020-06-09,3066,1622,937,1577
2020-06-10,3157,1706,1017,1590
2020-06-11,3215,1762,1045,1618
2020-06-12,3272,1847,1043,1647
2020-06-13,3335,1845,1074,1656
2020-06-14,3416,1846,1116,1715
2020-06-15,3458,1868,1136,1723
2020-06-16,3460,1931,1171,1727
2020-06-17,3466,1990,1184,1794
2020-06-18,3551,1969,1177,1845
2020-06-19,3483,1932,1187,1911
2020-06-20,3505,1956,1211,1951
2020-06-21,3536,1919,1250,1996
2020-06-22,3517,1963,1294,2014
2020-06-23,3539,1984,1294,2009
2020-06-24,3600,2026,1334,2046
2020-06-25,3549,2013,1325,2078
2020-06-26,3449,2014,1368,2086
2020-06-27,3486,1942,1379,2090
2020-06-28,3378,1823,1430,2129
2020-06-29,3413,1827,1423,2090
2020-06-30,3300,1828,1383,2106
2020-07-01,3285,1811,1395,2075
2020-07-02,3297,1734,1380,2099
2020-07-03,3243,1720,1334,2107
2020-07-04,3234,1687,1280,2077
2020-07-05,3207,1692,1272,2078
2020-07-06,3230,1717,1293,2069
2020-07-07,3217,1722,1259,2060
2020-07-08,3102,1664,1271,2053
2020-07-09,3074,1728,1229,1999
2020-07-10,3051,1775,1190,1990
2020-07-11,3034,1735,1158,1999
2020-07-12,2887,1680,1155,1995
2020-07-13,2854,1671,1172,1931
2020-07-14,2833,1667,1146,1915
2020-07-15,2718,1681,1135,1878
2020-07-16,2517,1602,1093,1821
2020-07-17,2544,1578,1077,1796
2020-07-18,2418,1561,1065,1792
2020-07-19,2277,1531,1061,1764
2020-07-20,2131,1557,1042,1753
2020-07-21,2139,1580,1039,1728
2020-07-22,1997,1455,1062,1688
2020-07-23,1947,1461,1044,1670
2020-07-24,1936,1434,1040,1636
2020-07-25,1890,1412,1034,1612
2020-07-26,1886,1403,1029,1592
2020-07-27,1895,1429,1023,1555
2020-07-28,1839,1392,1005,1529
2020-07-29,1815,1369,939,1485
2020-07-30,1792,1351,894,1463
2020-07-31,1779,1355,887,1445
2020-08-01,1755,1341,877,1445
2020-08-02,1769,1323,860,1437
2020-08-03,1746,1344,863,1419
2020-08-04,1700,1317,849,1405
2020-08-05,1675,1284,845,1400
2020-08-06,1641,1268,844,1358
2020-08-07,1632,1267,839,1348
2020-08-08,1669,1284,825,1305
2020-08-09,1679,1259,817,1276
2020-08-10,1674,1253,780,1280
2020-08-11,1684,1247,747,1268
2020-08-12,1693,1209,745,1255
2020-08-13,1681,1221,740,1259
2020-08-14,1670,1241,747,1252
2020-08-15,1642,1243,723,1207
2020-08-16,1672,1262,719,1190
2020-08-17,1660,1255,738,1177
2020-08-18,1594,1253,734,1157
2020-08-19,1579,1240,726,1120
2020-08-20,1495,1203,728,1077
2020-08-21,1385,1158,715,1072
2020-08-22,1398,1133,695,1058
2020-08-23,1389,1131,695,1027
2020-08-24,1388,1144,681,1014
2020-08-25,1412,1148,693,1011
2020-08-26,1435,1069,682,1004
2020-08-27,1418,1033,695,1012
2020-08-28,1387,1069,690,995
2020-08-29,1387,1052,692,959
