Tipo de cama,fecha,Casos confirmados
Basica,2020-04-16,384
Media,2020-04-16,157
UTI,2020-04-16,111
UCI,2020-04-16,384
Basica,2020-04-17,385
Media,2020-04-17,113
UTI,2020-04-17,168
UCI,2020-04-17,407
Basica,2020-04-18,360
Media,2020-04-18,131
UTI,2020-04-18,180
UCI,2020-04-18,380
Basica,2020-04-19,407
Media,2020-04-19,195
UTI,2020-04-19,134
UCI,2020-04-19,373
Basica,2020-04-20,424
Media,2020-04-20,204
UTI,2020-04-20,129
UCI,2020-04-20,377
Basica,2020-04-21,428
Media,2020-04-21,202
UTI,2020-04-21,121
UCI,2020-04-21,392
Basica,2020-04-22,422
Media,2020-04-22,219
UTI,2020-04-22,184
UCI,2020-04-22,399
Basica,2020-04-23,470
Media,2020-04-23,192
UTI,2020-04-23,120
UCI,2020-04-23,411
Basica,2020-04-24,489
Media,2020-04-24,189
UTI,2020-04-24,118
UCI,2020-04-24,415
Basica,2020-04-25,494
Media,2020-04-25,193
UTI,2020-04-25,125
UCI,2020-04-25,418
Basica,2020-04-26,517
Media,2020-04-26,212
UTI,2020-04-26,118
UCI,2020-04-26,415
Basica,2020-04-27,513
Media,2020-04-27,225
UTI,2020-04-27,122
UCI,2020-04-27,426
Basica,2020-04-28,562
Media,2020-04-28,242
UTI,2020-04-28,121
UCI,2020-04-28,428
Basica,2020-04-29,589
Media,2020-04-29,245
UTI,2020-04-29,130
UCI,2020-04-29,418
Basica,2020-04-30,595
Media,2020-04-30,245
UTI,2020-04-30,137
UCI,2020-04-30,419
Basica,2020-05-01,612
Media,2020-05-01,248
UTI,2020-05-01,161
UCI,2020-05-01,428
Basica,2020-05-02,653
Media,2020-05-02,255
UTI,2020-05-02,171
UCI,2020-05-02,425
Basica,2020-05-03,712
Media,2020-05-03,256
UTI,2020-05-03,184
UCI,2020-05-03,449
Basica,2020-05-04,787
Media,2020-05-04,280
UTI,2020-05-04,198
UCI,2020-05-04,464
Basica,2020-05-05,836
Media,2020-05-05,278
UTI,2020-05-05,214
UCI,2020-05-05,470
Basica,2020-05-06,908
Media,2020-05-06,308
UTI,2020-05-06,213
UCI,2020-05-06,486
Basica,2020-05-07,989
Media,2020-05-07,328
UTI,2020-05-07,219
UCI,2020-05-07,493
Basica,2020-05-08,1055
Media,2020-05-08,351
UTI,2020-05-08,239
UCI,2020-05-08,508
Basica,2020-05-09,1119
Media,2020-05-09,359
UTI,2020-05-09,237
UCI,2020-05-09,544
Basica,2020-05-10,1163
Media,2020-05-10,372
UTI,2020-05-10,262
UCI,2020-05-10,565
Basica,2020-05-11,1201
Media,2020-05-11,391
UTI,2020-05-11,280
UCI,2020-05-11,574
Basica,2020-05-12,1291
Media,2020-05-12,413
UTI,2020-05-12,285
UCI,2020-05-12,604
Basica,2020-05-13,1426
Media,2020-05-13,443
UTI,2020-05-13,307
UCI,2020-05-13,642
Basica,2020-05-14,1532
Media,2020-05-14,474
UTI,2020-05-14,336
UCI,2020-05-14,663
Basica,2020-05-15,1605
Media,2020-05-15,511
UTI,2020-05-15,342
UCI,2020-05-15,711
Basica,2020-05-16,1656
Media,2020-05-16,548
UTI,2020-05-16,378
UCI,2020-05-16,751
Basica,2020-05-17,1779
Media,2020-05-17,554
UTI,2020-05-17,416
UCI,2020-05-17,769
Basica,2020-05-18,1964
Media,2020-05-18,567
UTI,2020-05-18,462
UCI,2020-05-18,807
Basica,2020-05-19,2063
Media,2020-05-19,638
UTI,2020-05-19,486
UCI,2020-05-19,876
Basica,2020-05-20,2180
Media,2020-05-20,660
UTI,2020-05-20,504
UCI,2020-05-20,904
Basica,2020-05-21,2305
Media,2020-05-21,699
UTI,2020-05-21,540
UCI,2020-05-21,943
Basica,2020-05-22,2343
Media,2020-05-22,756
UTI,2020-05-22,562
UCI,2020-05-22,986
Basica,2020-05-23,2447
Media,2020-05-23,819
UTI,2020-05-23,586
UCI,2020-05-23,1062
Basica,2020-05-24,2556
Media,2020-05-24,851
UTI,2020-05-24,652
UCI,2020-05-24,1090
Basica,2020-05-25,2617
Media,2020-05-25,893
UTI,2020-05-25,647
UCI,2020-05-25,1135
Basica,2020-05-26,2739
Media,2020-05-26,966
UTI,2020-05-26,706
UCI,2020-05-26,1202
Basica,2020-05-27,2895
Media,2020-05-27,1071
UTI,2020-05-27,719
UCI,2020-05-27,1251
Basica,2020-05-28,3007
Media,2020-05-28,1071
UTI,2020-05-28,753
UCI,2020-05-28,1289
Basica,2020-05-29,2983
Media,2020-05-29,1139
UTI,2020-05-29,772
UCI,2020-05-29,1350
Basica,2020-05-30,3091
Media,2020-05-30,1180
UTI,2020-05-30,808
UCI,2020-05-30,1371
Basica,2020-05-31,3256
Media,2020-05-31,1245
UTI,2020-05-31,825
UCI,2020-05-31,1383
Basica,2020-06-01,3373
Media,2020-06-01,1300
UTI,2020-06-01,828
UCI,2020-06-01,1446
Basica,2020-06-02,3258
Media,2020-06-02,1310
UTI,2020-06-02,853
UCI,2020-06-02,1451
Basica,2020-06-03,3320
Media,2020-06-03,1375
UTI,2020-06-03,878
UCI,2020-06-03,1475
Basica,2020-06-04,3067
Media,2020-06-04,1406
UTI,2020-06-04,896
UCI,2020-06-04,1496
Basica,2020-06-05,3109
Media,2020-06-05,1417
UTI,2020-06-05,889
UCI,2020-06-05,1521
Basica,2020-06-06,3022
Media,2020-06-06,1430
UTI,2020-06-06,920
UCI,2020-06-06,1524
Basica,2020-06-07,3039
Media,2020-06-07,1486
UTI,2020-06-07,932
UCI,2020-06-07,1558
Basica,2020-06-08,3003
Media,2020-06-08,1538
UTI,2020-06-08,933
UCI,2020-06-08,1581
Basica,2020-06-09,3066
Media,2020-06-09,1622
UTI,2020-06-09,937
UCI,2020-06-09,1577
Basica,2020-06-10,3157
Media,2020-06-10,1706
UTI,2020-06-10,1017
UCI,2020-06-10,1590
Basica,2020-06-11,3215
Media,2020-06-11,1762
UTI,2020-06-11,1045
UCI,2020-06-11,1618
Basica,2020-06-12,3272
Media,2020-06-12,1847
UTI,2020-06-12,1043
UCI,2020-06-12,1647
Basica,2020-06-13,3335
Media,2020-06-13,1845
UTI,2020-06-13,1074
UCI,2020-06-13,1656
Basica,2020-06-14,3416
Media,2020-06-14,1846
UTI,2020-06-14,1116
UCI,2020-06-14,1715
Basica,2020-06-15,3458
Media,2020-06-15,1868
UTI,2020-06-15,1136
UCI,2020-06-15,1723
Basica,2020-06-16,3460
Media,2020-06-16,1931
UTI,2020-06-16,1171
UCI,2020-06-16,1727
Basica,2020-06-17,3466
Media,2020-06-17,1990
UTI,2020-06-17,1184
UCI,2020-06-17,1794
Basica,2020-06-18,3551
Media,2020-06-18,1969
UTI,2020-06-18,1177
UCI,2020-06-18,1845
Basica,2020-06-19,3483
Media,2020-06-19,1932
UTI,2020-06-19,1187
UCI,2020-06-19,1911
Basica,2020-06-20,3505
Media,2020-06-20,1956
UTI,2020-06-20,1211
UCI,2020-06-20,1951
Basica,2020-06-21,3536
Media,2020-06-21,1919
UTI,2020-06-21,1250
UCI,2020-06-21,1996
Basica,2020-06-22,3517
Media,2020-06-22,1963
UTI,2020-06-22,1294
UCI,2020-06-22,2014
Basica,2020-06-23,3539
Media,2020-06-23,1984
UTI,2020-06-23,1294
UCI,2020-06-23,2009
Basica,2020-06-24,3600
Media,2020-06-24,2026
UTI,2020-06-24,1334
UCI,2020-06-24,2046
Basica,2020-06-25,3549
Media,2020-06-25,2013
UTI,2020-06-25,1325
UCI,2020-06-25,2078
Basica,2020-06-26,3449
Media,2020-06-26,2014
UTI,2020-06-26,1368
UCI,2020-06-26,2086
Basica,2020-06-27,3486
Media,2020-06-27,1942
UTI,2020-06-27,1379
UCI,2020-06-27,2090
Basica,2020-06-28,3378
Media,2020-06-28,1823
UTI,2020-06-28,1430
UCI,2020-06-28,2129
Basica,2020-06-29,3413
Media,2020-06-29,1827
UTI,2020-06-29,1423
UCI,2020-06-29,2090
Basica,2020-06-30,3300
Media,2020-06-30,1828
UTI,2020-06-30,1383
UCI,2020-06-30,2106
Basica,2020-07-01,3285
Media,2020-07-01,1811
UTI,2020-07-01,1395
UCI,2020-07-01,2075
Basica,2020-07-02,3297
Media,2020-07-02,1734
UTI,2020-07-02,1380
UCI,2020-07-02,2099
Basica,2020-07-03,3243
Media,2020-07-03,1720
UTI,2020-07-03,1334
UCI,2020-07-03,2107
Basica,2020-07-04,3234
Media,2020-07-04,1687
UTI,2020-07-04,1280
UCI,2020-07-04,2077
Basica,2020-07-05,3207
Media,2020-07-05,1692
UTI,2020-07-05,1272
UCI,2020-07-05,2078
Basica,2020-07-06,3230
Media,2020-07-06,1717
UTI,2020-07-06,1293
UCI,2020-07-06,2069
Basica,2020-07-07,3217
Media,2020-07-07,1722
UTI,2020-07-07,1259
UCI,2020-07-07,2060
Basica,2020-07-08,3102
Media,2020-07-08,1664
UTI,2020-07-08,1271
UCI,2020-07-08,2053
Basica,2020-07-09,3074
Media,2020-07-09,1728
UTI,2020-07-09,1229
UCI,2020-07-09,1999
Basica,2020-07-10,3051
Media,2020-07-10,1775
UTI,2020-07-10,1190
UCI,2020-07-10,1990
Basica,2020-07-11,3034
Media,2020-07-11,1735
UTI,2020-07-11,1158
UCI,2020-07-11,1999
Basica,2020-07-12,2887
Media,2020-07-12,1680
UTI,2020-07-12,1155
UCI,2020-07-12,1995
Basica,2020-07-13,2854
Media,2020-07-13,1671
UTI,2020-07-13,1172
UCI,2020-07-13,1931
Basica,2020-07-14,2833
Media,2020-07-14,1667
UTI,2020-07-14,1146
UCI,2020-07-14,1915
Basica,2020-07-15,2718
Media,2020-07-15,1681
UTI,2020-07-15,1135
UCI,2020-07-15,1878
Basica,2020-07-16,2517
Media,2020-07-16,1602
UTI,2020-07-16,1093
UCI,2020-07-16,1821
Basica,2020-07-17,2544
Media,2020-07-17,1578
UTI,2020-07-17,1077
UCI,2020-07-17,1796
Basica,2020-07-18,2418
Media,2020-07-18,1561
UTI,2020-07-18,1065
UCI,2020-07-18,1792
Basica,2020-07-19,2277
Media,2020-07-19,1531
UTI,2020-07-19,1061
UCI,2020-07-19,1764
Basica,2020-07-20,2131
Media,2020-07-20,1557
UTI,2020-07-20,1042
UCI,2020-07-20,1753
Basica,2020-07-21,2139
Media,2020-07-21,1580
UTI,2020-07-21,1039
UCI,2020-07-21,1728
Basica,2020-07-22,1997
Media,2020-07-22,1455
UTI,2020-07-22,1062
UCI,2020-07-22,1688
Basica,2020-07-23,1947
Media,2020-07-23,1461
UTI,2020-07-23,1044
UCI,2020-07-23,1670
Basica,2020-07-24,1936
Media,2020-07-24,1434
UTI,2020-07-24,1040
UCI,2020-07-24,1636
Basica,2020-07-25,1890
Media,2020-07-25,1412
UTI,2020-07-25,1034
UCI,2020-07-25,1612
Basica,2020-07-26,1886
Media,2020-07-26,1403
UTI,2020-07-26,1029
UCI,2020-07-26,1592
Basica,2020-07-27,1895
Media,2020-07-27,1429
UTI,2020-07-27,1023
UCI,2020-07-27,1555
Basica,2020-07-28,1839
Media,2020-07-28,1392
UTI,2020-07-28,1005
UCI,2020-07-28,1529
Basica,2020-07-29,1815
Media,2020-07-29,1369
UTI,2020-07-29,939
UCI,2020-07-29,1485
Basica,2020-07-30,1792
Media,2020-07-30,1351
UTI,2020-07-30,894
UCI,2020-07-30,1463
Basica,2020-07-31,1779
Media,2020-07-31,1355
UTI,2020-07-31,887
UCI,2020-07-31,1445
Basica,2020-08-01,1755
Media,2020-08-01,1341
UTI,2020-08-01,877
UCI,2020-08-01,1445
Basica,2020-08-02,1769
Media,2020-08-02,1323
UTI,2020-08-02,860
UCI,2020-08-02,1437
Basica,2020-08-03,1746
Media,2020-08-03,1344
UTI,2020-08-03,863
UCI,2020-08-03,1419
Basica,2020-08-04,1700
Media,2020-08-04,1317
UTI,2020-08-04,849
UCI,2020-08-04,1405
Basica,2020-08-05,1675
Media,2020-08-05,1284
UTI,2020-08-05,845
UCI,2020-08-05,1400
Basica,2020-08-06,1641
Media,2020-08-06,1268
UTI,2020-08-06,844
UCI,2020-08-06,1358
Basica,2020-08-07,1632
Media,2020-08-07,1267
UTI,2020-08-07,839
UCI,2020-08-07,1348
Basica,2020-08-08,1669
Media,2020-08-08,1284
UTI,2020-08-08,825
UCI,2020-08-08,1305
Basica,2020-08-09,1679
Media,2020-08-09,1259
UTI,2020-08-09,817
UCI,2020-08-09,1276
Basica,2020-08-10,1674
Media,2020-08-10,1253
UTI,2020-08-10,780
UCI,2020-08-10,1280
Basica,2020-08-11,1684
Media,2020-08-11,1247
UTI,2020-08-11,747
UCI,2020-08-11,1268
Basica,2020-08-12,1693
Media,2020-08-12,1209
UTI,2020-08-12,745
UCI,2020-08-12,1255
Basica,2020-08-13,1681
Media,2020-08-13,1221
UTI,2020-08-13,740
UCI,2020-08-13,1259
Basica,2020-08-14,1670
Media,2020-08-14,1241
UTI,2020-08-14,747
UCI,2020-08-14,1252
Basica,2020-08-15,1642
Media,2020-08-15,1243
UTI,2020-08-15,723
UCI,2020-08-15,1207
Basica,2020-08-16,1672
Media,2020-08-16,1262
UTI,2020-08-16,719
UCI,2020-08-16,1190
Basica,2020-08-17,1660
Media,2020-08-17,1255
UTI,2020-08-17,738
UCI,2020-08-17,1177
Basica,2020-08-18,1594
Media,2020-08-18,1253
UTI,2020-08-18,734
UCI,2020-08-18,1157
Basica,2020-08-19,1579
Media,2020-08-19,1240
UTI,2020-08-19,726
UCI,2020-08-19,1120
Basica,2020-08-20,1495
Media,2020-08-20,1203
UTI,2020-08-20,728
UCI,2020-08-20,1077
Basica,2020-08-21,1385
Media,2020-08-21,1158
UTI,2020-08-21,715
UCI,2020-08-21,1072
Basica,2020-08-22,1398
Media,2020-08-22,1133
UTI,2020-08-22,695
UCI,2020-08-22,1058
Basica,2020-08-23,1389
Media,2020-08-23,1131
UTI,2020-08-23,695
UCI,2020-08-23,1027
Basica,2020-08-24,1388
Media,2020-08-24,1144
UTI,2020-08-24,681
UCI,2020-08-24,1014
Basica,2020-08-25,1412
Media,2020-08-25,1148
UTI,2020-08-25,693
UCI,2020-08-25,1011
Basica,2020-08-26,1435
Media,2020-08-26,1069
UTI,2020-08-26,682
UCI,2020-08-26,1004
Basica,2020-08-27,1418
Media,2020-08-27,1033
UTI,2020-08-27,695
UCI,2020-08-27,1012
Basica,2020-08-28,1387
Media,2020-08-28,1069
UTI,2020-08-28,690
UCI,2020-08-28,995
Basica,2020-08-29,1387
Media,2020-08-29,1052
UTI,2020-08-29,692
UCI,2020-08-29,959
