Region,Codigo region,Comuna,Codigo comuna,Poblacion,2020-04-13,2020-04-15,2020-04-17,2020-04-20,2020-04-24,2020-04-27,2020-05-01,2020-05-04,2020-05-08,2020-05-11,2020-05-15,2020-05-18,2020-05-22,2020-05-25,2020-05-29,2020-06-01,2020-06-05,2020-06-08,2020-06-12,2020-06-15,2020-06-19,2020-06-23,2020-06-28,2020-07-01,2020-07-05,2020-07-10,2020-07-13,2020-07-17,2020-07-20,2020-07-24,2020-07-27,2020-07-31,2020-08-03,2020-08-07,2020-08-10,2020-08-14,2020-08-17,2020-08-21,2020-08-24,2020-08-28
Arica y Parinacota,15,Arica,15101,247552.0,88.0,81.0,74.0,66.0,79.0,103.0,106.0,88.0,62.0,66.0,49.0,68.0,117.0,143.0,163.0,177.0,248.0,278.0,328.0,353.0,359.0,382.0,408.0,406.0,496.0,577.0,657.0,819.0,864.0,987.0,991.0,965.0,865.0,711.0,782.0,777.0,779.0,653.0,644.0,585.0
Arica y Parinacota,15,Camarones,15102,1233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,12.0,12.0,7.0,2.0,2.0,6.0,5.0,5.0,1.0,1.0,1.0,3.0,0.0
Arica y Parinacota,15,General Lagos,15202,810.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,5.0,14.0,26.0,11.0,8.0,3.0
Arica y Parinacota,15,Putre,15201,2515.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,8.0,7.0,1.0,1.0,1.0,15.0,17.0,15.0,12.0,7.0,7.0,3.0,1.0,10.0,15.0,9.0,6.0,1.0,2.0,2.0
Arica y Parinacota,15,Desconocido Arica y Parinacota,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,3.0,4.0,4.0,6.0,8.0,7.0,12.0,10.0,13.0,7.0,6.0,3.0
Arica y Parinacota,15,Total,,252110.0,88.0,81.0,74.0,66.0,79.0,103.0,106.0,88.0,62.0,66.0,49.0,68.0,117.0,143.0,163.0,177.0,248.0,279.0,330.0,356.0,367.0,389.0,410.0,407.0,497.0,593.0,683.0,849.0,891.0,1006.0,1005.0,977.0,880.0,734.0,819.0,811.0,825.0,673.0,663.0,593.0
Tarapaca,01,Alto Hospicio,01107,129999.0,8.0,8.0,7.0,15.0,19.0,28.0,38.0,78.0,93.0,94.0,119.0,185.0,247.0,255.0,253.0,300.0,266.0,302.0,235.0,247.0,243.0,239.0,218.0,219.0,206.0,166.0,138.0,119.0,144.0,131.0,132.0,181.0,191.0,195.0,203.0,201.0,222.0,220.0,248.0,200.0
Tarapaca,01,Camina,01402,1375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,7.0,7.0,4.0,4.0,2.0,2.0,8.0,10.0,13.0,7.0,6.0,3.0,7.0,3.0,1.0,3.0,3.0,2.0,2.0,8.0,12.0,13.0,8.0,2.0
Tarapaca,01,Colchane,01403,1583.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,8.0,12.0,15.0,28.0,24.0,20.0,15.0,16.0,15.0,13.0,4.0,9.0,12.0,12.0,11.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0
Tarapaca,01,Huara,01404,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,7.0,7.0,5.0,7.0,6.0,11.0,9.0,6.0,8.0,6.0,6.0,10.0,12.0,9.0,9.0,15.0,21.0,28.0,28.0,27.0,21.0,18.0,13.0,9.0,6.0,3.0,11.0,12.0,9.0,9.0,10.0
Tarapaca,01,Iquique,01101,223463.0,11.0,8.0,10.0,10.0,29.0,38.0,39.0,63.0,169.0,206.0,293.0,371.0,420.0,470.0,517.0,536.0,513.0,529.0,478.0,550.0,576.0,550.0,496.0,418.0,456.0,433.0,409.0,344.0,337.0,345.0,400.0,484.0,434.0,380.0,376.0,388.0,373.0,353.0,367.0,299.0
Tarapaca,01,Pica,01405,5958.0,9.0,17.0,21.0,17.0,13.0,9.0,0.0,0.0,3.0,4.0,4.0,4.0,1.0,2.0,7.0,12.0,15.0,14.0,8.0,14.0,15.0,18.0,17.0,14.0,29.0,71.0,69.0,57.0,39.0,23.0,26.0,46.0,48.0,41.0,33.0,40.0,53.0,61.0,57.0,43.0
Tarapaca,01,Pozo Almonte,01401,17395.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,4.0,13.0,19.0,30.0,46.0,44.0,57.0,98.0,116.0,130.0,106.0,64.0,65.0,55.0,66.0,84.0,56.0,54.0,48.0,53.0,141.0,143.0,145.0,82.0,78.0,81.0,73.0,65.0,54.0
Tarapaca,01,Desconocido Tarapaca,,,,,,,,,,,,,,,,,,,,,,,44.0,40.0,36.0,39.0,40.0,35.0,39.0,38.0,72.0,60.0,68.0,59.0,49.0,62.0,30.0,27.0,29.0,24.0,23.0,22.0
Tarapaca,01,Total,,382773.0,30.0,35.0,38.0,42.0,61.0,75.0,77.0,145.0,273.0,314.0,426.0,569.0,688.0,752.0,821.0,907.0,854.0,920.0,837.0,949.0,1035.0,995.0,872.0,794.0,829.0,815.0,788.0,658.0,684.0,640.0,710.0,939.0,888.0,834.0,731.0,754.0,784.0,754.0,779.0,632.0
Antofagasta,02,Antofagasta,02101,425725.0,50.0,55.0,63.0,88.0,128.0,141.0,158.0,201.0,237.0,228.0,300.0,319.0,299.0,285.0,241.0,273.0,253.0,309.0,351.0,434.0,527.0,647.0,782.0,760.0,909.0,996.0,1072.0,973.0,830.0,751.0,681.0,655.0,692.0,750.0,891.0,820.0,756.0,665.0,644.0,576.0
Antofagasta,02,Calama,02201,190336.0,12.0,11.0,10.0,10.0,10.0,25.0,34.0,38.0,33.0,33.0,57.0,77.0,76.0,87.0,101.0,55.0,74.0,96.0,225.0,374.0,752.0,984.0,935.0,887.0,819.0,749.0,731.0,587.0,495.0,401.0,415.0,377.0,314.0,299.0,273.0,295.0,277.0,221.0,208.0,185.0
Antofagasta,02,Maria Elena,02302,6814.0,1.0,2.0,4.0,6.0,7.0,8.0,24.0,24.0,25.0,21.0,31.0,28.0,25.0,29.0,17.0,11.0,5.0,8.0,6.0,6.0,15.0,21.0,32.0,39.0,31.0,27.0,28.0,17.0,13.0,15.0,12.0,15.0,18.0,12.0,8.0,7.0,8.0,5.0,2.0,2.0
Antofagasta,02,Mejillones,02102,14776.0,11.0,13.0,14.0,18.0,30.0,38.0,37.0,83.0,79.0,75.0,41.0,43.0,45.0,33.0,17.0,13.0,15.0,15.0,1.0,5.0,6.0,22.0,34.0,44.0,61.0,39.0,28.0,29.0,21.0,18.0,24.0,19.0,26.0,29.0,31.0,29.0,23.0,24.0,32.0,25.0
Antofagasta,02,Ollague,02202,287.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,4.0,1.0,2.0,5.0,4.0,7.0,10.0,7.0,5.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0
Antofagasta,02,San Pedro de Atacama,02203,10434.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,3.0,1.0,1.0,2.0,12.0,20.0,29.0,35.0,42.0,40.0,35.0,40.0,44.0,55.0,52.0,37.0,30.0,35.0,26.0,32.0,25.0,25.0,19.0,24.0,21.0
Antofagasta,02,Sierra Gorda,02103,1746.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,5.0,4.0,4.0,0.0,1.0,0.0,5.0,7.0,7.0,7.0,5.0,2.0,4.0,4.0,6.0,6.0,6.0,9.0,4.0,10.0,7.0,8.0,4.0,6.0,7.0,3.0,3.0,0.0,1.0
Antofagasta,02,Taltal,02104,13657.0,3.0,5.0,5.0,5.0,4.0,0.0,0.0,1.0,1.0,1.0,8.0,7.0,12.0,13.0,4.0,8.0,8.0,7.0,6.0,4.0,10.0,15.0,10.0,11.0,11.0,15.0,22.0,27.0,27.0,17.0,16.0,7.0,8.0,17.0,16.0,17.0,11.0,20.0,17.0,13.0
Antofagasta,02,Tocopilla,02301,28079.0,1.0,3.0,8.0,4.0,1.0,0.0,1.0,2.0,2.0,3.0,6.0,8.0,6.0,6.0,5.0,2.0,3.0,3.0,5.0,7.0,15.0,28.0,42.0,41.0,74.0,59.0,49.0,36.0,26.0,17.0,22.0,17.0,8.0,11.0,12.0,9.0,13.0,12.0,17.0,24.0
Antofagasta,02,Desconocido Antofagasta,,,,,,,,,,,,,,,,,,,,,,,50.0,103.0,63.0,56.0,78.0,56.0,57.0,61.0,67.0,60.0,46.0,45.0,47.0,41.0,36.0,41.0,41.0,35.0,36.0,17.0
Antofagasta,02,Total,,691854.0,79.0,89.0,104.0,131.0,180.0,212.0,254.0,349.0,379.0,363.0,448.0,487.0,468.0,458.0,389.0,366.0,359.0,444.0,603.0,851.0,1404.0,1856.0,1939.0,1885.0,2029.0,1987.0,2037.0,1787.0,1553.0,1342.0,1268.0,1172.0,1156.0,1192.0,1308.0,1253.0,1157.0,1004.0,980.0,864.0
Atacama,03,Alto del Carmen,03302,5729.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,18.0,20.0,18.0,7.0
Atacama,03,Caldera,03102,19426.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,2.0,2.0,4.0,4.0,4.0,5.0,7.0,7.0,8.0,19.0,23.0,13.0,13.0,11.0,15.0,22.0,24.0,21.0,19.0,26.0,40.0,62.0,77.0,58.0,61.0,52.0
Atacama,03,Chanaral,03201,13164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,4.0,15.0,12.0,7.0,3.0,3.0,6.0,13.0,9.0,5.0,9.0,11.0,9.0,7.0,12.0,19.0,18.0,17.0,17.0,7.0
Atacama,03,Copiapo,03101,171766.0,5.0,5.0,5.0,4.0,0.0,0.0,11.0,26.0,32.0,43.0,36.0,33.0,34.0,25.0,32.0,46.0,55.0,89.0,111.0,120.0,158.0,158.0,196.0,201.0,214.0,213.0,275.0,240.0,264.0,310.0,419.0,581.0,674.0,686.0,841.0,788.0,736.0,516.0,479.0,358.0
Atacama,03,Diego de Almagro,03202,14358.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,5.0,8.0,5.0,4.0,2.0,4.0,8.0,13.0,6.0,7.0,7.0,5.0,14.0,14.0,10.0,4.0,2.0,3.0,3.0,2.0,4.0,4.0,12.0,31.0,51.0,49.0,38.0
Atacama,03,Freirina,03303,7681.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,5.0,12.0,8.0,14.0,19.0,17.0,28.0,23.0,16.0,4.0,10.0,8.0,10.0,15.0,27.0,35.0,36.0,30.0,21.0
Atacama,03,Huasco,03304,11264.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,7.0,6.0,4.0,6.0,5.0,5.0,5.0,5.0,3.0,2.0,1.0,1.0,4.0,6.0,7.0,6.0,3.0,2.0,8.0,11.0,15.0,20.0
Atacama,03,Tierra Amarilla,03103,14312.0,4.0,4.0,4.0,2.0,0.0,1.0,2.0,4.0,2.0,12.0,13.0,10.0,5.0,0.0,1.0,1.0,2.0,3.0,6.0,10.0,12.0,21.0,17.0,13.0,8.0,17.0,33.0,28.0,32.0,25.0,41.0,47.0,62.0,63.0,71.0,59.0,59.0,47.0,44.0,22.0
Atacama,03,Vallenar,03301,57009.0,0.0,0.0,0.0,0.0,7.0,12.0,12.0,14.0,13.0,19.0,15.0,13.0,5.0,5.0,5.0,10.0,16.0,27.0,27.0,33.0,51.0,76.0,80.0,97.0,93.0,103.0,107.0,72.0,74.0,63.0,48.0,40.0,47.0,33.0,49.0,44.0,68.0,74.0,80.0,80.0
Atacama,03,Desconocido Atacama,,,,,,,,,,,,,,,,,,,,,,,4.0,3.0,9.0,25.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,1.0,0.0,1.0,13.0,3.0,4.0,4.0
Atacama,03,Total,,314709.0,9.0,9.0,9.0,7.0,7.0,14.0,26.0,47.0,50.0,80.0,68.0,60.0,49.0,36.0,49.0,65.0,84.0,131.0,163.0,187.0,259.0,299.0,347.0,382.0,370.0,391.0,472.0,408.0,425.0,446.0,555.0,724.0,830.0,836.0,1035.0,1019.0,1063.0,833.0,797.0,609.0
Coquimbo,04,Andacollo,04103,11791.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,4.0,5.0,6.0,2.0,0.0,4.0,10.0,8.0,8.0,3.0,2.0,1.0,5.0,4.0,4.0,2.0,2.0,6.0,6.0,6.0,6.0,11.0,15.0,18.0
Coquimbo,04,Canela,04202,9546.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,5.0,7.0,8.0,6.0,4.0,2.0,0.0,2.0,5.0,2.0,2.0,3.0,2.0,9.0,14.0,20.0,22.0,28.0
Coquimbo,04,Combarbala,04302,13884.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,8.0,4.0,1.0,8.0,10.0,7.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,4.0,4.0,2.0,3.0,9.0,12.0,17.0
Coquimbo,04,Coquimbo,04102,256735.0,1.0,2.0,0.0,2.0,3.0,4.0,6.0,8.0,9.0,11.0,14.0,17.0,11.0,9.0,18.0,17.0,55.0,95.0,102.0,127.0,177.0,190.0,235.0,223.0,248.0,278.0,311.0,326.0,357.0,377.0,434.0,432.0,415.0,389.0,436.0,421.0,418.0,419.0,473.0,482.0
Coquimbo,04,Illapel,04201,32801.0,13.0,12.0,10.0,7.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,5.0,8.0,20.0,20.0,10.0,21.0,27.0,25.0,42.0,46.0,85.0,69.0,54.0,57.0,22.0,10.0,28.0,33.0,39.0,43.0,28.0,20.0,27.0,42.0,36.0
Coquimbo,04,La Higuera,04104,4450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,0.0,2.0,7.0,5.0,6.0,10.0,21.0,28.0,23.0,19.0,21.0,28.0,26.0,16.0,6.0,3.0,5.0
Coquimbo,04,La Serena,04101,249656.0,2.0,1.0,1.0,2.0,4.0,5.0,3.0,9.0,12.0,18.0,27.0,29.0,41.0,36.0,38.0,60.0,44.0,66.0,93.0,116.0,175.0,196.0,239.0,198.0,242.0,281.0,281.0,345.0,377.0,329.0,366.0,400.0,413.0,405.0,427.0,381.0,309.0,270.0,277.0,254.0
Coquimbo,04,Los Vilos,04203,23374.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,4.0,7.0,8.0,17.0,27.0,28.0,18.0,11.0,9.0,7.0,7.0,23.0,26.0,22.0,23.0,14.0,29.0,31.0,30.0,36.0,40.0
Coquimbo,04,Monte Patria,04303,32527.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,13.0,13.0,9.0,20.0,17.0,15.0,18.0,24.0,40.0,46.0,33.0,36.0,37.0,32.0,28.0,22.0,24.0,23.0,16.0,12.0,17.0,21.0,24.0,29.0,36.0,40.0,53.0,61.0
Coquimbo,04,Ovalle,04301,121269.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,13.0,20.0,27.0,24.0,23.0,26.0,50.0,55.0,101.0,108.0,125.0,204.0,201.0,180.0,160.0,144.0,110.0,125.0,94.0,86.0,79.0,63.0,87.0,89.0,115.0,131.0,167.0,248.0,237.0,296.0,301.0
Coquimbo,04,Paiguano,04105,4675.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,0.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,4.0,2.0
Coquimbo,04,Punitaqui,04304,12165.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,4.0,6.0,5.0,2.0,0.0,0.0,2.0,3.0,5.0,11.0,10.0,3.0,7.0,7.0,9.0,10.0,7.0,11.0,12.0,10.0,19.0,18.0,17.0,9.0,5.0,5.0,5.0,15.0,15.0,21.0,26.0,24.0
Coquimbo,04,Rio Hurtado,04305,4372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,5.0,6.0,5.0,3.0,1.0,0.0,0.0,2.0,5.0,4.0,2.0,1.0,2.0,3.0,4.0,3.0,2.0,3.0,5.0,10.0,6.0,3.0,1.0
Coquimbo,04,Salamanca,04204,29110.0,3.0,3.0,3.0,3.0,1.0,1.0,0.0,1.0,2.0,3.0,2.0,0.0,1.0,1.0,2.0,6.0,7.0,16.0,15.0,7.0,7.0,4.0,4.0,3.0,3.0,7.0,9.0,8.0,14.0,8.0,31.0,37.0,36.0,30.0,16.0,5.0,11.0,16.0,16.0,11.0
Coquimbo,04,Vicuna,04106,29741.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,3.0,2.0,4.0,4.0,2.0,3.0,4.0,2.0,3.0,2.0,2.0,3.0,3.0,5.0,14.0,12.0,15.0,44.0,43.0,32.0,12.0,11.0,14.0,21.0,14.0,19.0,10.0,18.0,17.0
Coquimbo,04,Desconocido Coquimbo,,,,,,,,,,,,,,,,,,,,,,,73.0,84.0,54.0,83.0,63.0,59.0,52.0,30.0,33.0,35.0,23.0,15.0,13.0,12.0,9.0,11.0,11.0,12.0,6.0,4.0
Coquimbo,04,Total,,836096.0,19.0,19.0,14.0,14.0,9.0,11.0,11.0,26.0,38.0,58.0,77.0,85.0,96.0,90.0,103.0,175.0,211.0,350.0,391.0,432.0,731.0,784.0,822.0,801.0,844.0,917.0,927.0,926.0,1038.0,972.0,1055.0,1092.0,1084.0,1091.0,1170.0,1148.0,1167.0,1134.0,1302.0,1301.0
Valparaiso,05,Algarrobo,05602,15174.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,6.0,9.0,13.0,8.0,5.0,8.0,6.0,12.0,17.0,18.0,19.0,10.0,10.0,8.0,6.0,2.0,3.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,14.0
Valparaiso,05,Cabildo,05402,20663.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,5.0,2.0,2.0,1.0,1.0,2.0,3.0,4.0,3.0,5.0,9.0,7.0,5.0,24.0,39.0,55.0,48.0,52.0,29.0,32.0,44.0,27.0,16.0,12.0,11.0,5.0,5.0,4.0,10.0,15.0,19.0,25.0,24.0
