Region,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29
Arica y Parinacota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,2,0,0,1,5,0,16,13,12,10,12,12,20,8,0,5,4,5,5,8,3,16,9,10,30,29,6,7,13,3,4,2,13,4,1,0,7,3,6,1,8,2,10,0,7,4,5,7,1,18,21,2,21,15,9,13,15,8,17,18,17,4,25,13,18,43,31,40,33,31,17,39,16,35,39,37,45,30,15,50,20,52,29,43,46,23,23,29,37,61,28,31.0,24.0,59,55,41,52,56,65,29,59,82,43,57,71,93,71,91,101,92,62,37,120,93,47,110,132,93,108,49,110,76,67,75,83,70,48,64,52,84,64,53,115,67,76,103,46,67,72,62,42,39,31,50,49,55,27,63,28,40,27,47,29
Tarapacá,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,1,2,2,0,2,1,4,3,1,2,3,3,6,3,8,6,10,0,4,7,8,9,3,11,10,14,6,9,13,8,5,14,15,0,11,54,16,14,13,38,5,25,28,18,23,31,51,75,51,108,73,40,28,99,121,68,85,53,97,70,119,130,124,86,152,60,76,108,139,104,119,133,89,79,92,91,152,119,90,96,105,69,108,124,92,76,65,51,58,111,43,101,61.0,53.0,51,72,53,55,100,85,45,56,40,68,66,70,23,21,39,30,64,68,55,75,45,41,64,105,48,19,84,116,38,85,17,39,42,25,44,67,13,59,22,58,30,83,42,70,42,31,29,56,32,44,37,48,29,45,34,18,24,18,22,42
Antofagasta,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,4,1,0,2,6,1,1,4,2,8,0,4,8,7,1,5,8,1,8,15,18,7,21,11,6,21,16,19,15,23,14,28,35,14,26,25,52,14,24,33,27,37,80,45,14,41,28,31,26,19,27,32,89,91,48,38,71,60,70,43,51,35,55,52,40,61,44,65,98,57,90,61,67,58,61,129,53,105,106,80,134,143,179,119,141,231,244,83,107,259,256,322,208,218,227,202,237,197,249,249,253.0,187.0,224,167,239,204,223,197,181,193,210,150,266,181,175,157,147,147,171,138,156,96,67,127,132,107,89,133,103,88,102,52,106,102,97,87,53,89,85,100,121,112,108,48,55,71,93,72,87,77,38,48,40,86,55,42,81,16,45,66,35,69
Atacama,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,1,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,5,6,0,7,1,0,13,8,2,4,0,1,0,20,7,5,1,5,0,2,3,2,5,1,3,3,3,6,0,3,2,8,4,3,8,3,8,3,6,15,8,11,12,24,7,14,22,20,16,11,23,14,34,18,25,22,28,28,13,30,28,43,25,27,32.0,19.0,35,18,19,28,29,32,19,24,54,25,40,44,35,28,39,14,1,29,34,18,45,28,48,47,45,100,13,37,40,74,74,58,66,73,17,132,50,100,90,8,196,76,76,57,69,72,57,60,64,37,21,47,51,42,51,37,20,22,31,46
Coquimbo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,1,5,1,1,1,1,3,9,1,2,4,1,9,6,1,1,4,5,0,3,2,0,0,0,2,0,0,0,1,0,1,0,2,1,0,1,0,2,0,0,1,5,1,5,0,1,9,12,0,5,4,0,3,5,0,1,13,21,13,2,10,12,25,14,37,64,24,52,52,23,33,17,29,44,37,53,84,120,43,78,75,79,66,35,96,35,74,75,99,62,67,53,46,35,56,43,64,67,67.0,55.0,51,49,48,91,69,81,55,53,63,87,84,53,47,9,91,55,82,70,132,117,60,59,137,125,149,142,99,78,120,92,138,52,100,66,96,64,107,93,85,120,102,80,61,121,91,140,110,86,82,74,79,88,96,145,97,71,101,84,90,45
Valparaíso,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,8,3,3,6,7,12,5,22,9,28,7,21,20,20,9,6,7,16,11,5,11,7,6,19,12,14,31,15,14,22,7,15,18,8,7,18,6,25,8,33,28,4,42,23,18,31,24,61,38,43,42,29,54,79,69,66,33,85,70,72,107,101,120,87,99,65,133,111,123,91,169,117,166,227,151,233,233,295,255,247,223,198,216,284,332,213,230,239,181,202,239,226,246,259,245,258,257,269,211,214,193.0,175.0,222,174,229,254,215,146,173,140,173,204,169,216,161,147,96,154,141,120,139,139,132,175,165,137,188,115,113,99,85,144,117,155,149,94,120,101,164,131,168,140,139,108,117,132,154,142,175,97,79,108,123,137,131,146,122,80,103,144,149,151
Metropolitana,0,1,1,1,1,2,3,1,4,9,6,11,14,69,29,22,73,57,55,50,50,81,142,64,192,146,83,128,125,101,115,106,215,145,142,106,198,284,361,255,151,204,283,248,348,233,277,189,262,145,295,351,327,404,331,362,442,339,650,812,998,912,790,1157,784,1149,1022,789,1225,827,1260,1826,1994,1793,1319,1671,1596,2802,3298,3126,3374,2812,2859,4000,3074,3421,3500,2746,3035,3964,4436,2698,3707,3327,2888,3945,4797,3349,2789,4235,4039,5174,4708,5264,3596,3623,3257,2788,3518,3074,2775,2411,1994,1916,2473,2058,2295,2048,1913.0,1759.0,1026,1071,1544,1717,1623,1286,1012,758,1262,1207,1060,1293,1096,656,516,921,1104,793,622,701,507,540,732,825,645,585,588,382,457,511,545,531,525,386,312,355,459,449,430,425,339,278,293,400,462,274,384,269,178,198,381,330,354,353,304,253,241,286,328,332
O’Higgins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,1,0,1,2,3,2,4,1,0,2,3,6,1,5,3,1,0,1,1,0,1,1,2,5,1,0,1,0,0,1,1,2,17,5,4,7,2,3,7,3,1,10,4,6,5,8,6,13,13,8,13,7,18,33,22,6,22,33,13,11,8,21,20,28,29,59,24,13,35,11,27,23,24,85,32,45,85,56,64,57,117,98,72,149,116,77,195,184,205,233,263,238,192,148,213,234,209,152,244,201.0,217.0,134,154,128,185,175,152,185,90,148,225,120,78,125,105,104,133,152,74,99,90,81,110,100,140,91,90,84,33,67,86,78,77,65,67,37,46,79,81,152,78,63,64,78,84,63,43,66,39,42,54,83,63,51,56,78,59,72,47,64,72
Maule,0,1,0,0,0,1,1,1,2,0,1,1,0,0,0,2,3,0,1,10,3,1,1,1,1,5,5,12,8,9,11,7,8,6,5,0,11,9,3,3,4,3,1,10,15,56,53,26,2,12,12,5,16,1,4,9,21,8,0,1,2,1,2,7,0,6,11,6,8,9,8,17,24,14,9,17,23,33,29,44,50,37,65,54,60,52,46,55,59,30,37,36,181,117,96,87,116,51,92,123,105,116,118,121,84,80,77,174,173,134,181,122,121,134,150,154,142,112,103.0,65.0,148,88,125,147,109,98,104,77,107,117,103,90,66,71,96,119,103,58,118,57,108,74,102,99,108,93,69,36,90,84,76,50,74,57,73,57,67,89,90,70,44,47,50,60,60,66,78,54,53,57,85,88,77,54,59,47,73,61,51,57
Ñuble,0,0,0,0,0,0,0,0,0,1,1,2,0,8,14,0,2,16,14,6,17,24,6,3,30,28,25,32,16,14,82,29,31,24,49,48,39,10,18,17,7,5,4,12,5,17,11,11,9,7,9,5,7,10,6,10,6,14,7,0,4,7,0,2,1,1,1,5,8,1,12,11,10,30,14,14,37,3,20,8,5,45,23,37,8,24,26,34,7,1,32,0,30,36,52,34,19,58,22,24,52,42,17,39,49,17,46,35,84,23,17,22,14,20,12,33,29,33,20.0,12.0,16,31,20,34,28,31,16,41,51,51,54,34,21,23,12,44,5,61,16,13,21,10,26,22,17,6,47,12,19,20,18,21,20,17,10,26,13,41,36,24,33,15,17,25,22,8,10,28,27,24,34,35,49,23,49,31,47,43,63,71
