Region,Codigo region,SE7,SE8,SE9,SE10,SE11,SE12,SE13,SE14,SE15,SE16,SE17,SE18,SE19,SE20,SE21,SE22,SE23,SE24,SE25,SE26,SE27,SE28,SE29,SE30,SE31,SE32,SE33,SE34,SE35
Desconocido Arica y Parinacota,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,10.0,2.0,2.0,0.0
Desconocido Tarapaca,01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,95.0,29.0,25.0,25.0,31.0,25.0,20.0,22.0,15.0,20.0,33.0,35.0,14.0,17.0,13.0,11.0,6.0
Desconocido Antofagasta,02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,1.0,0.0,0.0,5.0,10.0,41.0,30.0,27.0,21.0,24.0,21.0,27.0,26.0,14.0,14.0,3.0
Desconocido Atacama,03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,2.0,1.0,3.0,2.0,0.0,11.0,2.0,3.0,1.0
Desconocido Coquimbo,04,0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,1.0,0.0,1.0,3.0,10.0,8.0,9.0,17.0,11.0,16.0,10.0,18.0,12.0,1.0,8.0,4.0,2.0,3.0,1.0
Desconocido Valparaiso,05,0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,1.0,1.0,0.0,0.0,11.0,8.0,6.0,37.0,27.0,37.0,57.0,46.0,51.0,25.0,24.0,11.0,10.0,11.0,9.0,15.0,15.0
Desconocido Metropolitana,13,0,0.0,0.0,0.0,6.0,10.0,19.0,54.0,177.0,364.0,557.0,685.0,1364.0,2132.0,2395.0,1644.0,1281.0,1293.0,1353.0,795.0,426.0,268.0,156.0,92.0,104.0,53.0,38.0,73.0,71.0
Desconocido O’Higgins,06,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,6.0,1.0,6.0,7.0,2.0,6.0,2.0,5.0,0.0,1.0,0.0,0.0,1.0
Desconocido Maule,07,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0
Desconocido Nuble,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0
Desconocido Biobio,08,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,6.0,9.0,6.0,27.0,35.0,7.0,11.0,11.0,10.0,12.0,7.0,5.0,16.0,26.0
Desconocido Araucania,09,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Desconocido Los Rios,14,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Desconocido Los Lagos,10,0,0.0,0.0,0.0,9.0,10.0,3.0,1.0,0.0,1.0,3.0,0.0,1.0,1.0,2.0,3.0,1.0,1.0,3.0,3.0,4.0,12.0,4.0,2.0,2.0,0.0,0.0,0.0,4.0
Desconocido Aysen,11,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Desconocido Magallanes,12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0
Desconocido SEREMI,0,0,0.0,0.0,0.0,0.0,2.0,9.0,1.0,1.0,1.0,1.0,3.0,4.0,0.0,6.0,3.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
