Serie,Publicacion,en verificación,2020-03-15,2020-03-16,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26
confirmados,2020-06-18,0,0,0,0,1,1,1,0,1,0,1,1,1,1,1,3,5,1,6,7,8,1,5,6,11,9,7,8,4,10,4,11,8,6,6,10,10,11,5,8,8,7,13,14,8,8,13,11,7,18,14,14,22,31,19,33,32,25,31,40,44,43,60,54,66,70,80,76,80,104,117,95,115,135,126,137,142,123,155,151,159,152,135,151,144,134,156,137,122,68,56,48,54,29,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sospechosos,2020-06-18,0,0,1,0,0,2,2,2,0,4,2,1,6,6,7,6,3,5,5,5,9,9,10,9,5,2,5,6,5,3,12,7,6,2,9,14,9,11,13,12,10,15,8,12,21,10,7,13,14,19,10,13,13,14,19,17,23,21,14,28,31,11,26,36,34,27,30,39,35,45,46,55,53,57,47,60,54,62,66,68,87,61,100,101,95,97,114,116,128,127,123,159,166,169,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
confirmados,2020-06-28,0,0,0,0,1,1,1,0,1,0,1,1,1,1,1,3,5,1,6,7,8,1,6,6,11,9,7,8,4,10,4,11,8,6,7,10,10,11,5,8,9,7,13,14,8,9,13,11,9,19,15,14,22,32,19,34,33,25,32,41,43,43,60,56,75,72,80,78,83,106,119,99,119,141,129,140,150,128,158,156,166,165,168,177,163,151,185,174,184,177,189,173,164,184,183,126,144,133,140,126,115,88,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sospechosos,2020-06-28,0,0,1,0,0,1,1,1,0,3,1,1,5,6,5,6,3,5,5,5,7,9,7,10,5,2,5,7,6,3,11,7,7,2,8,14,7,9,13,10,8,11,8,11,19,9,6,14,11,15,10,12,11,10,18,17,16,19,12,18,28,11,25,30,22,22,26,36,31,40,43,45,48,55,43,52,46,63,62,60,79,50,73,74,73,76,84,73,73,63,60,68,108,75,72,73,75,67,93,72,53,58,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
confirmados,2020-07-03,0,0,0,0,1,1,1,0,1,0,1,1,1,1,1,3,5,1,6,7,8,1,6,6,11,9,7,8,4,10,4,11,8,6,7,10,10,11,5,8,9,7,13,14,8,9,13,11,9,19,15,14,22,32,19,34,33,25,32,41,43,43,60,56,75,73,80,78,83,107,119,99,119,141,129,140,150,129,158,157,166,165,168,178,164,155,186,176,186,179,194,174,168,187,185,136,164,148,146,138,138,136,132,128,119,130,111,107,75,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sospechosos,2020-07-03,0,0,1,0,0,1,1,1,0,3,1,1,5,6,5,5,2,6,5,4,7,8,7,9,5,2,5,6,5,2,11,7,4,2,8,13,6,8,13,10,8,11,8,11,18,7,6,14,10,14,9,8,10,11,18,17,16,17,11,18,28,10,24,30,21,20,25,37,30,39,43,44,48,53,44,52,46,63,60,58,78,47,73,73,71,73,84,72,70,61,59,60,96,66,63,65,66,60,75,73,53,68,53,62,55,69,54,50,44,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
confirmados,2020-07-09,0,0,0,0,1,1,1,0,1,0,1,1,1,1,1,3,5,1,6,7,8,1,6,6,11,9,7,8,4,10,4,11,8,6,7,10,10,11,5,8,9,7,13,14,8,9,13,11,9,19,15,14,22,32,19,34,33,25,32,41,42,43,60,56,75,73,81,78,83,107,119,100,119,141,129,140,150,131,158,157,167,165,169,179,164,155,187,176,186,179,194,174,168,187,187,138,166,149,148,139,139,136,136,133,121,134,120,122,111,127,124,93,82,93,77,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sospechosos,2020-07-09,0,1,1,0,0,1,1,1,0,3,1,1,4,6,5,5,2,5,5,5,7,8,7,9,5,3,6,6,3,2,13,7,4,4,9,14,7,8,13,9,9,11,8,11,18,8,9,15,10,14,8,8,10,13,18,18,15,17,12,19,29,10,24,30,21,20,25,38,30,39,43,45,49,53,43,53,47,62,62,58,78,47,75,74,70,73,84,73,70,61,61,58,96,65,63,65,65,60,72,72,54,70,56,68,56,69,55,52,56,63,60,55,50,54,53,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
confirmados,2020-07-17,0,0,0,0,1,1,1,0,1,0,1,1,1,1,1,3,5,1,6,7,8,1,6,6,11,9,7,8,4,10,4,11,8,6,7,10,10,11,5,8,9,7,13,14,8,9,13,11,9,19,15,15,22,32,19,34,33,25,32,41,42,43,60,56,76,73,81,78,83,107,119,100,118,141,129,141,150,131,158,157,167,165,170,179,164,155,187,176,186,182,194,175,169,187,187,139,166,148,148,139,139,137,138,137,122,134,122,123,111,131,127,100,93,113,111,103,106,79,82,71,72,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
confirmados,2020-07-18,0,0,0,0,1,1,1,0,1,0,1,1,1,1,1,3,5,1,6,7,8,1,6,6,11,9,7,8,4,10,4,11,8,6,7,10,10,11,5,8,9,7,13,14,8,9,13,11,9,19,15,15,22,32,19,34,33,25,32,41,42,43,60,56,76,73,81,78,83,107,119,100,118,141,129,141,150,131,158,157,167,165,170,179,164,155,187,176,186,182,194,176,169,187,188,139,166,148,148,139,139,137,138,138,123,134,122,123,111,132,127,100,94,113,114,105,107,82,84,79,88,55,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
