Region,Casos  nuevos,Casos  totales,%  Casos  totales**,Fallecidos
Arica  y  Parinacota,0,115,1.53  %,1
Tarapaca,6,52,0.69  %,0
Antofagasta,11,149,1.98  %,1
Atacama,0,13,0.17  %,0
Coquimbo,0,66,0.88  %,0
Valparaiso,19,273,3.63  %,2
Metropolitana,204,3803,50.54  %,36
O'Higgins,2,48,0.64  %,0
Maule,3,141,1.87  %,3
Nuble,5,618,8.21  %,7
Biobio,12,512,6.80  %,2
Araucania,20,795,10.56  %,17
Los  Rios,3,138,1.83  %,3
Los  Lagos,8,380,5.05  %,5
Aysen,0,7,0.09  %,0
Magallanes,19,415,5.51  %,5
Total,312,7525,100%,82
