Region,Casos totales acumulados ,Casos nuevos totales ,Casos nuevos con sintomas ,Casos nuevos sin sintomas* ,Fallecidos totales ,% Total 
Arica y Parinacota,654,18,18,0,8,0.60%
Tarapacá,2594,68,60,8,23,2.39%
Antofagasta,2649,64,58,6,34,2.44%
Atacama,236,4,3,1,0,0.22%
Coquimbo,687,19,17,2,2,0.63%
Valparaíso,3595,247,227,20,72,3.31%
Metropolitana,88194,2955,2698,257,894,81.15%
O'Higgins,843,30,24,6,18,0.78%
Maule,1381,40,36,4,17,1.27%
Ñuble,1290,0,0,0,23,1.19%
Biobío,2082,12,12,0,11,1.92%
Araucania,2141,30,21,9,47,1.97%
Los Ríos,368,5,5,0,7,0.34%
Los Lagos,894,31,24,7,13,0.82%
Aysén,18,1,0,1,0,0.02%
Magallanes,1060,3,3,0,19,0.98%
Total,108686,3527,3206,321,1188,100%
