Region,Casos totales acumulados,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Casos nuevos sin notificar,Fallecidos totales,Casos activos confirmados
Arica y Parinacota,1511,38,29,9,0,16,344
Tarapacá,5577,73,58,11,4,85,822
Antofagasta,7515,288,237,41,10,122,1708
Atacama,837,52,28,21,3,2,285
Coquimbo,2637,98,56,29,13,22,636
Valparaíso,10482,295,257,14,24,195,2072
Metropolitana,206246,3035,2473,202,360,4206,22743
O'Higgins,4868,258,234,9,15,63,1890
Maule,4832,175,150,23,2,36,1272
Ñuble,2233,14,12,2,0,30,370
Biobío,5702,238,178,45,15,42,1871
Araucania,3064,27,24,3,0,40,255
Los Ríos,641,12,12,0,0,10,105
Los Lagos,1505,22,17,4,1,19,279
Aysén,29,1,1,0,0,0,3
Magallanes,1385,22,12,10,0,15,179
Total,259064,4648,3778,423,447,4903,34834
