Region,Casos totales acumulados,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Casos nuevos sin notificar,Casos activos confirmados,Fallecidos totales,Casos confirmados recuperados,Casos probables acumulados ,Casos activos probables 
Arica y Parinacota,1713.0,28.0,24.0,4.0,0.0,351,20.0,1340,56.0,11.0
Tarapacá,6049.0,75.0,53.0,18.0,4.0,771,91.0,5193,155.0,70.0
Antofagasta,8829.0,204.0,187.0,13.0,4.0,1687,147.0,6907,417.0,175.0
Atacama,1043.0,37.0,19.0,18.0,0.0,307,2.0,732,59.0,40.0
Coquimbo,3050.0,89.0,55.0,5.0,29.0,699,23.0,2343,364.0,129.0
Valparaíso,11752.0,211.0,175.0,13.0,23.0,1968,230.0,9409,3121.0,1118.0
Metropolitana,219151.0,2255.0,1759.0,203.0,293.0,20264,4889.0,194094,23443.0,5346.0
O'Higgins,6081.0,237.0,217.0,18.0,2.0,2086,69.0,3973,1024.0,584.0
Maule,5549.0,86.0,65.0,17.0,4.0,1296,48.0,4182,396.0,206.0
Ñuble,2397.0,13.0,12.0,1.0,0.0,330,32.0,2021,430.0,202.0
Biobío,6697.0,102.0,82.0,14.0,6.0,1909,50.0,4760,825.0,350.0
Araucania,3231.0,19.0,14.0,5.0,0.0,255,41.0,2922,112.0,52.0
Los Ríos,701.0,12.0,8.0,4.0,0.0,98,10.0,594,51.0,20.0
Los Lagos,1656.0,14.0,11.0,3.0,0.0,286,21.0,1338,117.0,82.0
Aysén,42.0,0.0,0.0,0.0,0.0,14,0.0,29,0.0,0.0
Magallanes,1452.0,12.0,9.0,2.0,1.0,140,15.0,1294,12.0,0.0
Se desconoce región de origen,,,,,,15,,98,,
Total,279393.0,3394.0,2690.0,338.0,366.0,32476,5688.0,241229,30582.0,8385.0
