Nombre de estacion,Independencia,La_Florida,Las_Condes,Santiago,Pudahuel,Cerrillos,El_Bosque,Cerro_Navia,Puente_Alto,Talagante,Quilicura,Andacollo,Cuncumén,Viña_del_Mar,Rancagua_I,Rancagua_II,Rengo,San_Fernando,M_Ferroviario,Las_Encinas,Padre_las_Casas,Valdivia,Osorno,Coyhaique_I
Region,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Coquimbo,Coquimbo,Valparaíso,O’Higgins,O’Higgins,O’Higgins,O’Higgins,Araucanía,Araucanía,Araucanía,Los Ríos,Los Lagos,Aysén
Codigo region,13,13,13,13,13,13,13,13,13,13,13,4,4,5,6,6,6,6,9,9,9,14,10,11
Comuna,Independencia,La Florida,Las Condes,Santiago,Pudahuel,Cerrillos,El Bosque,Cerro Navia,Puente Alto,Talagante,Quilicura,Andacollo,Salamanca,Vina del mar,Rancagua,Rancagua,Rengo,San Fernando,Temuco,Temuco,Padre las Casas,Valdivia,Osorno,Coyhaique
Codigo comuna,13108,13110,13114,13101,13124,13102,13105,13103,13201,13601,13125,4103,4204,5109,6101,6101,6115,6301,9101,9101,9112,14101,10301,11101
UTM_Este,346488,352504,358305,345673,337311,340277,345313,338984,352049,318945,337356,299236,345907,261803,342015,339842,329665,317503,711144,706767,708625,651593,659217,729281
UTM_Norte,6300681,6290304,6305906,6296019,6298809,6292747,6286825,6299360,6282013,6272298,6306788,6654136,6470680,6343569,6218523,6220527,6192542,6171746,5710911,5708420,5706593,5589460,5505665,4948421
2012-01-01 00:00:00,69,97,63,65,68,59,87,67,105,73,99,50.7000007629395,,,76.2998962402344,,79.2998962402344,86.0999984741211,11.8999996185303,16.2999992370605,,33.4000015258789,8.29998970031738,27.2000007629395
2012-01-01 01:00:00,55,123,62,56,74,72,89,68,112,60,70,71.5,,,73,,87.5999984741211,81.7997970581055,12,11.1000003814697,,29.7999992370605,26.2000007629395,29.2999992370605
2012-01-01 02:00:00,59,80,80,74,66,70,53,63,66,62,70,57.2999992370605,,,74.7998962402344,,72,79.2997970581055,11.3999996185303,20.2000007629395,,30.5,28.8999996185303,32.0999984741211
2012-01-01 03:00:00,70,77,62,69,69,69,62,66,58,61,75,48.5999984741211,,,90.39990234375,,74.39990234375,74.1999969482422,8.69999980926514,30.3999996185303,,14.8000001907349,38.9000015258789,22.1000003814697
2012-01-01 04:00:00,63,81,54,67,67,68,65,65,71,57,78,23.7000007629395,,,82.5,,75.5999984741211,71.7997970581055,11.6000003814697,13.3000001907349,,11.1999998092651,32.4000015258789,22.3999996185303
2012-01-01 05:00:00,65,71,60,65,66,65,63,66,78,63,75,29.8999996185303,,,77.2998962402344,,76.39990234375,76,16.6000003814697,8.59998989105225,,10.8000001907349,46.7999992370605,15.3000001907349
2012-01-01 06:00:00,76,80,65,67,74,62,86,71,110,63,77,25.2999992370605,,,89.7998962402344,,75.1999969482422,72.6999969482422,21.3999996185303,5.80000019073486,,4.69999980926514,26.7000007629395,9
2012-01-01 07:00:00,74,84,78,73,67,68,80,70,89,65,78,21.6000003814697,,,106.400001525879,,74.5999984741211,93.39990234375,16.3999996185303,5.09999990463257,,6.09999990463257,15.1000003814697,19.7000007629395
2012-01-01 08:00:00,73,83,84,79,74,64,79,69,86,61,63,26.3999996185303,,,66,,84.1999969482422,88.89990234375,16.8999996185303,10.8999996185303,,14.3000001907349,30,16.3999996185303
2012-01-01 09:00:00,76,78,81,72,70,71,78,74,94,63,71,28.2000007629395,,,66.89990234375,,92.5999984741211,89.89990234375,6.30000019073486,19.3999996185303,,14.3999996185303,32.5,21
2012-01-01 10:00:00,77,71,81,75,90,82,69,84,81,62,66,31.2999992370605,,,89.0999984741211,,85.39990234375,87.0999984741211,5,33.7999992370605,,16.6000003814697,36.0999984741211,21
2012-01-01 11:00:00,86,73,80,79,80,81,79,88,79,64,87,27.5,,,127.400001525879,,89.39990234375,88.0999984741211,25.5,18.1000003814697,,22.7999992370605,40.7999992370605,20.7000007629395
2012-01-01 12:00:00,77,86,82,83,79,83,70,80,71,64,83,42.2000007629395,,,105.599998474121,,85.7998962402344,79.1999969482422,13.3999996185303,15.3999996185303,,10.1000003814697,25.2999992370605,17.1000003814697
2012-01-01 13:00:00,73,71,83,89,67,75,67,67,68,72,86,41.7000007629395,,,129.399993896484,,79.39990234375,78.1999969482422,16.7000007629395,19,,12.3000001907349,25.2000007629395,18.2999992370605
2012-01-01 14:00:00,62,72,79,97,73,80,73,73,67,83,90,45,,,125.5,,79.1999969482422,77.39990234375,13.6000003814697,10.3000001907349,,10.3000001907349,,21.5
2012-01-01 15:00:00,82,69,84,102,77,86,73,79,75,83,134,47.2000007629395,,,97.7998962402344,,85.5,77.89990234375,20.3999996185303,21.6000003814697,,10,,26.1000003814697
2012-01-01 16:00:00,82,73,82,106,75,93,72,83,74,75,109,49,,,95.6999969482422,,85.7998962402344,75.5,39,29.2000007629395,,12.1000003814697,,16.7999992370605
2012-01-01 17:00:00,81,72,75,106,75,92,71,71,69,68,99,45,,,95.5999984741211,,64.6999969482422,66.0999984741211,27.5,30.2000007629395,,19.7000007629395,,24.3999996185303
2012-01-01 18:00:00,77,74,70,104,74,83,70,79,68,67,114,46.5999984741211,,,81.7998962402344,,76.7998962402344,74.0999984741211,38.7999992370605,25.2999992370605,,37.5,,18.2000007629395
2012-01-01 19:00:00,76,64,71,103,72,77,61,75,69,66,104,43.2999992370605,,,94.2998962402344,,68.39990234375,71.0999984741211,42.2000007629395,29.2000007629395,,33,,19.7999992370605
2012-01-01 20:00:00,67,70,63,79,66,69,73,69,75,65,83,48,,,93.39990234375,,62.7000007629395,58.5,45,23.2999992370605,,45.2000007629395,,18
2012-01-01 21:00:00,64,76,67,73,67,69,62,65,69,59,73,53.5,,,76.5,,62.5,49.2999992370605,20.5,41.5999984741211,,32.5,65,29.1000003814697
2012-01-01 22:00:00,73,71,61,76,71,67,79,68,61,54,75,55.5999984741211,,,53.9000015258789,,50.0999984741211,49.4000015258789,23.7999992370605,42.2000007629395,,31.6000003814697,42.7999992370605,29.8999996185303
2012-01-01 23:00:00,61,66,66,65,57,64,77,55,75,46,69,53,,,76,,54.7999992370605,52.7000007629395,19.2999992370605,22.1000003814697,,29.2000007629395,13.1999998092651,28.1000003814697
2012-01-02 00:00:00,59,63,57,62,59,63,66,59,63,43,60,64.5,,,47.2999992370605,,48.5,48.7999992370605,31.8999996185303,11.8000001907349,,30,35,17.7999992370605
2012-01-02 01:00:00,62,64,50,61,56,59,66,54,61,48,58,75.39990234375,,,49.7999992370605,,44.5,52.0999984741211,20.7999992370605,37.5999984741211,,16.8999996185303,27.5,16
2012-01-02 02:00:00,62,62,52,61,57,60,65,54,78,44,58,76.2998962402344,,,73.2998962402344,,44.7999992370605,46.2000007629395,10.3999996185303,13.1000003814697,,10.6000003814697,24.1000003814697,16
2012-01-02 03:00:00,63,61,53,69,55,63,75,55,74,44,57,57.5999984741211,,,76,,44.7000007629395,39.9000015258789,16.6000003814697,6.59999990463257,,13.1999998092651,17.2999992370605,16
2012-01-02 04:00:00,67,59,49,65,52,61,82,56,73,49,64,53.7000007629395,,,65.6999969482422,,47.2000007629395,43.0999984741211,33.7000007629395,15.3999996185303,,3.90000009536743,19.6000003814697,15.3999996185303
