Nombre de estacion,Independencia,La_Florida,Las_Condes,Santiago,Pudahuel,Cerrillos,El_Bosque,Cerro_Navia,Puente_Alto,Talagante,Quilicura,Arica,Antofagasta,Copiapó,Huasco,Coquimbo,La_Serena,Quilpué,Valparaíso,Viña_del_Mar,Rancagua_I,Rancagua_II,Curicó,Talca_La_Florida,UC_Maule,U_Talca,M_Ferroviario,Las_Encinas,Padre_las_Casas_II,Valdivia,Osorno,Coyhaique_I,Coyhaique_II,Punta_Arenas
Region,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Arica y Parinacota,Antofagasta,Atacama,Atacama,Coquimbo,Coquimbo,Valparaíso,Valparaíso,Valparaíso,O’Higgins,O’Higgins,Maule,Maule,Maule,Maule,Araucanía,Araucanía,Araucanía,Los Ríos,Los Lagos,Aysén,Aysén,Magallanes
Codigo region,13,13,13,13,13,13,13,13,13,13,13,15,2,3,3,4,4,5,5,5,6,6,7,7,7,7,9,9,9,14,10,11,11,12
Comuna,Independencia,La Florida,Las Condes,Santiago,Pudahuel,Cerrillos,El Bosque,Cerro Navia,Puente Alto,Talagante,Quilicura,Arica,Antofagasta,Copiapo,Huasco,Coquimbo,Coquimbo,Quilpué,Valparaiso,Vina del mar,Rancagua,Rancagua,Curico,Talca,Talca,Talca,Temuco,Temuco,Padre las Casas,Valdivia,Osorno,Coyhaique,Coyhaique,Punta Arenas
Codigo comuna,13108,13110,13114,13101,13124,13102,13105,13103,13201,13601,13125,15101,2101,3101,3304,4102,4102,5801,5101,5109,6101,6101,7301,7101,7101,7101,9101,9101,9112,14101,10301,11101,11101,12101
UTM_Este,346488,352504,358305,345673,337311,340277,345313,338984,352049,318945,337356,363747,358874,369133,282682,274609,282211,272673,255891,261803,342015,339842,296068,256889,262216,260878,711144,706767,708625,651593,659217,729281,730152,371526
UTM_Norte,6300681,6290304,6305906,6296019,6298809,6292747,6286825,6299360,6282013,6272298,6306788,7955831,7387875,6971887,6848727,6682171,6687896,6340819,6340183,6343569,6218523,6220527,6127456,6075395,6075477,6078683,5710911,5708420,5706593,5589460,5505665,4948421,4948488,4108390
2014-01-01 00:00:00,41,24,22,16,11,9,10,15,7,8,7,70,37,10,,13,24,9,32,,6,46,7,8,,4,4,4,15,15,9,7,23,6
2014-01-01 01:00:00,14,18,24,12,14,18,22,13,9,6,8,83,19,13,,13,14,7,50,,8,29,4,4,,4,4,4,11,18,11,8,12,4
2014-01-01 02:00:00,9,15,20,10,13,11,15,15,19,10,16,40,15,9,,11,28,7,51,,9,21,4,9,,4,4,4,11,40,17,5,10,4
2014-01-01 03:00:00,10,15,15,13,12,12,22,15,26,8,12,32,17,9,,9,16,6,47,,9,13,4,10,,5,4,6,9,24,8,43,20,4
2014-01-01 04:00:00,11,11,14,15,9,10,18,10,25,15,16,25,5,11,,9,25,12,31,,10,9,4,18,,5,4,8,6,10,5,56,26,4
2014-01-01 05:00:00,11,12,13,15,11,11,6,11,19,13,11,15,33,10,,8,24,10,22,,10,7,5,4,,8,4,7,7,8,4,30,12,4
2014-01-01 06:00:00,14,18,13,15,9,11,15,9,24,10,8,16,30,15,,8,17,8,13,,8,15,7,4,,19,4,4,4,8,6,12,9,4
2014-01-01 07:00:00,26,17,11,15,12,15,25,9,21,9,13,20,23,15,,10,21,10,18,,9,7,8,4,,4,7,4,5,4,5,8,6,4
2014-01-01 08:00:00,26,13,16,24,10,19,17,8,17,10,10,15,21,11,,11,26,12,20,,11,4,8,,,4,5,4,7,4,8,13,16,4
2014-01-01 09:00:00,17,12,22,22,12,17,12,13,19,12,11,9,15,17,,13,25,7,25,,11,5,7,4,,4,4,4,5,5,8,9,12,4
2014-01-01 10:00:00,17,15,21,20,9,16,11,12,16,14,12,12,11,10,,12,19,10,15,,10,4,9,4,,4,4,4,8,17,4,10,11,4
2014-01-01 11:00:00,13,17,17,26,7,15,10,9,10,11,12,14,10,11,,16,17,18,20,,10,4,8,4,,4,7,4,7,10,4,21,19,4
2014-01-01 12:00:00,13,13,18,25,8,9,11,10,7,9,8,14,9,17,,14,20,9,13,,12,12,4,4,,4,7,6,7,4,9,15,19,6
2014-01-01 13:00:00,13,9,17,19,8,7,7,10,8,8,9,14,10,20,,13,9,10,14,,13,26,4,8,,4,4,4,8,16,9,17,20,7
2014-01-01 14:00:00,12,10,18,15,7,8,7,7,10,3,9,13,5,11,,11,20,9,7,,23,14,4,5,,4,4,4,7,19,6,17,18,5
2014-01-01 15:00:00,5,6,13,19,4,14,6,8,7,1,11,12,4,9,,11,19,12,7,,13,8,4,16,,4,4,4,5,4,4,14,22,5
2014-01-01 16:00:00,6,5,12,12,7,9,8,7,4,2,10,16,5,11,,9,17,7,5,,10,12,4,11,,9,4,4,6,14,4,13,14,10
2014-01-01 17:00:00,10,6,10,14,5,13,16,6,5,4,6,12,4,10,,9,17,4,4,,7,6,4,15,,10,4,4,7,7,7,12,11,10
2014-01-01 18:00:00,10,6,8,10,4,15,3,6,5,5,7,13,5,11,,8,19,4,4,,4,5,4,18,,20,4,4,4,15,6,19,15,7
2014-01-01 19:00:00,11,5,6,11,3,7,4,7,7,6,7,13,5,9,,7,10,7,4,,4,4,8,22,,32,4,4,4,15,7,15,27,4
2014-01-01 20:00:00,8,5,5,10,2,5,4,6,7,5,4,20,6,7,,8,18,11,5,,9,37,9,30,,39,7,4,21,13,12,23,34,4
2014-01-01 21:00:00,10,4,3,9,2,7,6,4,6,4,2,13,5,10,,6,17,7,5,,7,28,9,21,,41,10,4,11,4,9,30,43,4
2014-01-01 22:00:00,6,5,1,6,5,6,5,2,7,7,1,19,4,13,,7,13,6,8,,5,14,7,16,,27,5,4,5,4,5,23,35,4
2014-01-01 23:00:00,7,5,1,7,5,6,6,1,5,7,1,13,6,9,,6,13,4,8,,5,10,4,6,,13,4,4,4,4,7,21,32,4
2014-01-02 00:00:00,11,4,1,10,6,4,8,1,5,8,6,15,6,5,,5,14,4,11,,4,6,5,4,,7,4,4,4,4,11,8,14,4
2014-01-02 01:00:00,9,3,6,8,4,4,10,3,4,8,6,20,13,12,,8,15,5,8,,4,18,8,9,,12,4,4,5,4,16,9,17,4
2014-01-02 02:00:00,8,3,6,8,4,5,19,4,4,6,6,15,9,11,,6,20,4,9,,5,10,6,4,,4,4,4,5,4,4,4,12,4
2014-01-02 03:00:00,7,5,5,11,5,6,13,4,6,4,4,13,12,5,,4,15,4,7,,8,13,4,5,,4,4,4,4,5,4,4,4,4
2014-01-02 04:00:00,13,5,2,10,7,8,18,2,11,4,3,11,5,4,,4,18,5,7,,8,6,4,17,,9,5,4,4,4,4,4,5,4
2014-01-02 05:00:00,10,12,5,10,6,9,7,5,8,6,10,11,10,11,,5,10,5,9,,5,5,4,8,,10,6,4,4,4,4,5,7,4
