Nombre de estacion,Independencia,La_Florida,Las_Condes,Santiago,Pudahuel,Cerrillos,El_Bosque,Cerro_Navia,Puente_Alto,Talagante,Quilicura,Arica,Alto_Hospicio,Antofagasta,Copiapó,Huasco,Coquimbo,La_Serena,Concón,Valparaíso,Viña_del_Mar,Rancagua_I,Rancagua_II,Rengo,San_Fernando,Curicó,Talca_La_Florida,UC_Maule,U_Talca,Linares,Nielol,Las_Encinas,Padre_las_Casas,Valdivia,Valdivia_II,Osorno,Mirasol,Alerce,Coyhaique_I,Coyhaique_II,Punta_Arenas,La_Unión,Vialidad
Region,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Arica y Parinacota,Tarapacá,Antofagasta,Atacama,Atacama,Coquimbo,Coquimbo,Valparaíso,Valparaíso,Valparaíso,O’Higgins,O’Higgins,O’Higgins,O’Higgins,Maule,Maule,Maule,Maule,Maule,Araucanía,Araucanía,Araucanía,Los Ríos,Los Ríos,Los Lagos,Los Lagos,Los Lagos,Aysén,Aysén,Magallanes,Los Ríos,Aysén
Codigo region,13,13,13,13,13,13,13,13,13,13,13,15,1,2,3,3,4,4,5,5,5,6,6,6,6,7,7,7,7,7,9,9,9,14,14,10,10,10,11,11,12,14,11
Comuna,Independencia,La Florida,Las Condes,Santiago,Pudahuel,Cerrillos,El Bosque,Cerro Navia,Puente Alto,Talagante,Quilicura,Arica,Alto Hospicio,Antofagasta,Copiapo,Huasco,Coquimbo,Coquimbo,Concon,Valparaiso,Vina del mar,Rancagua,Rancagua,Rengo,San Fernando,Curico,Talca,Talca,Talca,Talca,Temuco,Temuco,Padre las Casas,Valdivia,Valdivia,Osorno,Puerto Montt,Puerto Montt,Coyhaique,Coyhaique,Punta Arenas,La Union,Aysen
Codigo comuna,13108,13110,13114,13101,13124,13102,13105,13103,13201,13601,13125,15101,1107,2101,3101,3304,4102,4102,5103,5101,5109,6101,6101,6115,6301,7301,7101,7101,7101,7101,9101,9101,9112,14101,14101,10301,10101,10101,11101,11101,12101,14201,11201
UTM_Este,346488,352504,358305,345673,337311,340277,345313,338984,352049,318945,337356,363747,385118,358874,369133,282682,274609,282211,264737,255891,261803,342015,339842,329665,317503,296068,256889,262216,260878,265805,710378,706767,708625,651593,649060,659217,669585,675585,729281,730152,371526,663446,680977
UTM_Norte,6300681,6290304,6305906,6296019,6298809,6292747,6286825,6299360,6282013,6272298,6306788,7955831,7755989,7387875,6971887,6848727,6682171,6687896,6354228,6340183,6343569,6218523,6220527,6192542,6171746,6127456,6075395,6075477,6078683,6031030,5710745,5708420,5706593,5589460,5592376,5505665,5406017,5414803,4948421,4948488,4108390,5538659,4969547
2018-01-01 00:00:00,11,16,19,11,12,9,8,13,12,12,15,98.5997009277344,45,17,24.6800003051758,16,71,37,,27.7591991424561,7.45599985122681,8.10999965667725,7.39400005340576,6.43599987030029,18.9899997711182,12.2700004577637,11.5900001525879,11.9300003051758,11.5299997329712,9.59000015258789,3.59699988365173,4.08599996566772,6.43800020217896,1.49399995803833,,11,5.17458009719849,7,9.05000019073486,24.4400005340576,7.8514199256897,15,
2018-01-01 01:00:00,7,15,24,7,11,9,13,14,13,10,13,98.8394012451172,42,8,3.84299993515015,13,51,22,,93.6492004394531,5.82499980926514,11.3999996185303,13.6599998474121,4.40799999237061,7.60900020599365,10.8100004196167,11.9200000762939,13.1800003051758,8.85999965667725,23.2999992370605,7.02799987792969,5.44799995422363,10.8400001525879,4.07399988174438,,8.25,6.22249984741211,4,6.00500011444092,10.8599996566772,8.17467021942139,6,
2018-01-01 02:00:00,3,15,22,9,15,9,18,16,14,8,10,42.0434989929199,7,7,6.74200010299683,8,17,12,,,6.04899978637695,9.80000019073486,15.4899997711182,7.02199983596802,10.8500003814697,10.8100004196167,4.35900020599365,13.1800003051758,8.39000034332275,13.5500001907349,6.50600004196167,8.17000007629395,8.15999984741211,6.78999996185303,,16.2800006866455,4.48232984542847,3,4.65000009536743,12.2399997711182,7.04974985122681,8,
2018-01-01 03:00:00,17,16,18,11,14,12,19,16,12,8,17,13.4603004455566,10,11,3.94700002670288,6,18,17,,171.483001708984,4.40000009536743,8.11999988555908,21,5.68100023269653,12.1999998092651,12.2200002670288,1.27799999713898,8.47000026702881,8.39000034332275,10.3599996566772,5.77600002288818,6.80999994277954,13.6000003814697,6.78999996185303,,7.60400009155273,2.22657990455627,3,1.93900001049042,7.94399976730347,4.57550001144409,10,
