Nombre de estacion,Independencia,La_Florida,Las_Condes,Santiago,Pudahuel,Cerrillos,El_Bosque,Cerro_Navia,Puente_Alto,Talagante,Quilicura
Region,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana
Codigo region,13,13,13,13,13,13,13,13,13,13,13
Comuna,Independencia,La Florida,Las Condes,Santiago,Pudahuel,Cerrillos,El Bosque,Cerro Navia,Puente Alto,Talagante,Quilicura
Codigo comuna,13108,13110,13114,13101,13124,13102,13105,13103,13201,13601,13125
UTM_Este,346488,352504,358305,345673,337311,340277,345313,338984,352049,318945,337356
UTM_Norte,6300681,6290304,6305906,6296019,6298809,6292747,6286825,6299360,6282013,6272298,6306788
2012-01-01 00:00:00,27.8097991943359,23.8547992706299,22.6543006896973,14.9292001724243,19.292200088501,10.1258001327515,21.9025993347168,18.9192008972168,28.7353000640869,4.8695502281189,22.4496994018555
2012-01-01 01:00:00,20.3575992584229,25.7203998565674,24.6453990936279,15.5099000930786,18.7399005889893,10.9214000701904,24.3085994720459,18.3582992553711,29.6879005432129,3.72825002670288,19.3796997070312
2012-01-01 02:00:00,20.3024005889893,25.2408008575439,26.0244007110596,18.0265007019043,17.8831996917725,11.252799987793,23.3407001495361,18.7971000671387,22.1219005584717,3.78259992599487,17.7896995544434
2012-01-01 03:00:00,25.4162998199463,18.5011005401611,19.4251003265381,10.9469003677368,20.1096000671387,8.27147960662842,19.3418006896973,19.9050006866455,9.609450340271,3.45651006698608,20.7865009307861
2012-01-01 04:00:00,18.8285007476807,17.2191009521484,17.8071994781494,8.54090976715088,13.6824998855591,7.03070020675659,18.8099002838135,14.6724996566772,16.5224990844727,3.80977010726929,21.1889991760254
2012-01-01 05:00:00,24.8526992797852,16.5242004394531,16.9937000274658,9.619460105896,10.0324001312256,5.04303979873657,17.4120998382568,10.0612001419067,21.5918998718262,5.52535009384155,14.7490997314453
