Nombre de estacion,Independencia,La_Florida,Las_Condes,Santiago,Pudahuel,Cerrillos,El_Bosque,Cerro_Navia,Puente_Alto,Talagante,Quilicura,Talca_La_Florida,Padre_Las_Casas_II,Coyhaique_II,Valdivia
Region,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Maule,Araucanía,Aysén,Los Ríos
Codigo region,13,13,13,13,13,13,13,13,13,13,13,7,9,11,14
Comuna,Independencia,La Florida,Las Condes,Santiago,Pudahuel,Cerrillos,El Bosque,Cerro Navia,Puente Alto,Talagante,Quilicura,Talca,Padre las Casas,Coyhaique,Valdivia
Codigo comuna,13108,13110,13114,13101,13124,13102,13105,13103,13201,13601,13125,7101,9112,11101,14101
UTM_Este,346488,352504,358305,345673,337311,340277,345313,338984,352049,318945,337356,256889,708625,730152,651593
UTM_Norte,6300681,6290304,6305906,6296019,6298809,6292747,6286825,6299360,6282013,6272298,6306788,6075395,5706593,4948488,5589460
2016-01-01 00:00:00,15.4783000946045,8.33664989471436,8.7578296661377,10.5431995391846,11.2075004577637,,,,10.7871999740601,,,,2.95718002319336,7.25593996047974,2.82739996910095
2016-01-01 01:00:00,12.9933004379272,14.5767002105713,12.2683000564575,14.4193000793457,13.8257999420166,,,,12.0506000518799,1,,,2.68575000762939,4.11948013305664,2.49685001373291
2016-01-01 02:00:00,26.3006992340088,18.1378002166748,9.96774005889893,19.9437999725342,14.042200088501,,,,20.0359001159668,3.37366008758545,,,2.50436997413635,2.56814002990723,1.4380099773407
2016-01-01 03:00:00,25.6371002197266,17.8043994903564,6.75183010101318,19.6987991333008,11.8510999679565,,,,12.5600004196167,1.51621997356415,,,2.38604998588562,2.37940001487732,1
2016-01-01 04:00:00,23.9524993896484,16.859899520874,5.58166980743408,17.9360008239746,9.7136402130127,,,,15.0953998565674,1.78742003440857,,,2.32176995277405,1.24275994300842,1
2016-01-01 05:00:00,22.9584999084473,15.0265998840332,4.24432992935181,16.1833000183105,12.4274997711182,,,,17.0573997497559,,,,2.12772989273071,2.04208993911743,1.15935003757477
