Nombre de estacion,Independencia,La_Florida,Las_Condes,Santiago,Pudahuel,Cerrillos,El_Bosque,Cerro_Navia,Puente_Alto,Talagante,Quilicura,Talca_La_Florida,Padre_Las_Casas_II,Coyhaique_II
Region,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Maule,Araucanía,Aysén
Codigo region,13,13,13,13,13,13,13,13,13,13,13,7,9,11
Comuna,Independencia,La Florida,Las Condes,Santiago,Pudahuel,Cerrillos,El Bosque,Cerro Navia,Puente Alto,Talagante,Quilicura,Talca,Padre las Casas,Coyhaique
Codigo comuna,13108,13110,13114,13101,13124,13102,13105,13103,13201,13601,13125,7101,9112,11101
UTM_Este,346488,352504,358305,345673,337311,340277,345313,338984,352049,318945,337356,256889,708625,730152
UTM_Norte,6300681,6290304,6305906,6296019,6298809,6292747,6286825,6299360,6282013,6272298,6306788,6075395,5706593,4948488
2018-01-01 00:00:00,11.9650001525879,12.1433000564575,15.1525001525879,4.88333988189697,11.5900001525879,,11.7558002471924,9.6899995803833,12.0867004394531,,,12.3717002868652,8.89138984680176,
2018-01-01 01:00:00,11.7200002670288,19.3166999816895,18.0100002288818,3.71917009353638,14.5649995803833,,13.2482995986938,13.0900001525879,16.198299407959,,,4.08873987197876,10.5410995483398,
2018-01-01 02:00:00,6.32667016983032,22.8255996704102,18.1732997894287,4.68888998031616,15.4433002471924,,14.4443998336792,12.6366996765137,,,,16.5967998504639,9.89616012573242,
2018-01-01 03:00:00,9.5,21.8299999237061,19.2621994018555,7.24445009231567,15.3299999237061,,11.5333003997803,13.6567001342773,14.3259000778198,,,12.6871004104614,9.16252040863037,
2018-01-01 04:00:00,9.75500011444092,14.3933000564575,18.00830078125,9.38416957855225,18.6450004577637,,12.9792003631592,18.5300006866455,15.2882995605469,,,10.996000289917,8.36271953582764,
2018-01-01 05:00:00,20.7399997711182,16.2325000762939,18.1483001708984,15.3732995986938,16.6900005340576,,13.6492004394531,13.8549995422363,17.9867000579834,,,7.41295003890991,5.41737985610962,
2018-01-01 06:00:00,20.5799999237061,16.8791999816895,18.6000003814697,14.1350002288818,14.4799995422363,,13.227499961853,12.1549997329712,17.3999996185303,,,2.85694003105164,4.9655499458313,
2018-01-01 07:00:00,14.4575004577637,12.9491996765137,17.0566997528076,10.3175001144409,8.69999980926514,,10.7924995422363,7.99000978469849,13.3233003616333,,,1.37019002437592,3.40129995346069,
2018-01-01 08:00:00,5.94000005722046,8.75833034515381,15.0333003997803,9.15750026702881,5.98000001907349,,9.8200101852417,3.40000009536743,13.9857997894287,,,1.04247999191284,2.12039995193481,
2018-01-01 09:00:00,3.29749989509583,8.75,12.7674999237061,5.78000020980835,6.3200101852417,,6.33584022521973,3.65499997138977,12.2082996368408,,,1.06845998764038,1.42185997962952,
2018-01-01 10:00:00,1.36833000183105,5.98416996002197,11.7974996566772,4.95499992370605,7.25500011444092,,4.42332983016968,4.07999992370605,7.6966700553894,,,1.34030997753143,1.02487003803253,
2018-01-01 11:00:00,1.39666998386383,4.47749996185303,10.9891996383667,1.9650000333786,6.06500005722046,,3.4208300113678,3.5699999332428,5.42999982833862,,,1.0615199804306,1.00011003017426,
2018-01-01 12:00:00,1.39666998386383,3.55999994277954,9.68834018707275,1.38300001621246,4.96000003814697,,1.90499997138977,2.72000002861023,3.44416999816895,,,1.04795002937317,1.02162003517151,
2018-01-01 13:00:00,1.45333003997803,3.30999994277954,8.70833969116211,1.06666994094849,4.1100001335144,,2.88582992553711,1.70000004768372,4.52750015258789,,,1.1431200504303,1.04697000980377,
2018-01-01 14:00:00,1,2.89333009719849,7.89249992370605,1.06666994094849,4.44999980926514,,2.350830078125,,4.91750001907349,,,1.37696003913879,1.16093003749847,
2018-01-01 15:00:00,1,2.56750011444092,7.5625,1.06582999229431,3.59999990463257,,2.08332991600037,,5.77500009536743,,,1.04595005512238,1.14350998401642,
2018-01-01 16:00:00,1,2.73416996002197,7.56416988372803,1,3.4300000667572,,2.08332991600037,,7.78667020797729,,,1.07547998428345,1.19474995136261,
2018-01-01 17:00:00,1,3.31416988372803,8.21500015258789,1.13332998752594,5.80999994277954,,2.461669921875,1.70000004768372,8.86332988739014,,,2.46853995323181,1.26962995529175,
2018-01-01 18:00:00,4.32250022888184,4.5625,7.81000995635986,1.06666994094849,4.70499992370605,,2.70749998092651,1.7849999666214,9.26583957672119,,,3.72287011146545,1.31757998466492,
2018-01-01 19:00:00,14.1149997711182,5.89333009719849,9.03666973114014,3.71667003631592,7.34000015258789,,5.02582979202271,5.6100001335144,11.0558004379272,,,4.39759016036987,1.78522002696991,
2018-01-01 20:00:00,14.9674997329712,13.3933000564575,12.3850002288818,3.97250008583069,10.2299995422363,,10.6866998672485,6.96999979019165,13.9467000961304,,,6.76559019088745,2.70931005477905,
2018-01-01 21:00:00,14.9575004577637,14.3100004196167,14.0183000564575,4.46999979019165,11.6750001907349,,10.6433000564575,9.9450101852417,13.3492002487183,,,8.7923698425293,2.98791003227234,
2018-01-01 22:00:00,12.2325000762939,8.39332962036133,17.36669921875,4.71999979019165,13.5450000762939,,11.1324996948242,9.53750991821289,13.5275001525879,,,8.11820983886719,3.68659996986389,
2018-01-01 23:00:00,5.53584003448486,11.2266998291016,21.8533000946045,5.63582992553711,13.1199998855591,,10.4650001525879,8.85750007629395,12.6800003051758,,,6.48091983795166,3.36175990104675,
2018-01-02 00:00:00,9.33250045776367,9.0600004196167,19.5699996948242,4.30082988739014,10.7399997711182,,7.70083999633789,7.24249982833862,11.8466997146606,,,8.44423961639404,1.90522003173828,
2018-01-02 01:00:00,3.21000003814697,10.2266998291016,15.9783000946045,6.72166013717651,10.5699996948242,,6.18500995635986,6.30749988555908,10.3466997146606,,,10.5853004455566,1.85503995418549,
2018-01-02 02:00:00,4.62666988372803,11.4766998291016,15.1344003677368,6.02443981170654,12.7232999801636,,5.05556011199951,7.78667020797729,11.2632999420166,,,5.54331016540527,1.67502999305725,
2018-01-02 03:00:00,15.0600004196167,14.9310998916626,13.5,13.9111003875732,14.3100004196167,,11.2666997909546,11.1632995605469,15.3745002746582,,,4.08215999603271,1.65832996368408,
2018-01-02 04:00:00,12.9849996566772,16.5025005340576,13.9292001724243,15.8824996948242,22.6399993896484,,16.8367004394531,17.0849990844727,17.6608009338379,,,7.23847007751465,2.02873992919922,
2018-01-02 05:00:00,27.5475006103516,19.7966995239258,14.5775003433228,21.9167003631592,26.6350002288818,,17.9857997894287,20.7399997711182,22.3624992370605,,,10.2843999862671,4.79958009719849,
2018-01-02 06:00:00,29.4200000762939,24.57080078125,18.2175006866455,23.760799407959,26.2099990844727,,19.2742004394531,21.1650009155273,24.3241996765137,,,8.55607986450195,7.17147016525269,
2018-01-02 07:00:00,27.2099990844727,25.5224990844727,19.5366992950439,32.8650016784668,23.5750007629395,,15.6374998092651,19.8899993896484,24.3159008026123,,,3.53595995903015,9.99283027648926,
2018-01-02 08:00:00,30.7800006866455,21.6100006103516,15.1107997894287,37.1150016784668,14.0550003051758,,20.051700592041,14.789999961853,26.8358001708984,,,2.07095003128052,7.2785701751709,
2018-01-02 09:00:00,27.5499992370605,26.2957992553711,19.5692005157471,22.0116996765137,16.5200004577637,,23.3582992553711,14.2799997329712,19.4582996368408,,,1.68807995319366,6.166259765625,
2018-01-02 10:00:00,23.3850002288818,17.7900009155273,26.7283000946045,22.2308006286621,16.1800003051758,,22.0891990661621,13.0050001144409,15.0532999038696,,,2.01313996315002,7.89223003387451,
2018-01-02 11:00:00,18.2824993133545,16.260799407959,28.1366996765137,17.2199993133545,11.4200000762939,,13.7250003814697,9.85999965667725,11.7616996765137,,,2.00037002563477,5.60136985778809,
2018-01-02 12:00:00,15.2974996566772,7.82332992553711,19.3675003051758,6.94999980926514,7.59499979019165,,5.06916999816895,4.59000015258789,8.62584018707275,,,2.45476007461548,4.74986982345581,
2018-01-02 13:00:00,8.92000007629395,5.31750011444092,14.7383003234863,2.30999994277954,7.47454977035522,,4.82332992553711,2.97499990463257,9.70083999633789,,,1.59530997276306,4.03640985488892,
2018-01-02 14:00:00,7.6399998664856,4.48250007629395,13.022500038147,3.04082989692688,6.66000986099243,,7.96500015258789,3.14499998092651,10.039999961853,,,1.74556994438171,3.78623008728027,
2018-01-02 15:00:00,8.57499980926514,4.65000009536743,12.2082996368408,3.45667004585266,7.08501005172729,,8.85416984558105,2.72000002861023,3.52583003044128,,,,4.00911998748779,
2018-01-02 16:00:00,8.82750034332275,7.07250022888184,13.6750001907349,2.78999996185303,7.25500011444092,,9.07417011260986,2.63499999046326,2.83999991416931,,,,4.00409984588623,
2018-01-02 17:00:00,10.875,9.57750034332275,14.1617002487183,2.97499990463257,7.00001001358032,,9.64750957489014,3.05999994277954,2.67750000953674,,,3.43704009056091,4.8704400062561,
2018-01-02 18:00:00,14.1075000762939,10.6607999801636,15.9582996368408,4.21000003814697,8.4450101852417,,11.0783004760742,4.07999992370605,5.69917011260986,,,4.50338983535767,6.36314010620117,
2018-01-02 19:00:00,19.9799995422363,13.7349996566772,13.9316997528076,7.63333988189697,11.8450002670288,,15.2433004379272,7.05499982833862,6.43333005905151,,,8.43819999694824,6.80381011962891,
2018-01-02 20:00:00,23.5499992370605,22.1441993713379,15.0791997909546,10.8832998275757,15.2449998855591,,16.5391998291016,12.835000038147,14.3641996383667,,,22.7530994415283,8.22478008270264,
2018-01-02 21:00:00,29.9300003051758,23.4825000762939,19.7283000946045,11.5508003234863,19.4099998474121,,17.8766994476318,13.8549995422363,11.8649997711182,,,20.0245990753174,7.18989992141724,
2018-01-02 22:00:00,31.2900009155273,29.2458000183105,21.6849994659424,13.3000001907349,21.4500007629395,,25.4442005157471,18.1900005340576,10.7917003631592,,,13.9925003051758,6.90048980712891,
2018-01-02 23:00:00,28.7399997711182,31.6716995239258,22.9099998474121,17.0375003814697,22.8950004577637,,25.7075004577637,19.6350002288818,6.77750015258789,,,4.16682004928589,4.0562801361084,
2018-01-03 00:00:00,24.1350002288818,24.2483005523682,21.8299999237061,31.5275001525879,27.3999996185303,,24.6282997131348,20.1124992370605,15.3466997146606,,,4.16229009628296,2.39478993415833,
2018-01-03 01:00:00,25.7525005340576,24.1583003997803,17.1933002471924,30.8157997131348,20.7700004577637,,16.9741992950439,22.2700004577637,15.7632999420166,,,2.07441997528076,2.33461999893188,
2018-01-03 02:00:00,29.25,17.8188991546631,15.5600004196167,29.2900009155273,21.4500007629395,,19.3222007751465,15.1300001144409,9.37444972991943,,,1.22969996929169,3.12799000740051,
2018-01-03 03:00:00,28.0032997131348,12.8100004196167,15.7777996063232,23.9144992828369,20.5433006286621,,20.3400001525879,15.2433004379272,14.2632999420166,,,1.50076997280121,2.07641005516052,
2018-01-03 04:00:00,27.4650001525879,16.6667003631592,16.7807998657227,24.0816993713379,20.3449993133545,,19.5858001708984,17.3400001525879,13.9582996368408,,,7.16275978088379,2.46259999275208,
2018-01-03 05:00:00,30.6949996948242,21.5167007446289,22.698299407959,22.9708003997803,23.5750007629395,,22.6382999420166,19.2950000762939,21.5358009338379,,,7.07364988327026,3.26131010055542,
2018-01-03 06:00:00,35.8800010681152,28.6634006500244,26.8083000183105,26.8766994476318,29.9500007629395,,29.3932991027832,22.6949996948242,23.1525001525879,,,4.69950008392334,5.92718982696533,
2018-01-03 07:00:00,40.6399993896484,32.0466995239258,24.2507991790771,34.6108016967773,35.1349983215332,,37.8224983215332,30.1749992370605,22.2049999237061,,,2.73674011230469,7.81180000305176,
2018-01-03 08:00:00,34.2649993896484,24.3941993713379,26.2808990478516,26.7367000579834,20.9400005340576,,34.9900016784668,22.1849994659424,20.32080078125,,,1.71679997444153,5.04858016967773,
2018-01-03 09:00:00,20.3250007629395,31.3633003234863,28.5,35.2933006286621,15.9250001907349,,23.4708003997803,15.8100004196167,24.2266998291016,,,1.36231005191803,4.93590021133423,
2018-01-03 10:00:00,26.7000007629395,21.4542007446289,30.1758003234863,23.6275005340576,18.3050003051758,,27.7849998474121,12.9200000762939,20.8283004760742,,,1.52016997337341,4.25110006332397,
2018-01-03 11:00:00,26.8675003051758,21.8549995422363,27.7558002471924,17.3500003814697,14.3100004196167,,14.8157997131348,10.4549999237061,6.38749980926514,,,1.83912003040314,4.23457002639771,
2018-01-03 12:00:00,14.9575004577637,7.90250015258789,24.198299407959,5.45916986465454,8.35999965667725,,10.7307996749878,5.26999998092651,2.23667001724243,,,1.550989985466,3.98342990875244,
2018-01-03 13:00:00,16.6599998474121,6.56750011444092,16.7775001525879,3.54833006858826,7.51000022888184,,4.71250009536743,3.31500005722046,2.70917010307312,,,1.31333005428314,3.11149001121521,
2018-01-03 14:00:00,9.59249973297119,4.89666986465454,14.0858001708984,3.875,5.72499990463257,,6.05000019073486,3.14499998092651,2.10666990280151,,,1.68777000904083,3.22464990615845,
2018-01-03 15:00:00,12.4049997329712,5.90000009536743,13.2700004577637,3.375,5.81000995635986,,6.87334012985229,2.46499991416931,1.60916996002197,,,1.55750000476837,2.95947003364563,
2018-01-03 16:00:00,12.3125,6.31415987014771,13.7608003616333,4.12416982650757,5.98000001907349,,7.40832996368408,2.89000010490417,2.836669921875,,,2.2504301071167,4.44926023483276,
2018-01-03 17:00:00,13.1700000762939,8.23416042327881,14.6591997146606,4.87416982650757,6.91499996185303,,10.147500038147,3.65499997138977,4.29416990280151,,,1.83043003082275,5.3321099281311,
2018-01-03 18:00:00,10.8625001907349,14.3283004760742,16.2933006286621,5.79416990280151,8.61501026153564,,10.1466999053955,4.42001008987427,7.03249979019165,,,2.32333993911743,5.67220020294189,
2018-01-03 19:00:00,12.4825000762939,12.6541996002197,15.5675001144409,7.46500015258789,9.125,,12.2841997146606,5.94999980926514,7.69416999816895,,,2.667720079422,5.31826019287109,
2018-01-03 20:00:00,14.9575004577637,11.9067001342773,13.2017002105713,7.96583986282349,11.9300003051758,,8.385009765625,7.7350001335144,6.7591700553894,,,3.03574991226196,4.93465995788574,
2018-01-03 21:00:00,19.2199993133545,14.4125003814697,14.5082998275757,7.1341700553894,13.7150001525879,,8.51500034332275,13.4300003051758,11.5508003234863,,,3.24879002571106,4.88086986541748,
2018-01-03 22:00:00,17.4349994659424,14.4099998474121,15.2399997711182,10.3808002471924,16.5200004577637,,11.9041996002197,13.0050001144409,16.3216991424561,,,1.71823000907898,3.69799995422363,
2018-01-03 23:00:00,16.3299999237061,17.8024997711182,19.2266998291016,11.0375003814697,12.0150003433228,,14.8708000183105,11.8149995803833,15.4674997329712,,,2.13413000106812,2.55595993995667,
2018-01-04 00:00:00,15.4674997329712,18.4500007629395,20.3516998291016,12.9342002868652,9.46500968933105,,14.1850004196167,6.63000011444092,12.9933004379272,,,1.86404001712799,1.85049998760223,
2018-01-04 01:00:00,12.7399997711182,17.4867000579834,18.2541999816895,13.6750001907349,9.125,,13.1499996185303,7.1399998664856,11.9883003234863,,,1.5582799911499,1.20257997512817,
2018-01-04 02:00:00,10.4067001342773,16.0077991485596,16.3222007751465,11.8621997833252,10.6833000183105,,9.93000984191895,8.55667018890381,12.3439998626709,,,1.71932005882263,1.16042995452881,
2018-01-04 03:00:00,3.2666699886322,13.3999996185303,16.4344005584717,10.2089004516602,7.17001008987427,,8.26556015014648,7.76333999633789,11.3782997131348,,,2.20445990562439,1.03851997852325,
2018-01-04 04:00:00,6.86749982833862,13.3291997909546,14.6632995605469,9.98499965667725,9.635009765625,,6.63083982467651,9.4350004196167,12.2075004577637,,,2.39038991928101,1.02540004253387,
2018-01-04 05:00:00,14.2049999237061,14.1875,19.6716995239258,10.5466995239258,11.5050001144409,,12.3649997711182,9.85999965667725,15.1225004196167,,,2.84055995941162,2.43527007102966,
2018-01-04 06:00:00,15.3100004196167,18.2357997894287,23.3274993896484,13.1983003616333,13.8850002288818,,14.7642002105713,10.0299997329712,17.1508007049561,,,2.55770993232727,6.65206003189087,
2018-01-04 07:00:00,14.1199998855591,27.6158008575439,21.4633007049561,19.4874992370605,13.6300001144409,,22.2849998474121,10.539999961853,15.7891998291016,,,1.19272994995117,12.9118995666504,
2018-01-04 08:00:00,20.75,24.2824993133545,25.4941997528076,17.1067008972168,14.3950004577637,,21.9983005523682,8.92500019073486,14.2216997146606,,,1.02496004104614,8.22366046905518,
2018-01-04 09:00:00,19.9850006103516,26.8150005340576,24.1082992553711,18.2017002105713,19.6650009155273,,20.2866992950439,14.4499998092651,16.1200008392334,,,1.16888999938965,5.61001014709473,
2018-01-04 10:00:00,17.3500003814697,18.8866996765137,21.8658008575439,14.6400003433228,15.414999961853,,25.5100002288818,12.4949998855591,15,,,1,3.51916003227234,
2018-01-04 11:00:00,18.6200008392334,16.7616996765137,20.5825004577637,9.3583402633667,9.46500015258789,,14.2299995422363,6.46000003814697,10.4575004577637,,,1.06322002410889,2.72526001930237,
2018-01-04 12:00:00,10.1925001144409,11.3249998092651,17.6716995239258,5.20583009719849,6.15000009536743,,,3.40000009536743,3.01583003997803,,,1.25963997840881,2.1400899887085,
2018-01-04 13:00:00,8.94583034515381,5.73582983016968,14.0882997512817,2.3916699886322,5.13000011444092,,,2.08083009719849,1.22800004482269,,,1.21086001396179,2.00110006332397,
2018-01-04 14:00:00,9.60499954223633,6.2350001335144,12.3725004196167,1.99167001247406,4.96000003814697,,,2.125,1,,,1.40708994865417,2.54479002952576,
2018-01-04 15:00:00,8.07248973846436,6.65667009353638,11.8008003234863,1.72749996185303,5.30000019073486,,,2.25082993507385,1.56582999229431,,,1.03425002098083,2.65077996253967,
2018-01-04 16:00:00,8.25500011444092,6.49167013168335,14.2333002090454,2.38667011260986,5.21500015258789,,,2.21000003814697,2.03416991233826,,,1.08439004421234,2.69494009017944,
2018-01-04 17:00:00,7.06500005722046,6.92582988739014,12.5132999420166,1.98249995708466,5.04500007629395,,5.92750978469849,,1.59500002861023,,,1.97644996643066,3.23986005783081,
2018-01-04 18:00:00,7.57499980926514,8.50916957855225,11.7891998291016,3.61417007446289,5.81000995635986,,9.072509765625,2.38000011444092,2.61833000183105,,,2.15649008750916,3.88105010986328,
2018-01-04 19:00:00,14.2049999237061,9.08582973480225,12.8599996566772,4.45916986465454,6.91499996185303,,9.12333965301514,4.07999992370605,3.53167009353638,,,2.8162899017334,5.18770980834961,
2018-01-04 20:00:00,14.8824996948242,12.7517004013062,14.1708002090454,6.04666996002197,7.67999982833862,,9.68000984191895,5.78000020980835,6.37583017349243,,,4.15720987319946,5.24308013916016,
2018-01-04 21:00:00,12.4200000762939,12.2574996948242,15.7232999801636,7.71583986282349,10.1450004577637,,10.2082996368408,9.77501010894775,5.76082992553711,,,3.24800992012024,7.61819982528687,
2018-01-04 22:00:00,9.85501003265381,14.1983003616333,18.6308002471924,9.87082958221436,13.8000001907349,,10.5291996002197,10.4549999237061,12.0741996765137,,,4.38530015945435,6.38555002212524,
2018-01-04 23:00:00,10.3774995803833,13.2158002853394,18.9466991424561,6.20583009719849,8.27499008178711,,7.84667015075684,6.46000003814697,7.35583019256592,,,2.06800007820129,4.3423900604248,
2018-01-05 00:00:00,6.19750022888184,9.90501022338867,18.0408000946045,5.70417022705078,7.68000984191895,,1.61249995231628,6.20499992370605,4.76333999633789,,,1.06222999095917,1.65158998966217,
2018-01-05 01:00:00,6.19000005722046,10.3267002105713,17.6233997344971,7.26666021347046,6.91500997543335,,6.625,6.03499984741211,6.86583995819092,,,1.37408995628357,3.10724997520447,
2018-01-05 02:00:00,7.25333023071289,9.61223030090332,17.3843994140625,5.55777978897095,6.15000009536743,,4.96555995941162,4.92999982833862,4.85666990280151,,,1.96445000171661,4.27701997756958,
2018-01-05 03:00:00,5.43666982650757,7.70777988433838,15.1921997070312,3.34889006614685,5.24333000183105,,4.9655499458313,4.59000015258789,4.75,,,5.53012990951538,3.53890991210938,
2018-01-05 04:00:00,7.14249992370605,7.57667016983032,15.5024995803833,5.47833013534546,6.74499988555908,,7.31166982650757,5.52500009536743,5.46999979019165,,,7.05468988418579,2.20547008514404,
2018-01-05 05:00:00,7.91499996185303,9.23250007629395,15.5432996749878,6.99167013168335,7.84999990463257,,9.71333026885986,6.46000003814697,6.28499984741211,,,7.27066993713379,4.86665010452271,
2018-01-05 06:00:00,8.85000991821289,9.82583999633789,15.6658000946045,7.72833013534546,9.635009765625,,9.78250026702881,6.80000019073486,7.85666990280151,,,5.70958995819092,7.63409996032715,
2018-01-05 07:00:00,11.5699996948242,13.4383001327515,17.7325000762939,8.34665966033936,9.63498973846436,,7.86250019073486,6.54500007629395,7.57332992553711,,,2.57789993286133,6.49141979217529,
2018-01-05 08:00:00,12.7600002288818,12.0657997131348,21.034200668335,9.3149995803833,8.35999965667725,,7.89750003814697,6.80000019073486,6.71415996551514,,,1.43353998661041,3.76252007484436,
