Fecha,Serie,Total
2020-03-25,pcr,3290.0
2020-03-26,pcr,4886.0
2020-03-27,pcr,7387.0
2020-03-28,pcr,3534.0
2020-03-29,pcr,1777.0
2020-03-30,pcr,3680.0
2020-03-31,pcr,3046.0
2020-04-01,pcr,2898.0
2020-04-02,pcr,2685.0
2020-04-03,pcr,3405.0
2020-04-04,pcr,4483.0
2020-04-05,pcr,3343.0
2020-04-06,pcr,2908.0
2020-04-07,pcr,2258.0
2020-04-08,pcr,3269.0
2020-04-09,pcr,7962
2020-04-10,pcr,4444
2020-04-11,pcr,3577
2020-04-12,pcr,5897
2020-04-13,pcr,2764
2020-04-14,pcr,2759
2020-04-15,pcr,4079
2020-04-16,pcr,6551
2020-04-17,pcr,5449
2020-04-18,pcr,5018
2020-04-19,pcr,4758
2020-04-20,pcr,5178
2020-04-21,pcr,3530
2020-04-22,pcr,6365
2020-04-23,pcr,6425
2020-04-24,pcr,7120
2020-04-25,pcr,6945
2020-04-26,pcr,6763
2020-04-27,pcr,5260
2020-04-28,pcr,4930
2020-04-29,pcr,6454
2020-04-30,pcr,7898
2020-05-01,pcr,8916
2020-05-02,pcr,9967
2020-05-03,pcr,6818
2020-05-04,pcr,7913
2020-05-05,pcr,7964
2020-05-06,pcr,10013
2020-05-07,pcr,12118
2020-05-08,pcr,11735
2020-05-09,pcr,11943
2020-05-10,pcr,12780
2020-05-11,pcr,13373
2020-05-12,pcr,9283
2020-05-13,pcr,10410
2020-05-14,pcr,11502
2020-05-15,pcr,16095
2020-05-16,pcr,8813
2020-05-17,pcr,13171
2020-05-18,pcr,17515
2020-05-19,pcr,16189
2020-05-20,pcr,12469
2020-05-21,pcr,16334
2020-05-22,pcr,16090
2020-05-23,pcr,15239
2020-05-24,pcr,14426
2020-05-25,pcr,16283
2020-05-26,pcr,13084
2020-05-27,pcr,13398
2020-05-28,pcr,15650
2020-05-29,pcr,16333
2020-05-30,pcr,16814
2020-05-31,pcr,19120
2020-06-01,pcr,16890
2020-06-02,pcr,13442
2020-06-03,pcr,15546
2020-06-04,pcr,18140
2020-06-05,pcr,21780
2020-06-06,pcr,18954
2020-06-07,pcr,21265
2020-06-08,pcr,20040
2020-06-09,pcr,17777
2020-06-10,pcr,14477
2020-06-11,pcr,19976
2020-06-12,pcr,18733
2020-06-13,pcr,20223
2020-06-14,pcr,20151
2020-06-15,pcr,18808
2020-06-16,pcr,14575
2020-06-17,pcr,12636
2020-06-18,pcr,16997
2020-06-19,pcr,20347
2020-06-20,pcr,20080
2020-06-21,pcr,20115
2020-06-22,pcr,18645
2020-06-23,pcr,12707
2020-06-24,pcr,12575
2020-06-25,pcr,17446
2020-06-26,pcr,18249
2020-06-27,pcr,17944
2020-06-28,pcr,18370
2020-06-29,pcr,16799
2020-06-30,pcr,13349
2020-07-01,pcr,10385
2020-07-02,pcr,10831
2020-07-03,pcr,15585
2020-07-04,pcr,17287
2020-07-05,pcr,18004
2020-07-06,pcr,16377
2020-07-07,pcr,12065
2020-07-08,pcr,10464
2020-07-09,pcr,16842
2020-07-10,pcr,17727
2020-07-11,pcr,18268
2020-07-12,pcr,19171
2020-07-13,pcr,17467
2020-07-14,pcr,12238
2020-07-15,pcr,12209
2020-07-16,pcr,17192
2020-07-17,pcr,18699
2020-07-18,pcr,17716
2020-07-19,pcr,15728
2020-07-20,pcr,16343
2020-07-21,pcr,12590
2020-07-22,pcr,12793
2020-07-23,pcr,18867
2020-07-24,pcr,21071
2020-07-25,pcr,19133
2020-07-26,pcr,19709
2020-07-27,pcr,21544
2020-07-28,pcr,17596
2020-07-29,pcr,17130
2020-07-30,pcr,20295
2020-07-31,pcr,22874
2020-08-01,pcr,24398
2020-08-02,pcr,24899
2020-08-03,pcr,24269
2020-08-04,pcr,18857
2020-08-05,pcr,21398
2020-08-06,pcr,22802
2020-08-07,pcr,25243
2020-08-08,pcr,27037
2020-08-09,pcr,28460
2020-08-10,pcr,26012
2020-08-11,pcr,22249
2020-08-12,pcr,19348
2020-08-13,pcr,23628
2020-08-14,pcr,27618
2020-08-15,pcr,28499
2020-08-16,pcr,30882
2020-08-17,pcr,25289
2020-08-18,pcr,23199
2020-08-19,pcr,19275
2020-08-20,pcr,26278
2020-08-21,pcr,28669
2020-08-22,pcr,29727
2020-08-23,pcr,31981
2020-08-24,pcr,27454
2020-08-25,pcr,24503
2020-08-26,pcr,20257
2020-08-27,pcr,27019
2020-08-28,pcr,30274
2020-08-29,pcr,32237
2020-03-25,casos,220.0
2020-03-26,casos,164.0
2020-03-27,casos,304.0
2020-03-28,casos,299.0
2020-03-29,casos,230.0
2020-03-30,casos,310.0
2020-03-31,casos,289.0
2020-04-01,casos,293.0
2020-04-02,casos,373.0
2020-04-03,casos,333.0
2020-04-04,casos,424.0
2020-04-05,casos,310.0
2020-04-06,casos,344.0
2020-04-07,casos,301.0
2020-04-08,casos,430.0
2020-04-09,casos,426.0
2020-04-10,casos,529.0
2020-04-11,casos,426.0
2020-04-12,casos,286.0
2020-04-13,casos,312.0
2020-04-14,casos,392.0
2020-04-15,casos,356.0
2020-04-16,casos,534.0
2020-04-17,casos,445.0
2020-04-18,casos,478.0
2020-04-19,casos,358.0
2020-04-20,casos,419.0
2020-04-21,casos,325.0
2020-04-22,casos,464.0
2020-04-23,casos,516.0
2020-04-24,casos,494.0
2020-04-25,casos,552.0
2020-04-26,casos,473.0
2020-04-27,casos,482.0
2020-04-28,casos,552.0
2020-04-29,casos,770.0
2020-04-30,casos,888.0
2020-05-01,casos,985.0
2020-05-02,casos,1427.0
2020-05-03,casos,1228.0
2020-05-04,casos,980.0
2020-05-05,casos,1373.0
2020-05-06,casos,1032.0
2020-05-07,casos,1533.0
2020-05-08,casos,1391.0
2020-05-09,casos,1247.0
2020-05-10,casos,1647.0
2020-05-11,casos,1197.0
2020-05-12,casos,1658.0
2020-05-13,casos,2660.0
2020-05-14,casos,2659.0
2020-05-15,casos,2502.0
2020-05-16,casos,1886.0
2020-05-17,casos,2353.0
2020-05-18,casos,2278.0
2020-05-19,casos,3520.0
2020-05-20,casos,4038.0
2020-05-21,casos,3964.0
2020-05-22,casos,4276.0
2020-05-23,casos,3536.0
2020-05-24,casos,3709.0
2020-05-25,casos,4895.0
2020-05-26,casos,3964.0
2020-05-27,casos,4328.0
2020-05-28,casos,4654.0
2020-05-29,casos,3695.0
2020-05-30,casos,4220.0
2020-05-31,casos,4830.0
2020-06-01,casos,5471.0
2020-06-02,casos,3527.0
2020-06-03,casos,4942.0
2020-06-04,casos,4664.0
2020-06-05,casos,4207.0
2020-06-06,casos,5246.0
2020-06-07,casos,6405.0
2020-06-08,casos,4696.0
2020-06-09,casos,3913.0
2020-06-10,casos,5737.0
2020-06-11,casos,5596.0
2020-06-12,casos,6754.0
2020-06-13,casos,6509.0
2020-06-14,casos,6938.0
2020-06-15,casos,5143.0
2020-06-16,casos,5013.0
2020-06-17,casos,4757.0
2020-06-18,casos,4475.0
2020-06-19,casos,6290.0
2020-06-20,casos,5355.0
2020-06-21,casos,5607.0
2020-06-22,casos,4608.0
2020-06-23,casos,3804.0
2020-06-24,casos,3649.0
2020-06-25,casos,4648.0
2020-06-26,casos,4296.0
2020-06-27,casos,4406.0
2020-06-28,casos,4216.0
2020-06-29,casos,4017.0
2020-06-30,casos,3394.0
2020-07-01,casos,2650.0
2020-07-02,casos,2498.0
2020-07-03,casos,3548.0
2020-07-04,casos,3758.0
2020-07-05,casos,3685.0
2020-07-06,casos,3025.0
2020-07-07,casos,2462.0
2020-07-08,casos,2064.0
2020-07-09,casos,3133.0
2020-07-10,casos,3058.0
2020-07-11,casos,2755.0
2020-07-12,casos,3012.0
2020-07-13,casos,2616.0
2020-07-14,casos,1836.0
2020-07-15,casos,1712.0
2020-07-16,casos,2475.0
2020-07-17,casos,2840.0
2020-07-18,casos,2185.0
2020-07-19,casos,2082.0
2020-07-20,casos,2099.0
2020-07-21,casos,1656.0
2020-07-22,casos,1741.0
2020-07-23,casos,2371.0
2020-07-24,casos,2545.0
2020-07-25,casos,2287.0
2020-07-26,casos,2198.0
2020-07-27,casos,2133.0
2020-07-28,casos,1876.0
2020-07-29,casos,1773.0
2020-07-30,casos,1948.0
2020-07-31,casos,2123.0
2020-08-01,casos,1979.0
2020-08-02,casos,2081.0
2020-08-03,casos,1762.0
2020-08-04,casos,1462.0
2020-08-05,casos,1781.0
2020-08-06,casos,1947.0
2020-08-07,casos,2149.0
2020-08-08,casos,2201.0
2020-08-09,casos,2036.0
2020-08-10,casos,1988.0
2020-08-11,casos,1566.0
2020-08-12,casos,1540.0
2020-08-13,casos,1852.0
2020-08-14,casos,2077.0
2020-08-15,casos,1777.0
2020-08-16,casos,2086.0
2020-08-17,casos,1556.0
2020-08-18,casos,1336.0
2020-08-19,casos,1233.0
2020-08-20,casos,1813.0
2020-08-21,casos,1920.0
2020-08-22,casos,1926.0
2020-08-23,casos,1942.0
2020-08-24,casos,1903.0
2020-08-25,casos,1406.0
2020-08-26,casos,1371.0
2020-08-27,casos,1739.0
2020-08-28,casos,1868.0
2020-08-29,casos,2033
2020-03-25,positividad,0.0669
2020-03-26,positividad,0.0336
2020-03-27,positividad,0.0412
2020-03-28,positividad,0.0846
2020-03-29,positividad,0.1294
2020-03-30,positividad,0.0842
2020-03-31,positividad,0.0949
2020-04-01,positividad,0.1011
2020-04-02,positividad,0.1389
2020-04-03,positividad,0.0978
2020-04-04,positividad,0.0946
2020-04-05,positividad,0.0927
2020-04-06,positividad,0.1183
2020-04-07,positividad,0.1333
2020-04-08,positividad,0.1315
2020-04-09,positividad,0.0535
2020-04-10,positividad,0.119
2020-04-11,positividad,0.1191
2020-04-12,positividad,0.0485
2020-04-13,positividad,0.1129
2020-04-14,positividad,0.1421
2020-04-15,positividad,0.0873
2020-04-16,positividad,0.0815
2020-04-17,positividad,0.0817
2020-04-18,positividad,0.0953
2020-04-19,positividad,0.0752
2020-04-20,positividad,0.0809
2020-04-21,positividad,0.0921
2020-04-22,positividad,0.0729
2020-04-23,positividad,0.0803
2020-04-24,positividad,0.0694
2020-04-25,positividad,0.0795
2020-04-26,positividad,0.0699
2020-04-27,positividad,0.0916
2020-04-28,positividad,0.112
2020-04-29,positividad,0.1193
2020-04-30,positividad,0.1124
2020-05-01,positividad,0.1105
2020-05-02,positividad,0.1432
2020-05-03,positividad,0.1801
2020-05-04,positividad,0.1238
2020-05-05,positividad,0.1724
2020-05-06,positividad,0.1031
2020-05-07,positividad,0.1265
2020-05-08,positividad,0.1185
2020-05-09,positividad,0.1044
2020-05-10,positividad,0.1289
2020-05-11,positividad,0.0895
2020-05-12,positividad,0.1786
2020-05-13,positividad,0.2555
2020-05-14,positividad,0.2312
2020-05-15,positividad,0.1555
2020-05-16,positividad,0.214
2020-05-17,positividad,0.1787
2020-05-18,positividad,0.1301
2020-05-19,positividad,0.2174
2020-05-20,positividad,0.3238
2020-05-21,positividad,0.2427
2020-05-22,positividad,0.2658
2020-05-23,positividad,0.232
2020-05-24,positividad,0.2571
2020-05-25,positividad,0.3006
2020-05-26,positividad,0.303
2020-05-27,positividad,0.323
2020-05-28,positividad,0.2974
2020-05-29,positividad,0.2262
2020-05-30,positividad,0.251
2020-05-31,positividad,0.2526
2020-06-01,positividad,0.3239
2020-06-02,positividad,0.2624
2020-06-03,positividad,0.3179
2020-06-04,positividad,0.2571
2020-06-05,positividad,0.1932
2020-06-06,positividad,0.2768
2020-06-07,positividad,0.3012
2020-06-08,positividad,0.2343
2020-06-09,positividad,0.2201
2020-06-10,positividad,0.3963
2020-06-11,positividad,0.2801
2020-06-12,positividad,0.3605
