Fecha,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29
Casos nuevos con sintomas,1.0,0.0,2.0,1.0,1.0,2.0,3.0,5.0,2.0,6.0,10.0,10.0,18.0,14.0,81.0,45.0,37.0,104.0,92.0,103.0,95.0,114.0,176.0,220.0,164.0,304.0,299.0,230.0,310.0,289.0,293.0,373.0,333.0,424.0,310.0,344.0,301.0,430.0,426.0,529.0,426.0,286.0,312.0,392.0,356.0,534.0,445.0,478.0,358.0,419.0,325.0,464.0,516.0,494.0,552.0,473.0,482.0,552.0,520.0,780.0,882.0,1246.0,1112.0,876.0,1317.0,893.0,1343.0,1183.0,1004.0,1406.0,975.0,1479.0,2152.0,2301.0,2112.0,1573.0,2024.0,2018.0,3099.0,3647.0,3538.0,3863.0,3237.0,3343.0,4428.0,3618.0,3956.0,4128.0,3355.0,3736.0,4437.0,5082.0,3206.0,4537.0,4172.0,3790.0,4888.0,5760.0,4237.0,3587.0,5226.0,5089.0,6217.0,5969.0,6368.0,4660.0,4498.0,4320.0,4060.0,5016.0,4564.0,4181.0,3710.0,3078.0,3020.0,3778.0,3422.0,3481.0,3396.0,3092.0,2690.0,2134.0,2042.0,2703.0,2951.0,2852.0,2354.0,1946.0,1638.0,2395.0,2392.0,2219.0,2371.0,1985.0,1444.0,1400.0,1949.0,2125.0,1624.0,1615.0,1599.0,1342.0,1391.0,1841.0,2005.0,1752.0,1620.0,1475.0,1236.0,1294.0,1428.0,1540.0,1426.0,1482.0,1119.0,1049.0,1216.0,1383.0,1479.0,1511.0,1452.0,1319.0,1061.0,1071.0,1343.0,1396.0,1158.0,1383.0,1012.0,846.0,876.0,1265.0,1328.0,1267.0,1315.0,1265.0,887.0,993.0,1197.0,1227.0,1330
Casos totales,1.0,1.0,3.0,4.0,5.0,7.0,10.0,15.0,17.0,23.0,33.0,43.0,61.0,75.0,156.0,201.0,238.0,342.0,434.0,537.0,632.0,746.0,922.0,1142.0,1306.0,1610.0,1909.0,2139.0,2449.0,2738.0,3031.0,3404.0,3737.0,4161.0,4471.0,4815.0,5116.0,5546.0,5972.0,6501.0,6927.0,7213.0,7525.0,7917.0,8273.0,8807.0,9252.0,9730.0,10088.0,10507.0,10832.0,11296.0,11812.0,12306.0,12858.0,13331.0,13813.0,14365.0,15135.0,16023.0,17008.0,18435.0,19663.0,20643.0,22016.0,23048.0,24581.0,25972.0,27219.0,28866.0,30063.0,31721.0,34381.0,37040.0,39542.0,41428.0,43781.0,46059.0,49579.0,53617.0,57581.0,61857.0,65393.0,69102.0,73997.0,77961.0,82289.0,86943.0,90638.0,94858.0,99688.0,105159.0,108686.0,113628.0,118292.0,122499.0,127745.0,134150.0,138846.0,142759.0,148496.0,154092.0,160846.0,167355.0,174293.0,179436.0,184449.0,220628.0,225103.0,231393.0,236748.0,242355.0,246963.0,250767.0,254416.0,259064.0,263360.0,267766.0,271982.0,275999.0,279393.0,282043.0,284541.0,288089.0,291847.0,295532.0,298557.0,301019.0,303083.0,306216.0,309274.0,312029.0,315041.0,317657.0,319493.0,321205.0,323698.0,326539.0,328846.0,330930.0,333029.0,334683.0,336402.0,338759.0,341304.0,343592.0,345790.0,347923.0,349800.0,351575.0,353536.0,355667.0,357658.0,359731.0,361493.0,362962.0,364723.0,366671.0,368825.0,371023.0,373056.0,375044.0,376616.0,378168.0,380034.0,382111.0,383902.0,385946.0,387502.0,388855.0,390037.0,391849.0,393769.0,395708.0,397665.0,399568.0,400985.0,402365.0,404102.0,405972.0,408009
Casos recuperados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,5.0,6.0,8.0,11.0,17.0,22.0,33.0,43.0,61.0,75.0,156.0,201.0,234.0,335.0,427.0,528.0,617.0,728.0,898.0,1115.0,1274.0,1571.0,1864.0,2059.0,2367.0,2646.0,2937.0,3299.0,3621.0,4035.0,4338.0,4676.0,4969.0,5386.0,5804.0,6327.0,6746.0,7024.0,7327.0,7710.0,8057.0,8580.0,9018.0,9572.0,10041.0,10415.0,10710.0,11189.0,11664.0,12160.0,12667.0,13112.0,13605.0,14125.0,14865.0,15655.0,16614.0,18014.0,19213.0,20165.0,21507.0,22504.0,23992.0,25342.0,26546.0,28148.0,29302.0,30915.0,33540.0,36115.0,38598.0,40431.0,42727.0,44946.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fallecidos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,12.0,16.0,18.0,22.0,27.0,34.0,37.0,43.0,48.0,57.0,65.0,73.0,80.0,82.0,92.0,94.0,105.0,116.0,126.0,133.0,139.0,147.0,160.0,168.0,174.0,181.0,189.0,198.0,207.0,216.0,227.0,234.0,247.0,260.0,270.0,275.0,281.0,285.0,294.0,304.0,312.0,323.0,335.0,346.0,368.0,394.0,421.0,450.0,478.0,509.0,544.0,589.0,630.0,673.0,718.0,761.0,806.0,841.0,890.0,944.0,997.0,1054.0,1113.0,1188.0,1275.0,1356.0,1448.0,1541.0,2190.0,2264.0,2283.0,2475.0,2648.0,2870.0,3101.0,3323.0,3362.0,3383.0,3615.0,3841.0,4093.0,4295.0,4479.0,4502.0,4505.0,4731.0,4903.0,5068.0,5347.0,5509.0,5575.0,5688.0,5753.0,5920.0,6051.0,6192.0,6308.0,6384.0,6434.0,6573.0,6682.0,6781.0,6881.0,6979.0,7024.0,7069.0,7186.0,7290.0,8347.0,8445.0,8503.0,8633.0,8677.0,8722.0,8838.0,8914.0,9020.0,9112.0,9187.0,9240.0,9278.0,9377.0,9457.0,9533.0,9608.0,9707.0,9745.0,9792.0,9889.0,9958.0,10011.0,10077.0,10139.0,10178.0,10205.0,10299.0,10340.0,10395.0,10452.0,10513.0,10546.0,10578.0,10671.0,10723.0,10792.0,10852.0,10916.0,10958.0,10990.0,11072.0,11132.0,11181
Casos activos,1.0,1.0,3.0,4.0,5.0,7.0,10.0,15.0,17.0,23.0,33.0,43.0,61.0,75.0,156.0,200.0,235.0,338.0,429.0,531.0,623.0,734.0,903.0,1117.0,1269.0,1562.0,1842.0,2057.0,2285.0,2525.0,2781.0,3051.0,3288.0,3606.0,3820.0,4050.0,4175.0,4383.0,4641.0,4865.0,4990.0,5074.0,5076.0,5179.0,5242.0,5403.0,5515.0,5569.0,5617.0,5692.0,5716.0,5750.0,5840.0,5805.0,5931.0,6118.0,6288.0,6448.0,6862.0,7216.0,7756.0,8616.0,9362.0,9958.0,11031.0,11578.0,12632.0,13518.0,14248.0,15442.0,16135.0,17261.0,19170.0,21017.0,22534.0,22993.0,24118.0,25416.0,27563.0,30569.0,33000.0,35885.0,38174.0,40236.0,43934.0,46240.0,47908.0,49938.0,51096.0,53430.0,55907.0,59100.0,21325.0,21605.0,21305.0,21693.0,22387.0,24363.0,24334.0,23115.0,24201.0,25000.0,26618.0,26958.0,27266.0,27282.0,24834.0,35082.0,34821.0,35809.0,35844.0,37307.0,37064.0,35692.0,34592.0,34834.0,34861.0,34364.0,34263.0,34270.0,32476.0,30847.0,29374.0,28695.0,28210.0,28194.0,27804.0,26340.0,24807.0,24612.0,24440.0,24008.0,24166.0,24077.0,23205.0,21934.0,21107.0,21378.0,20952.0,20633.0,20404.0,19190.0,18439.0,18490.0,18694.0,18403.0,18583.0,18782.0,18228.0,17740.0,17531.0,17883.0,17621.0,17712.0,17810.0,16887.0,16640.0,16614.0,16699.0,16880.0,17153.0,17563.0,16897.0,16544.0,16604.0,16734.0,16556.0,16666.0,16604.0,15869.0,15174.0,15116.0,15149.0,15186.0,15634.0,16188.0,15564.0,15107.0,15108.0,15388.0,15645
Casos nuevos sin sintomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.0,108.0,103.0,181.0,116.0,104.0,56.0,139.0,190.0,208.0,243.0,241.0,222.0,179.0,508.0,358.0,390.0,313.0,329.0,260.0,421.0,391.0,426.0,413.0,299.0,366.0,467.0,346.0,372.0,526.0,340.0,484.0,393.0,389.0,321.0,405.0,492.0,417.0,358.0,645.0,459.0,326.0,511.0,507.0,537.0,540.0,570.0,483.0,515.0,437.0,383.0,599.0,418.0,594.0,399.0,336.0,264.0,423.0,413.0,426.0,402.0,432.0,338.0,300.0,230.0,322.0,371.0,438.0,404.0,266.0,265.0,432.0,460.0,405.0,389.0,451.0,244.0,186.0,367.0,545.0,373.0,359.0,340.0,230.0,238.0,379.0,373.0,399.0,449.0,487.0,462.0,346.0,388.0,450.0,440.0,473.0,527.0,350.0,482.0,403.0,570.0,604.0,502.0,605.0,424.0,421.0,425.0,616.0,552.0,634.0,480.0,443.0,316.0,453.0,496.0,600.0,554.0,580.0,473.0,316.0,450.0,543.0,645
Casos nuevos totales,1.0,0.0,2.0,1.0,1.0,2.0,3.0,5.0,2.0,6.0,10.0,10.0,18.0,14.0,81.0,45.0,37.0,104.0,92.0,103.0,95.0,114.0,176.0,220.0,164.0,304.0,299.0,230.0,310.0,289.0,293.0,373.0,333.0,424.0,310.0,344.0,301.0,430.0,426.0,529.0,426.0,286.0,312.0,392.0,356.0,534.0,445.0,478.0,358.0,419.0,325.0,464.0,516.0,494.0,552.0,473.0,482.0,552.0,770.0,888.0,985.0,1427.0,1228.0,980.0,1373.0,1032.0,1533.0,1391.0,1247.0,1647.0,1197.0,1658.0,2660.0,2659.0,2502.0,1886.0,2353.0,2278.0,3520.0,4038.0,3964.0,4276.0,3536.0,3709.0,4895.0,3964.0,4328.0,4654.0,3695.0,4220.0,4830.0,5471.0,3527.0,4942.0,4664.0,4207.0,5246.0,6405.0,4696.0,3913.0,5737.0,5596.0,6754.0,6509.0,6938.0,5143.0,5013.0,4757.0,4475.0,6290.0,5355.0,5607.0,4608.0,3804.0,3649.0,4648.0,4296.0,4406.0,4216.0,4017.0,3394.0,2650.0,2498.0,3548.0,3758.0,3685.0,3025.0,2462.0,2064.0,3133.0,3058.0,2755.0,3012.0,2616.0,1836.0,1712.0,2475.0,2840.0,2185.0,2082.0,2099.0,1656.0,1741.0,2371.0,2545.0,2287.0,2198.0,2133.0,1876.0,1773.0,1948.0,2123.0,1979.0,2081.0,1762.0,1462.0,1781.0,1947.0,2149.0,2201.0,2036.0,1988.0,1566.0,1540.0,1852.0,2077.0,1777.0,2086.0,1556.0,1336.0,1233.0,1813.0,1920.0,1926.0,1942.0,1903.0,1406.0,1371.0,1739.0,1868.0,2033
Casos activos por FD,1.0,1.0,3.0,4.0,5.0,7.0,10.0,15.0,17.0,23.0,33.0,43.0,61.0,75.0,156.0,200.0,235.0,338.0,429.0,531.0,623.0,734.0,903.0,1117.0,1269.0,1562.0,1842.0,2057.0,2285.0,2525.0,2781.0,3051.0,3288.0,3606.0,3820.0,4050.0,4175.0,4383.0,4641.0,4865.0,4990.0,5074.0,5076.0,5179.0,5242.0,5403.0,5515.0,5569.0,5617.0,5692.0,5716.0,5750.0,5840.0,5805.0,5931.0,6118.0,6288.0,6448.0,6862.0,7216.0,7756.0,8616.0,9362.0,9958.0,11031.0,11578.0,12632.0,13518.0,14248.0,15442.0,16135.0,17261.0,19170.0,21017.0,22534.0,22993.0,24118.0,25416.0,27563.0,30569.0,33000.0,35885.0,38174.0,40236.0,43934.0,46240.0,47908.0,49938.0,51096.0,53430.0,55907.0,59100.0,59107.0,60011.0,60711.0,60642.0,62352.0,65048.0,64849.0,64798.0,66207.0,67149.0,70208.0,72497.0,74605.0,74277.0,75763.0,75346.0,106811.0,108894.0,109003.0,108205.0,108117.0,108008.0,105920.0,104972.0,102514.0,100411.0,97689.0,96563.0,94944.0,61415.0,59438.0,56696.0,55099.0,53177.0,51594.0,50252.0,48667.0,47152.0,45914.0,44263.0,43059.0,41658.0,40100.0,39162.0,39157.0,38450.0,36999.0,35398.0,34472.0,33664.0,33319.0,32543.0,32030.0,31563.0,30749.0,30266.0,30307.0,30370.0,29838.0,29128.0,28812.0,28801.0,28464.0,28279.0,28321.0,27912.0,27521.0,27431.0,27266.0,27121.0,26816.0,26593.0,26498.0,26444.0,26244.0,26215.0,26009.0,25893.0,25314.0,25178.0,24944.0,24685.0,24609.0,24524.0,24369.0,24197.0,24068.0,23861.0,24107.0
Casos activos por FIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21325.0,21605.0,21305.0,21693.0,22387.0,24363.0,24334.0,23115.0,24201.0,25000.0,26618.0,26958.0,27266.0,27282.0,24834.0,35082.0,34821.0,35809.0,35844.0,37307.0,37064.0,35692.0,34592.0,34834.0,34861.0,34364.0,34263.0,34270.0,32476.0,30847.0,29374.0,28695.0,28210.0,28194.0,27804.0,26340.0,24807.0,24612.0,24440.0,24008.0,24166.0,24077.0,23205.0,21934.0,21107.0,21378.0,20952.0,20633.0,20404.0,19190.0,18439.0,18490.0,18694.0,18403.0,18583.0,18782.0,18228.0,17740.0,17531.0,17883.0,17621.0,17712.0,17810.0,16887.0,16640.0,16614.0,16699.0,16880.0,17153.0,17563.0,16897.0,16544.0,16604.0,16734.0,16556.0,16666.0,16604.0,15869.0,15174.0,15116.0,15149.0,15186.0,15634.0,16188.0,15564.0,15107.0,15108.0,15388.0,15645
Casos recuperados por FIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86173.0,90748.0,95631.0,99358.0,103817.0,107597.0,112248.0,117361.0,121820.0,126444.0,131358.0,137296.0,143704.0,148792.0,156232.0,181931.0,186441.0,191491.0,196609.0,200569.0,205397.0,210570.0,215093.0,219327.0,223431.0,228055.0,232210.0,236154.0,241229.0,245443.0,249247.0,253343.0,257445.0,261030.0,264369.0,268245.0,271703.0,274922.0,278053.0,281140.0,283896.0,286556.0,289219.0,292085.0,295301.0,296814.0,299449.0,301794.0,303992.0,306816.0,309241.0,311431.0,313696.0,316169.0,318095.0,319954.0,322332.0,324557.0,326628.0,328327.0,330504.0,332411.0,333976.0,336330.0,338291.0,340168.0,342168.0,344132.0,345826.0,347342.0,349541.0,351419.0,353131.0,355037.0,356951.0,358828.0,360385.0,362440.0,364285.0,366062.0,367897.0,369730.0,371179.0,372464.0,374463.0,376268.0,377922.0,379452.0,381183
